"geo","time","population_aged_5_9_years_both_sexes_percent"
"bdi",1950,13.11323
"bdi",1955,12.89389
"bdi",1960,14.54672
"bdi",1965,14.39606
"bdi",1970,14.60265
"bdi",1975,14.42416
"bdi",1980,13.57347
"bdi",1985,14.65065
"bdi",1990,15.43162
"bdi",1995,16.71225
"bdi",2000,16.50734
"bdi",2005,14.73572
"bdi",2010,13.95722
"bdi",2015,14.82193
"bdi",2020,14.98706
"bdi",2025,14.74674
"bdi",2030,13.99851
"bdi",2035,13.17909
"bdi",2040,12.72058
"bdi",2045,12.49912
"bdi",2050,12.1965
"bdi",2055,11.69831
"bdi",2060,11.11349
"bdi",2065,10.5838
"bdi",2070,10.19223
"bdi",2075,9.88448
"bdi",2080,9.54675
"bdi",2085,9.15518
"bdi",2090,8.7229
"bdi",2095,8.35971
"bdi",2100,8.03872
"cod",1950,14.02079
"cod",1955,14.14018
"cod",1960,13.68671
"cod",1965,13.87807
"cod",1970,14.11428
"cod",1975,14.29606
"cod",1980,14.37202
"cod",1985,14.45356
"cod",1990,14.60426
"cod",1995,14.68386
"cod",2000,14.79291
"cod",2005,14.77542
"cod",2010,15.03998
"cod",2015,15.2914
"cod",2020,15.25196
"cod",2025,14.75893
"cod",2030,14.20111
"cod",2035,13.69359
"cod",2040,13.16104
"cod",2045,12.57224
"cod",2050,11.90773
"cod",2055,11.24092
"cod",2060,10.61757
"cod",2065,10.02744
"cod",2070,9.50671
"cod",2075,8.98519
"cod",2080,8.49474
"cod",2085,8.04674
"cod",2090,7.6228
"cod",2095,7.25052
"cod",2100,6.91881
"ken",1950,11.63025
"ken",1955,13.57337
"ken",1960,15.24147
"ken",1965,15.63235
"ken",1970,15.88372
"ken",1975,16.00328
"ken",1980,16.35056
"ken",1985,16.42271
"ken",1990,16.38618
"ken",1995,15.75984
"ken",2000,14.34889
"ken",2005,14.60614
"ken",2010,14.37281
"ken",2015,14.0392
"ken",2020,12.92852
"ken",2025,12.24154
"ken",2030,11.6512
"ken",2035,11.14561
"ken",2040,10.62996
"ken",2045,10.07461
"ken",2050,9.52501
"ken",2055,9.04158
"ken",2060,8.59614
"ken",2065,8.18467
"ken",2070,7.79885
"ken",2075,7.43041
"ken",2080,7.06876
"ken",2085,6.74755
"ken",2090,6.47767
"ken",2095,6.23551
"ken",2100,6.02398
"rwa",1950,12.71663
"rwa",1955,14.76318
"rwa",1960,15.3835
"rwa",1965,16.33723
"rwa",1970,15.22546
"rwa",1975,14.82286
"rwa",1980,15.20306
"rwa",1985,16.09488
"rwa",1990,16.5201
"rwa",1995,15.47491
"rwa",2000,13.44032
"rwa",2005,13.81767
"rwa",2010,13.77703
"rwa",2015,13.85395
"rwa",2020,13.07772
"rwa",2025,12.0998
"rwa",2030,11.17398
"rwa",2035,10.56213
"rwa",2040,10.15588
"rwa",2045,9.70283
"rwa",2050,9.09422
"rwa",2055,8.42013
"rwa",2060,7.82349
"rwa",2065,7.36237
"rwa",2070,6.98335
"rwa",2075,6.64801
"rwa",2080,6.30266
"rwa",2085,5.98171
"rwa",2090,5.71411
"rwa",2095,5.51661
"rwa",2100,5.36979
"ssd",1950,13.99098
"ssd",1955,14.03314
"ssd",1960,12.3977
"ssd",1965,13.30246
"ssd",1970,13.91501
"ssd",1975,14.33618
"ssd",1980,14.32861
"ssd",1985,14.29472
"ssd",1990,14.03395
"ssd",1995,14.55974
"ssd",2000,14.70014
"ssd",2005,14.71544
"ssd",2010,14.22718
"ssd",2015,13.93207
"ssd",2020,13.5337
"ssd",2025,13.18726
"ssd",2030,12.76711
"ssd",2035,12.25004
"ssd",2040,11.69471
"ssd",2045,11.17207
"ssd",2050,10.71011
"ssd",2055,10.27589
"ssd",2060,9.84663
"ssd",2065,9.416
"ssd",2070,9.00398
"ssd",2075,8.62481
"ssd",2080,8.27702
"ssd",2085,7.94883
"ssd",2090,7.62861
"ssd",2095,7.33309
"ssd",2100,7.0517
"tza",1950,14.61682
"tza",1955,14.90349
"tza",1960,14.46407
"tza",1965,14.76474
"tza",1970,14.89998
"tza",1975,15.01838
"tza",1980,15.12909
"tza",1985,15.16437
"tza",1990,15.03003
"tza",1995,14.92552
"tza",2000,14.84937
"tza",2005,14.65076
"tza",2010,14.99734
"tza",2015,14.99226
"tza",2020,14.79265
"tza",2025,14.19409
"tza",2030,13.69264
"tza",2035,13.28288
"tza",2040,12.8806
"tza",2045,12.42427
"tza",2050,11.93322
"tza",2055,11.42354
"tza",2060,10.95255
"tza",2065,10.52536
"tza",2070,10.099
"tza",2075,9.69831
"tza",2080,9.30107
"tza",2085,8.92125
"tza",2090,8.56837
"tza",2095,8.24679
"tza",2100,7.93474
"uga",1950,13.9977
"uga",1955,14.19319
"uga",1960,14.94421
"uga",1965,14.95111
"uga",1970,15.0812
"uga",1975,15.32701
"uga",1980,15.28153
"uga",1985,15.35621
"uga",1990,15.5444
"uga",1995,15.83668
"uga",2000,16.27088
"uga",2005,16.26483
"uga",2010,16.28374
"uga",2015,15.9812
"uga",2020,15.46479
"uga",2025,14.95186
"uga",2030,14.43433
"uga",2035,13.89202
"uga",2040,13.28837
"uga",2045,12.64699
"uga",2050,12.02325
"uga",2055,11.42668
"uga",2060,10.86541
"uga",2065,10.3242
"uga",2070,9.80057
"uga",2075,9.30946
"uga",2080,8.85134
"uga",2085,8.42261
"uga",2090,8.02707
"uga",2095,7.65763
"uga",2100,7.31655
