"geo","time","females_aged_15plus_labour_force_participation_rate_percent"
"bdi",1990,90.784
"bdi",1991,90.345
"bdi",1992,89.845
"bdi",1993,89.283
"bdi",1994,88.665
"bdi",1995,87.993
"bdi",1996,87.262
"bdi",1997,86.465
"bdi",1998,85.592
"bdi",1999,84.979
"bdi",2000,84.332
"bdi",2001,83.835
"bdi",2002,83.35
"bdi",2003,82.886
"bdi",2004,82.452
"bdi",2005,82.053
"bdi",2006,81.646
"bdi",2007,81.266
"bdi",2008,80.917
"bdi",2009,80.61
"bdi",2010,80.35
"bdi",2011,80.112
"bdi",2012,79.917
"bdi",2013,79.748
"bdi",2014,79.574
"bdi",2015,79.869
"bdi",2016,80.125
"bdi",2017,80.214
"bdi",2018,80.27
"bdi",2019,80.278
"bdi",2020,80.233
"bdi",2021,80.126
"bdi",2022,79.973
"bdi",2023,79.788
"bdi",2024,79.596
"bdi",2025,79.408
"bdi",2026,79.218
"bdi",2027,79.036
"bdi",2028,78.864
"bdi",2029,78.707
"bdi",2030,78.567
"cod",1990,71.943
"cod",1991,71.866
"cod",1992,71.771
"cod",1993,71.655
"cod",1994,71.591
"cod",1995,71.542
"cod",1996,71.506
"cod",1997,71.434
"cod",1998,71.38
"cod",1999,71.31
"cod",2000,71.229
"cod",2001,71.189
"cod",2002,71.176
"cod",2003,71.178
"cod",2004,71.186
"cod",2005,71.191
"cod",2006,71.206
"cod",2007,71.22
"cod",2008,71.231
"cod",2009,71.227
"cod",2010,71.249
"cod",2011,71.284
"cod",2012,71.319
"cod",2013,71.355
"cod",2014,71.385
"cod",2015,71.39
"cod",2016,71.37
"cod",2017,71.369
"cod",2018,71.366
"cod",2019,71.362
"cod",2020,71.356
"cod",2021,71.345
"cod",2022,71.336
"cod",2023,71.33
"cod",2024,71.33
"cod",2025,71.337
"cod",2026,71.348
"cod",2027,71.366
"cod",2028,71.393
"cod",2029,71.434
"cod",2030,71.487
"ken",1990,70.325
"ken",1991,70.275
"ken",1992,70.206
"ken",1993,70.147
"ken",1994,70.114
"ken",1995,70.104
"ken",1996,70.053
"ken",1997,69.996
"ken",1998,69.975
"ken",1999,69.96
"ken",2000,68.499
"ken",2001,66.939
"ken",2002,65.299
"ken",2003,63.601
"ken",2004,61.871
"ken",2005,60.129
"ken",2006,60.4
"ken",2007,60.718
"ken",2008,61.01
"ken",2009,61.284
"ken",2010,61.53
"ken",2011,61.758
"ken",2012,61.934
"ken",2013,62.085
"ken",2014,62.225
"ken",2015,62.369
"ken",2016,62.514
"ken",2017,62.44
"ken",2018,62.366
"ken",2019,62.289
"ken",2020,62.207
"ken",2021,62.12
"ken",2022,62.031
"ken",2023,61.949
"ken",2024,61.889
"ken",2025,61.858
"ken",2026,61.85
"ken",2027,61.867
"ken",2028,61.899
"ken",2029,61.934
"ken",2030,61.963
"rwa",1990,86.775
"rwa",1991,86.784
"rwa",1992,86.788
"rwa",1993,86.646
"rwa",1994,86.212
"rwa",1995,86.093
"rwa",1996,85.871
"rwa",1997,85.732
"rwa",1998,85.66
"rwa",1999,85.592
"rwa",2000,85.475
"rwa",2001,85.439
"rwa",2002,85.378
"rwa",2003,85.258
"rwa",2004,85.193
"rwa",2005,85.226
"rwa",2006,85.341
"rwa",2007,85.541
"rwa",2008,85.784
"rwa",2009,85.979
"rwa",2010,86.108
"rwa",2011,86.204
"rwa",2012,86.243
"rwa",2013,86.224
"rwa",2014,86.186
"rwa",2015,86.133
"rwa",2016,86.053
"rwa",2017,86.035
"rwa",2018,86.01
"rwa",2019,85.978
"rwa",2020,85.941
"rwa",2021,85.904
"rwa",2022,85.868
"rwa",2023,85.833
"rwa",2024,85.803
"rwa",2025,85.78
"rwa",2026,85.77
"rwa",2027,85.766
"rwa",2028,85.772
"rwa",2029,85.791
"rwa",2030,85.823
"ssd",1990,71.047
"ssd",1991,70.987
"ssd",1992,70.947
"ssd",1993,70.926
"ssd",1994,70.916
"ssd",1995,70.904
"ssd",1996,70.877
"ssd",1997,70.858
"ssd",1998,70.837
"ssd",1999,70.813
"ssd",2000,70.788
"ssd",2001,70.74
"ssd",2002,70.701
"ssd",2003,70.669
"ssd",2004,70.646
"ssd",2005,70.63
"ssd",2006,70.616
"ssd",2007,70.611
"ssd",2008,70.611
"ssd",2009,70.613
"ssd",2010,70.615
"ssd",2011,70.615
"ssd",2012,70.617
"ssd",2013,70.623
"ssd",2014,70.641
"ssd",2015,70.673
"ssd",2016,70.717
"ssd",2017,70.797
"ssd",2018,70.886
"ssd",2019,70.972
"ssd",2020,71.051
"ssd",2021,71.12
"ssd",2022,71.183
"ssd",2023,71.245
"ssd",2024,71.308
"ssd",2025,71.376
"ssd",2026,71.44
"ssd",2027,71.508
"ssd",2028,71.578
"ssd",2029,71.646
"ssd",2030,71.711
"tza",1990,82.101
"tza",1991,82.071
"tza",1992,82.023
"tza",1993,81.972
"tza",1994,81.917
"tza",1995,81.864
"tza",1996,81.843
"tza",1997,81.808
"tza",1998,81.767
"tza",1999,81.733
"tza",2000,81.709
