"geo","time","alternative_gdp_per_capita_ppp_pwt_8_0"
"bdi",1960,470.1
"bdi",1961,394.5
"bdi",1962,419.5
"bdi",1963,431.7
"bdi",1964,437
"bdi",1965,442.6
"bdi",1966,436.7
"bdi",1967,479
"bdi",1968,470.3
"bdi",1969,441.5
"bdi",1970,558
"bdi",1971,564
"bdi",1972,502.7
"bdi",1973,547.7
"bdi",1974,541.8
"bdi",1975,498.9
"bdi",1976,589.3
"bdi",1977,673.1
"bdi",1978,615.2
"bdi",1979,607.4
"bdi",1980,602
"bdi",1981,628.3
"bdi",1982,575.3
"bdi",1983,580.7
"bdi",1984,586.2
"bdi",1985,628.2
"bdi",1986,655.1
"bdi",1987,626.8
"bdi",1988,581.4
"bdi",1989,610.1
"bdi",1990,570.8
"bdi",1991,544.9
"bdi",1992,496
"bdi",1993,474.8
"bdi",1994,458.3
"bdi",1995,418.6
"bdi",1996,408.6
"bdi",1997,506.1
"bdi",1998,478.3
"bdi",1999,466.5
"bdi",2000,447.6
"bdi",2001,452.3
"bdi",2002,448.5
"bdi",2003,455.7
"bdi",2004,473.4
"bdi",2005,435.9
"bdi",2006,433.8
"bdi",2007,430.3
"bdi",2008,534.9
"bdi",2009,462.8
"bdi",2010,471.2
"bdi",2011,490.1
"cod",1950,739.1
"cod",1951,833.5
"cod",1952,883.9
"cod",1953,993.8
"cod",1954,999.8
"cod",1955,1054
"cod",1956,1060
"cod",1957,999.4
"cod",1958,959.2
"cod",1959,928.5
"cod",1960,926.4
"cod",1961,791.7
"cod",1962,873.1
"cod",1963,944.8
"cod",1964,887.6
"cod",1965,893.4
"cod",1966,982.2
"cod",1967,873.9
"cod",1968,831.4
"cod",1969,935.2
"cod",1970,836.5
"cod",1971,862.7
"cod",1972,803.1
"cod",1973,880.7
"cod",1974,874.1
"cod",1975,702.4
"cod",1976,618.1
"cod",1977,670.5
"cod",1978,602.7
"cod",1979,748.1
"cod",1980,770.8
"cod",1981,691.4
"cod",1982,671.2
"cod",1983,706.6
"cod",1984,877.8
"cod",1985,787
"cod",1986,708.3
"cod",1987,557.4
"cod",1988,643.7
"cod",1989,693.3
"cod",1990,475.4
"cod",1991,422.8
"cod",1992,372.2
"cod",1993,298
"cod",1994,301
"cod",1995,300.1
"cod",1996,273.1
"cod",1997,264.4
"cod",1998,236.9
"cod",1999,241.3
"cod",2000,218.9
"cod",2001,203.7
"cod",2002,199.2
"cod",2003,227.5
"cod",2004,230.3
"cod",2005,223.5
"cod",2006,255.7
"cod",2007,270.7
"cod",2008,254.3
"cod",2009,245.6
"cod",2010,275.4
"cod",2011,290.6
"ken",1950,1271
"ken",1951,1465
"ken",1952,1303
"ken",1953,1221
"ken",1954,1350
"ken",1955,1411
"ken",1956,1400
"ken",1957,1413
"ken",1958,1384
"ken",1959,1327
"ken",1960,1396
"ken",1961,1363
"ken",1962,1408
"ken",1963,1401
"ken",1964,1472
"ken",1965,1475
"ken",1966,1578
"ken",1967,1586
"ken",1968,1542
"ken",1969,1586
"ken",1970,1475
"ken",1971,1525
"ken",1972,1592
"ken",1973,1570
"ken",1974,1635
"ken",1975,1548
"ken",1976,1561
"ken",1977,1757
"ken",1978,1761
"ken",1979,1685
"ken",1980,1667
"ken",1981,1606
"ken",1982,1595
"ken",1983,1626
"ken",1984,1689
"ken",1985,1674
"ken",1986,1722
"ken",1987,1654
"ken",1988,1672
"ken",1989,1639
"ken",1990,1621
"ken",1991,1635
"ken",1992,1561
"ken",1993,1593
"ken",1994,1766
"ken",1995,1646
"ken",1996,1677
"ken",1997,1580
"ken",1998,1513
"ken",1999,1443
"ken",2000,1337
"ken",2001,1278
"ken",2002,1211
"ken",2003,1163
"ken",2004,1134
"ken",2005,1140
"ken",2006,1201
"ken",2007,1250
"ken",2008,1241
"ken",2009,1232
"ken",2010,1274
"ken",2011,1298
"rwa",1960,939.6
"rwa",1961,893.9
"rwa",1962,981.7
"rwa",1963,858.2
"rwa",1964,746.5
"rwa",1965,768.3
"rwa",1966,799.1
"rwa",1967,839.1
"rwa",1968,869.7
"rwa",1969,937.6
"rwa",1970,971.2
"rwa",1971,950.1
"rwa",1972,957.1
"rwa",1973,965.6
"rwa",1974,951.1
"rwa",1975,929.9
"rwa",1976,1056
"rwa",1977,1088
"rwa",1978,1054
"rwa",1979,1165
"rwa",1980,1104
"rwa",1981,1232
"rwa",1982,1166
"rwa",1983,1205
"rwa",1984,1133
"rwa",1985,1148
"rwa",1986,1160
"rwa",1987,1065
"rwa",1988,1042
"rwa",1989,1099
"rwa",1990,1069
"rwa",1991,995
"rwa",1992,1125
"rwa",1993,1104
"rwa",1994,522.5
"rwa",1995,661.5
"rwa",1996,736.5
"rwa",1997,793.8
"rwa",1998,776
"rwa",1999,727.7
"rwa",2000,677
"rwa",2001,692.1
"rwa",2002,756.9
"rwa",2003,756
"rwa",2004,816.9
"rwa",2005,878.2
"rwa",2006,963.4
"rwa",2007,1005
"rwa",2008,1036
"rwa",2009,1086
"rwa",2010,1135
"rwa",2011,1201
"tza",1960,898.5
"tza",1961,893.3
"tza",1962,956.1
"tza",1963,1014
"tza",1964,1129
"tza",1965,1087
"tza",1966,1134
"tza",1967,1153
"tza",1968,1196
"tza",1969,1216
"tza",1970,1287
"tza",1971,1302
"tza",1972,1340
"tza",1973,1385
"tza",1974,1385
"tza",1975,1440
"tza",1976,1520
"tza",1977,1433
"tza",1978,1428
"tza",1979,1415
"tza",1980,1322
"tza",1981,1090
"tza",1982,1096
"tza",1983,1113
"tza",1984,1182
"tza",1985,1322
"tza",1986,880.4
"tza",1987,663.4
"tza",1988,876.7
"tza",1989,809.3
"tza",1990,836.3
"tza",1991,802.3
"tza",1992,720
"tza",1993,685.5
"tza",1994,637.6
"tza",1995,641.5
"tza",1996,660.1
"tza",1997,687.7
"tza",1998,717.8
"tza",1999,733.3
"tza",2000,749.6
"tza",2001,779.6
"tza",2002,831.2
"tza",2003,864.1
"tza",2004,890.9
"tza",2005,948.1
"tza",2006,975.9
"tza",2007,998.4
"tza",2008,1072
"tza",2009,1113
"tza",2010,1199
"tza",2011,1269
"uga",1950,895.8
"uga",1951,1059
"uga",1952,1060
"uga",1953,847.5
"uga",1954,883.5
"uga",1955,861.6
"uga",1956,861.2
"uga",1957,917.5
"uga",1958,864.9
"uga",1959,857
"uga",1960,843.8
"uga",1961,796
"uga",1962,832.5
"uga",1963,878.5
"uga",1964,963.7
"uga",1965,901.4
"uga",1966,935
"uga",1967,942.6
"uga",1968,959.3
"uga",1969,1008
"uga",1970,985.3
"uga",1971,926.3
"uga",1972,960.3
"uga",1973,937.7
"uga",1974,878.4
"uga",1975,828.9
"uga",1976,838.6
"uga",1977,821.6
"uga",1978,746.4
"uga",1979,621.6
"uga",1980,573.1
"uga",1981,552.5
