"geo","time","females_aged_15_24_unemployment_rate_percent"
"bdi",2014,1.98
"cod",2005,3.6094
"cod",2012,6.7572
"ken",1999,25.9827
"rwa",1996,0.5
"rwa",2017,24.7888
"ssd",2008,16.99
"tza",2001,5.1723
"tza",2006,7.3938
"tza",2014,4.6319
