"geo","time","population_aged_5_9_years_male_percent"
"bdi",1950,13.37349
"bdi",1955,13.14263
"bdi",1960,14.98403
"bdi",1965,14.78488
"bdi",1970,14.96758
"bdi",1975,14.8002
"bdi",1980,13.8774
"bdi",1985,14.9969
"bdi",1990,15.77743
"bdi",1995,17.17433
"bdi",2000,16.73148
"bdi",2005,14.90188
"bdi",2010,14.09673
"bdi",2015,15.05655
"bdi",2020,15.25879
"bdi",2025,14.99346
"bdi",2030,14.22049
"bdi",2035,13.38044
"bdi",2040,12.91386
"bdi",2045,12.68764
"bdi",2050,12.38052
"bdi",2055,11.88005
"bdi",2060,11.30195
"bdi",2065,10.77723
"bdi",2070,10.39313
"bdi",2075,10.09393
"bdi",2080,9.76506
"bdi",2085,9.3807
"bdi",2090,8.95058
"bdi",2095,8.59011
"bdi",2100,8.27102
"cod",1950,14.58112
"cod",1955,14.70769
"cod",1960,14.29775
"cod",1965,14.4008
"cod",1970,14.56068
"cod",1975,14.67842
"cod",1980,14.7023
"cod",1985,14.73442
"cod",1990,14.85236
"cod",1995,14.89871
"cod",2000,14.98931
"cod",2005,14.93439
"cod",2010,15.20017
"cod",2015,15.45187
"cod",2020,15.40676
"cod",2025,14.89811
"cod",2030,14.32879
"cod",2035,13.81466
"cod",2040,13.27805
"cod",2045,12.68891
"cod",2050,12.02612
"cod",2055,11.36541
"cod",2060,10.75162
"cod",2065,10.1712
"cod",2070,9.6598
"cod",2075,9.14642
"cod",2080,8.66266
"cod",2085,8.21943
"cod",2090,7.7981
"cod",2095,7.42713
"cod",2100,7.09361
"ken",1950,11.55635
"ken",1955,13.49744
"ken",1960,15.12485
"ken",1965,15.57467
"ken",1970,15.85805
"ken",1975,16.03936
"ken",1980,16.43306
"ken",1985,16.54253
"ken",1990,16.54244
"ken",1995,15.93464
"ken",2000,14.52753
"ken",2005,14.78917
"ken",2010,14.5606
"ken",2015,14.24444
"ken",2020,13.12188
"ken",2025,12.42997
"ken",2030,11.83524
"ken",2035,11.32415
"ken",2040,10.80009
"ken",2045,10.2355
"ken",2050,9.68161
"ken",2055,9.19619
"ken",2060,8.74828
"ken",2065,8.33507
"ken",2070,7.94811
"ken",2075,7.57791
"ken",2080,7.21393
"ken",2085,6.8907
"ken",2090,6.61947
"ken",2095,6.3759
"ken",2100,6.16279
"rwa",1950,13.0164
"rwa",1955,15.02762
"rwa",1960,15.46315
"rwa",1965,16.44877
"rwa",1970,15.33226
"rwa",1975,14.94647
"rwa",1980,15.28734
"rwa",1985,16.21196
"rwa",1990,16.65339
"rwa",1995,15.5683
"rwa",2000,13.50052
"rwa",2005,14.09344
"rwa",2010,14.02252
"rwa",2015,14.09887
"rwa",2020,13.3401
"rwa",2025,12.36817
"rwa",2030,11.46384
"rwa",2035,10.84242
"rwa",2040,10.43182
"rwa",2045,9.97101
"rwa",2050,9.35184
"rwa",2055,8.66608
"rwa",2060,8.05857
"rwa",2065,7.58951
"rwa",2070,7.20425
"rwa",2075,6.8619
"rwa",2080,6.50586
"rwa",2085,6.17702
"rwa",2090,5.90299
"rwa",2095,5.70105
"rwa",2100,5.55048
"ssd",1950,13.89408
"ssd",1955,14.00446
"ssd",1960,12.22757
"ssd",1965,13.22436
"ssd",1970,13.90887
"ssd",1975,14.38731
"ssd",1980,14.41724
"ssd",1985,14.41043
"ssd",1990,14.16412
"ssd",1995,14.71054
"ssd",2000,14.87221
"ssd",2005,14.88717
"ssd",2010,14.38903
"ssd",2015,14.0852
"ssd",2020,13.67719
"ssd",2025,13.30095
"ssd",2030,12.86971
"ssd",2035,12.34918
"ssd",2040,11.79233
"ssd",2045,11.27103
"ssd",2050,10.81921
"ssd",2055,10.39324
"ssd",2060,9.97345
"ssd",2065,9.55026
"ssd",2070,9.14788
"ssd",2075,8.77722
"ssd",2080,8.43648
"ssd",2085,8.11618
"ssd",2090,7.80408
"ssd",2095,7.51583
"ssd",2100,7.24034
"tza",1950,14.75001
"tza",1955,15.02076
"tza",1960,14.70652
"tza",1965,15.00211
"tza",1970,15.12421
"tza",1975,15.23362
"tza",1980,15.33707
"tza",1985,15.3722
"tza",1990,15.24435
"tza",1995,15.13954
"tza",2000,15.0635
"tza",2005,14.97082
"tza",2010,15.10288
"tza",2015,15.2917
"tza",2020,15.08363
"tza",2025,14.42442
"tza",2030,13.90262
"tza",2035,13.48146
"tza",2040,13.06701
"tza",2045,12.60563
"tza",2050,12.10857
"tza",2055,11.58986
"tza",2060,11.11355
"tza",2065,10.68189
"tza",2070,10.24952
"tza",2075,9.84462
"tza",2080,9.44104
"tza",2085,9.05823
"tza",2090,8.70257
"tza",2095,8.37892
"tza",2100,8.06479
"uga",1950,14.13532
"uga",1955,14.32625
"uga",1960,14.98226
"uga",1965,15.02597
"uga",1970,15.1851
"uga",1975,15.45677
"uga",1980,15.41563
"uga",1985,15.49216
"uga",1990,15.71626
"uga",1995,16.06284
"uga",2000,16.52885
"uga",2005,16.50752
"uga",2010,16.5051
"uga",2015,16.19806
"uga",2020,15.662
"uga",2025,15.10194
"uga",2030,14.57926
"uga",2035,14.02825
"uga",2040,13.41922
"uga",2045,12.7809
"uga",2050,12.16075
"uga",2055,11.56784
"uga",2060,11.00608
"uga",2065,10.46145
"uga",2070,9.93201
"uga",2075,9.43491
"uga",2080,8.97093
"uga",2085,8.53737
"uga",2090,8.13808
"uga",2095,7.76558
"uga",2100,7.42107
