"geo","time","poverty_percent_people_below_320_a_day"
"bdi",1992,94.8
"bdi",1998,95.3
"bdi",2006,92.9
"bdi",2013,89.2
"cod",2004,98.5
"cod",2012,91.3
"ken",1992,54.2
"ken",1994,60.6
"ken",1997,59.5
"ken",2005,69.2
"ken",2015,66.2
"rwa",1984,88.9
"rwa",2000,89.8
"rwa",2005,84.4
"rwa",2010,83.6
"rwa",2013,80.8
"ssd",2009,64.8
"tza",1991,91.4
"tza",2000,96.2
"tza",2007,83.6
"tza",2011,79
"uga",1989,80
"uga",1992,86.1
"uga",1996,85.3
"uga",1999,86.6
"uga",2002,84.5
"uga",2005,79.2
"uga",2009,72.4
"uga",2012,67.4
"uga",2016,69.8
