"geo","time","sex_ratio_15_24_years"
"bdi",1950,93.61705
"bdi",1955,94.16172
"bdi",1960,94.49641
"bdi",1965,94.9297
"bdi",1970,96.33317
"bdi",1975,95.71379
"bdi",1980,96.00635
"bdi",1985,94.94968
"bdi",1990,95.67711
"bdi",1995,96.50009
"bdi",2000,97.70069
"bdi",2005,96.05341
"bdi",2010,92.11142
"bdi",2015,94.97758
"bdi",2020,97.18747
"bdi",2025,98.54947
"bdi",2030,99.62528
"bdi",2035,99.97346
"bdi",2040,99.92942
"bdi",2045,99.90394
"bdi",2050,99.93248
"bdi",2055,99.98216
"bdi",2060,100.01629
"bdi",2065,100.0779
"bdi",2070,100.24418
"bdi",2075,100.48332
"bdi",2080,100.72385
"bdi",2085,100.95464
"bdi",2090,101.16806
"bdi",2095,101.37805
"bdi",2100,101.55202
"cod",1950,90.27601
"cod",1955,92.04537
"cod",1960,93.89331
"cod",1965,95.85413
"cod",1970,98.13672
"cod",1975,99.4931
"cod",1980,99.68089
"cod",1985,99.85663
"cod",1990,100.05432
"cod",1995,100.20463
"cod",2000,100.35138
"cod",2005,100.48166
"cod",2010,100.5776
"cod",2015,100.55101
"cod",2020,100.66968
"cod",2025,100.95911
"cod",2030,101.13395
"cod",2035,101.15217
"cod",2040,101.08935
"cod",2045,101.02063
"cod",2050,100.95657
"cod",2055,100.92222
"cod",2060,100.93444
"cod",2065,101.00542
"cod",2070,101.14654
"cod",2075,101.3293
"cod",2080,101.51561
"cod",2085,101.69651
"cod",2090,101.87782
"cod",2095,102.03968
"cod",2100,102.17491
"ken",1950,104.6455
"ken",1955,101.12734
"ken",1960,99.82006
"ken",1965,99.59376
"ken",1970,98.78312
"ken",1975,98.43126
"ken",1980,98.52893
"ken",1985,98.82531
"ken",1990,99.34109
"ken",1995,99.79912
"ken",2000,100.26761
"ken",2005,100.43489
"ken",2010,100.3541
"ken",2015,100.51332
"ken",2020,100.68873
"ken",2025,100.97315
"ken",2030,101.18581
"ken",2035,101.30699
"ken",2040,101.44638
"ken",2045,101.59579
"ken",2050,101.7127
"ken",2055,101.79949
"ken",2060,101.91122
"ken",2065,102.05005
"ken",2070,102.15056
"ken",2075,102.21312
"ken",2080,102.25951
"ken",2085,102.2985
"ken",2090,102.33199
"ken",2095,102.36208
"ken",2100,102.39073
"rwa",1950,103.08412
"rwa",1955,102.28548
"rwa",1960,101.41326
"rwa",1965,100.75617
"rwa",1970,98.28598
"rwa",1975,97.14951
"rwa",1980,97.35508
"rwa",1985,97.69744
"rwa",1990,97.58626
"rwa",1995,95.21637
"rwa",2000,91.35925
"rwa",2005,95.2502
"rwa",2010,97.99003
"rwa",2015,97.27391
"rwa",2020,98.38841
"rwa",2025,98.40288
"rwa",2030,98.85323
"rwa",2035,99.48089
"rwa",2040,100.25289
"rwa",2045,100.83706
"rwa",2050,101.06892
"rwa",2055,101.25763
"rwa",2060,101.42122
"rwa",2065,101.60117
"rwa",2070,101.78605
"rwa",2075,101.95426
"rwa",2080,102.1021
"rwa",2085,102.21212
"rwa",2090,102.2493
"rwa",2095,102.26613
"rwa",2100,102.30233
"ssd",1950,102.10107
"ssd",1955,101.60899
"ssd",1960,102.43363
"ssd",1965,101.9824
"ssd",1970,99.73726
"ssd",1975,98.39399
"ssd",1980,98.96449
"ssd",1985,99.41826
"ssd",1990,99.77942
"ssd",1995,100.06088
"ssd",2000,100.29449
"ssd",2005,100.60673
"ssd",2010,101.02286
"ssd",2015,101.4056
"ssd",2020,101.74772
"ssd",2025,102.0773
"ssd",2030,102.32534
"ssd",2035,102.29127
"ssd",2040,102.16766
"ssd",2045,102.17127
"ssd",2050,102.20807
"ssd",2055,102.25825
"ssd",2060,102.3755
"ssd",2065,102.51884
"ssd",2070,102.62722
"ssd",2075,102.70119
"ssd",2080,102.77031
"ssd",2085,102.85219
"ssd",2090,102.90661
"ssd",2095,102.95844
"ssd",2100,103.04242
"tza",1950,96.62625
"tza",1955,96.61895
"tza",1960,96.59838
"tza",1965,96.65716
"tza",1970,97.84096
"tza",1975,98.96768
"tza",1980,99.17027
"tza",1985,99.35206
"tza",1990,99.57989
"tza",1995,99.87674
"tza",2000,100.13499
"tza",2005,96.6162
"tza",2010,96.00989
"tza",2015,98.85547
"tza",2020,99.32029
"tza",2025,99.68866
"tza",2030,101.19334
"tza",2035,101.17815
"tza",2040,101.09329
"tza",2045,101.24116
"tza",2050,101.37356
"tza",2055,101.58492
"tza",2060,101.77141
"tza",2065,101.90376
"tza",2070,102.02824
"tza",2075,102.15521
"tza",2080,102.2401
"tza",2085,102.29601
"tza",2090,102.32091
"tza",2095,102.34007
"tza",2100,102.375
"uga",1950,99.73671
"uga",1955,99.97977
"uga",1960,100.88889
"uga",1965,100.83537
"uga",1970,99.72243
"uga",1975,99.25213
"uga",1980,99.67963
"uga",1985,100.06646
"uga",1990,100.30851
"uga",1995,100.40361
"uga",2000,100.37258
"uga",2005,100.31197
"uga",2010,100.35047
"uga",2015,100.42563
"uga",2020,100.61434
"uga",2025,100.86605
"uga",2030,100.95748
"uga",2035,100.72111
"uga",2040,100.59616
"uga",2045,100.69371
"uga",2050,100.79483
"uga",2055,100.98853
"uga",2060,101.23928
"uga",2065,101.4977
"uga",2070,101.72632
"uga",2075,101.89449
"uga",2080,102.01802
"uga",2085,102.10411
"uga",2090,102.1718
"uga",2095,102.22908
"uga",2100,102.28372
