"geo","time","maternal_mortality_ratio_who"
"bdi",1990,1100
"bdi",1995,1100
"bdi",2000,1000
"bdi",2005,910
"bdi",2010,800
"cod",1990,930
"cod",1995,870
"cod",2000,770
"cod",2005,660
"cod",2010,540
"ken",1990,400
"ken",1995,460
"ken",2000,490
"ken",2005,450
"ken",2010,360
"rwa",1990,910
"rwa",1995,1000
"rwa",2000,840
"rwa",2005,550
"rwa",2010,340
"tza",1990,870
"tza",1995,840
"tza",2000,730
"tza",2005,610
"tza",2010,460
"uga",1990,600
"uga",1995,590
"uga",2000,530
"uga",2005,420
"uga",2010,310
