"geo","time","mean_years_in_school_men_25_to_34_years"
"bdi",1970,1.84
"bdi",1971,1.89
"bdi",1972,1.94
"bdi",1973,1.99
"bdi",1974,2.04
"bdi",1975,2.09
"bdi",1976,2.15
"bdi",1977,2.2
"bdi",1978,2.26
"bdi",1979,2.32
"bdi",1980,2.38
"bdi",1981,2.44
"bdi",1982,2.5
"bdi",1983,2.56
"bdi",1984,2.63
"bdi",1985,2.69
"bdi",1986,2.76
"bdi",1987,2.83
"bdi",1988,2.9
"bdi",1989,2.97
"bdi",1990,3.05
"bdi",1991,3.12
"bdi",1992,3.2
"bdi",1993,3.28
"bdi",1994,3.36
"bdi",1995,3.45
"bdi",1996,3.53
"bdi",1997,3.62
"bdi",1998,3.71
"bdi",1999,3.8
"bdi",2000,3.89
"bdi",2001,3.98
"bdi",2002,4.08
"bdi",2003,4.17
"bdi",2004,4.27
"bdi",2005,4.37
"bdi",2006,4.47
"bdi",2007,4.57
"bdi",2008,4.67
"bdi",2009,4.77
"bdi",2010,4.88
"bdi",2011,4.99
"bdi",2012,5.09
"bdi",2013,5.2
"bdi",2014,5.31
"bdi",2015,5.43
"cod",1970,3.79
"cod",1971,3.88
"cod",1972,3.97
"cod",1973,4.06
"cod",1974,4.15
"cod",1975,4.25
"cod",1976,4.34
"cod",1977,4.44
"cod",1978,4.54
"cod",1979,4.64
"cod",1980,4.74
"cod",1981,4.85
"cod",1982,4.95
"cod",1983,5.06
"cod",1984,5.17
"cod",1985,5.27
"cod",1986,5.38
"cod",1987,5.5
"cod",1988,5.61
"cod",1989,5.72
"cod",1990,5.84
"cod",1991,5.95
"cod",1992,6.07
"cod",1993,6.19
"cod",1994,6.31
"cod",1995,6.43
"cod",1996,6.54
"cod",1997,6.66
"cod",1998,6.78
"cod",1999,6.9
"cod",2000,7.02
"cod",2001,7.15
"cod",2002,7.27
"cod",2003,7.39
"cod",2004,7.52
"cod",2005,7.64
"cod",2006,7.77
"cod",2007,7.9
"cod",2008,8.03
"cod",2009,8.15
"cod",2010,8.28
"cod",2011,8.41
"cod",2012,8.55
"cod",2013,8.68
"cod",2014,8.81
"cod",2015,8.94
"ken",1970,4.19
"ken",1971,4.3
"ken",1972,4.41
"ken",1973,4.53
"ken",1974,4.64
"ken",1975,4.76
"ken",1976,4.89
"ken",1977,5.01
"ken",1978,5.14
"ken",1979,5.27
"ken",1980,5.4
"ken",1981,5.54
"ken",1982,5.68
"ken",1983,5.82
"ken",1984,5.96
"ken",1985,6.1
"ken",1986,6.25
"ken",1987,6.39
"ken",1988,6.54
"ken",1989,6.69
"ken",1990,6.84
"ken",1991,6.99
"ken",1992,7.14
"ken",1993,7.29
"ken",1994,7.44
"ken",1995,7.59
"ken",1996,7.71
"ken",1997,7.84
"ken",1998,7.97
"ken",1999,8.09
"ken",2000,8.22
"ken",2001,8.34
"ken",2002,8.47
"ken",2003,8.59
"ken",2004,8.71
"ken",2005,8.84
"ken",2006,8.96
"ken",2007,9.08
"ken",2008,9.21
"ken",2009,9.33
"ken",2010,9.46
"ken",2011,9.58
"ken",2012,9.71
"ken",2013,9.83
"ken",2014,9.96
"ken",2015,10.09
"rwa",1970,2.28
"rwa",1971,2.34
"rwa",1972,2.4
"rwa",1973,2.46
"rwa",1974,2.52
"rwa",1975,2.59
"rwa",1976,2.65
"rwa",1977,2.72
"rwa",1978,2.78
"rwa",1979,2.85
"rwa",1980,2.92
"rwa",1981,2.99
"rwa",1982,3.07
"rwa",1983,3.14
"rwa",1984,3.22
"rwa",1985,3.3
"rwa",1986,3.38
"rwa",1987,3.46
"rwa",1988,3.54
"rwa",1989,3.62
"rwa",1990,3.7
"rwa",1991,3.79
"rwa",1992,3.88
"rwa",1993,3.97
"rwa",1994,4.06
"rwa",1995,4.15
"rwa",1996,4.24
"rwa",1997,4.33
"rwa",1998,4.42
"rwa",1999,4.51
"rwa",2000,4.61
"rwa",2001,4.7
"rwa",2002,4.8
"rwa",2003,4.9
"rwa",2004,5
"rwa",2005,5.1
"rwa",2006,5.2
"rwa",2007,5.31
"rwa",2008,5.41
"rwa",2009,5.52
"rwa",2010,5.63
"rwa",2011,5.74
"rwa",2012,5.85
"rwa",2013,5.97
"rwa",2014,6.08
"rwa",2015,6.2
"ssd",1970,1.06
"ssd",1971,1.09
"ssd",1972,1.12
"ssd",1973,1.15
"ssd",1974,1.18
"ssd",1975,1.21
"ssd",1976,1.24
"ssd",1977,1.27
"ssd",1978,1.31
"ssd",1979,1.34
"ssd",1980,1.38
"ssd",1981,1.41
"ssd",1982,1.45
"ssd",1983,1.49
"ssd",1984,1.53
"ssd",1985,1.57
"ssd",1986,1.61
"ssd",1987,1.65
"ssd",1988,1.69
"ssd",1989,1.74
"ssd",1990,1.78
"ssd",1991,1.83
"ssd",1992,1.87
"ssd",1993,1.92
"ssd",1994,1.97
"ssd",1995,2.02
"ssd",1996,2.07
"ssd",1997,2.12
"ssd",1998,2.18
"ssd",1999,2.23
"ssd",2000,2.29
"ssd",2001,2.34
"ssd",2002,2.4
"ssd",2003,2.46
"ssd",2004,2.52
"ssd",2005,2.59
"ssd",2006,2.65
"ssd",2007,2.71
"ssd",2008,2.78
"ssd",2009,2.85
"ssd",2010,2.92
"ssd",2011,2.99
"ssd",2012,3.06
"ssd",2013,3.13
"ssd",2014,3.21
"ssd",2015,3.29
"tza",1970,3.4
"tza",1971,3.48
"tza",1972,3.57
"tza",1973,3.65
"tza",1974,3.74
"tza",1975,3.82
"tza",1976,3.91
"tza",1977,4
"tza",1978,4.09
"tza",1979,4.18
"tza",1980,4.28
"tza",1981,4.37
"tza",1982,4.47
"tza",1983,4.57
"tza",1984,4.66
"tza",1985,4.76
"tza",1986,4.86
"tza",1987,4.96
"tza",1988,5.06
"tza",1989,5.16
"tza",1990,5.26
"tza",1991,5.36
"tza",1992,5.47
"tza",1993,5.57
"tza",1994,5.67
"tza",1995,5.77
"tza",1996,5.87
"tza",1997,5.97
"tza",1998,6.06
"tza",1999,6.16
"tza",2000,6.27
"tza",2001,6.37
"tza",2002,6.47
"tza",2003,6.58
"tza",2004,6.68
"tza",2005,6.79
"tza",2006,6.9
"tza",2007,7.01
"tza",2008,7.13
"tza",2009,7.24
"tza",2010,7.36
"tza",2011,7.48
"tza",2012,7.6
"tza",2013,7.72
"tza",2014,7.84
"tza",2015,7.96
"uga",1970,3.32
"uga",1971,3.4
"uga",1972,3.48
"uga",1973,3.56
"uga",1974,3.64
"uga",1975,3.73
"uga",1976,3.82
"uga",1977,3.9
"uga",1978,3.99
"uga",1979,4.08
"uga",1980,4.18
"uga",1981,4.27
"uga",1982,4.37
"uga",1983,4.46
"uga",1984,4.56
"uga",1985,4.66
"uga",1986,4.76
"uga",1987,4.87
"uga",1988,4.97
"uga",1989,5.07
"uga",1990,5.18
"uga",1991,5.29
"uga",1992,5.39
"uga",1993,5.5
"uga",1994,5.61
"uga",1995,5.72
"uga",1996,5.83
"uga",1997,5.95
"uga",1998,6.06
"uga",1999,6.18
"uga",2000,6.29
"uga",2001,6.41
"uga",2002,6.53
"uga",2003,6.65
"uga",2004,6.77
"uga",2005,6.89
"uga",2006,7.01
"uga",2007,7.14
"uga",2008,7.26
"uga",2009,7.39
"uga",2010,7.52
"uga",2011,7.65
"uga",2012,7.78
"uga",2013,7.91
"uga",2014,8.04
"uga",2015,8.17
