"geo","time","males_aged_15_24_unemployment_rate_percent"
"bdi",2014,4.41
"cod",2005,6.3187
"cod",2012,11.2966
"ken",1999,15.9331
"rwa",1996,1.03
"rwa",2017,20.6309
"ssd",2008,20
"tza",2001,5.7809
"tza",2006,5.417
"tza",2014,3.1432
