"geo","time","population_aged_40_59_years_male_percent"
"bdi",1950,14.13884
"bdi",1955,14.09757
"bdi",1960,13.862
"bdi",1965,13.56435
"bdi",1970,13.04685
"bdi",1975,12.30992
"bdi",1980,11.58515
"bdi",1985,10.93046
"bdi",1990,10.34873
"bdi",1995,10.52157
"bdi",2000,11.23698
"bdi",2005,12.05629
"bdi",2010,12.58325
"bdi",2015,11.63016
"bdi",2020,11.38297
"bdi",2025,11.91649
"bdi",2030,12.9808
"bdi",2035,14.15497
"bdi",2040,14.6257
"bdi",2045,14.92108
"bdi",2050,15.63085
"bdi",2055,16.68773
"bdi",2060,18.02889
"bdi",2065,19.17813
"bdi",2070,19.81142
"bdi",2075,20.24544
"bdi",2080,20.7476
"bdi",2085,21.42876
"bdi",2090,22.17176
"bdi",2095,22.78204
"bdi",2100,23.18146
"cod",1950,12.28933
"cod",1955,12.34212
"cod",1960,12.41879
"cod",1965,12.47961
"cod",1970,12.53119
"cod",1975,12.57977
"cod",1980,12.62881
"cod",1985,12.676
"cod",1990,12.65212
"cod",1995,12.44022
"cod",2000,12.27381
"cod",2005,12.11552
"cod",2010,11.98478
"cod",2015,11.95757
"cod",2020,12.0433
"cod",2025,12.26453
"cod",2030,12.60085
"cod",2035,13.07928
"cod",2040,13.69836
"cod",2045,14.60422
"cod",2050,15.81934
"cod",2055,17.21273
"cod",2060,18.59008
"cod",2065,19.81967
"cod",2070,20.89824
"cod",2075,21.85464
"cod",2080,22.74474
"cod",2085,23.51614
"cod",2090,24.11839
"cod",2095,24.55874
"cod",2100,24.86007
"ken",1950,15.97188
"ken",1955,15.26221
"ken",1960,14.30091
"ken",1965,13.35697
"ken",1970,12.47084
"ken",1975,11.69946
"ken",1980,10.69861
"ken",1985,9.66397
"ken",1990,9.39406
"ken",1995,9.70957
"ken",2000,9.92202
"ken",2005,10.20623
"ken",2010,10.77679
"ken",2015,11.9746
"ken",2020,13.63853
"ken",2025,15.46975
"ken",2030,17.03726
"ken",2035,17.90103
"ken",2040,18.81922
"ken",2045,19.74408
"ken",2050,20.82193
"ken",2055,21.84089
"ken",2060,22.53869
"ken",2065,23.04833
"ken",2070,23.42354
"ken",2075,23.9332
"ken",2080,24.3848
"ken",2085,24.72464
"ken",2090,24.94894
"ken",2095,25.08078
"ken",2100,25.16284
"rwa",1950,12.56741
"rwa",1955,11.2445
"rwa",1960,10.21707
"rwa",1965,10.42871
"rwa",1970,11.46082
"rwa",1975,11.99057
"rwa",1980,11.48039
"rwa",1985,10.42294
"rwa",1990,10.1929
"rwa",1995,10.79826
"rwa",2000,11.3501
"rwa",2005,12.91391
"rwa",2010,13.03225
"rwa",2015,12.99686
"rwa",2020,13.61906
"rwa",2025,14.89967
"rwa",2030,17.31732
"rwa",2035,18.26711
"rwa",2040,19.29473
"rwa",2045,20.08363
"rwa",2050,20.98505
"rwa",2055,22.71384
"rwa",2060,23.86579
"rwa",2065,24.55467
"rwa",2070,24.86234
"rwa",2075,25.23728
"rwa",2080,25.74868
"rwa",2085,26.23677
"rwa",2090,26.47546
"rwa",2095,26.37737
"rwa",2100,26.06804
"ssd",1950,13.49864
"ssd",1955,13.56159
"ssd",1960,13.70198
"ssd",1965,13.81368
"ssd",1970,13.8108
"ssd",1975,13.84267
"ssd",1980,13.93033
"ssd",1985,14.01589
"ssd",1990,13.82365
"ssd",1995,12.94808
"ssd",2000,12.46391
"ssd",2005,12.29644
"ssd",2010,12.40298
"ssd",2015,12.88513
"ssd",2020,13.30639
"ssd",2025,13.73284
"ssd",2030,14.49014
"ssd",2035,15.51498
"ssd",2040,16.70157
"ssd",2045,17.83718
"ssd",2050,18.84102
"ssd",2055,19.73396
"ssd",2060,20.58022
"ssd",2065,21.45354
"ssd",2070,22.24078
"ssd",2075,22.92449
"ssd",2080,23.49565
"ssd",2085,24.00489
"ssd",2090,24.49078
"ssd",2095,24.96165
"ssd",2100,25.3786
"tza",1950,12.12996
"tza",1955,12.20055
"tza",1960,12.19806
"tza",1965,12.15374
"tza",1970,12.0826
"tza",1975,11.98395
"tza",1980,11.86014
"tza",1985,11.76727
"tza",1990,11.70375
"tza",1995,11.46085
"tza",2000,11.19733
"tza",2005,11.07621
"tza",2010,11.16502
"tza",2015,11.59016
"tza",2020,12.22892
"tza",2025,12.83866
"tza",2030,13.30816
"tza",2035,13.74826
"tza",2040,14.3003
"tza",2045,15.06979
"tza",2050,16.11441
"tza",2055,17.22489
"tza",2060,18.16269
"tza",2065,18.96497
"tza",2070,19.63473
"tza",2075,20.24758
"tza",2080,20.88367
"tza",2085,21.47114
"tza",2090,21.95486
"tza",2095,22.35098
"tza",2100,22.69955
"uga",1950,12.51171
"uga",1955,12.52778
"uga",1960,12.63605
"uga",1965,12.72372
"uga",1970,12.7056
"uga",1975,12.56208
"uga",1980,11.70144
"uga",1985,11.24258
"uga",1990,10.61139
"uga",1995,9.72427
"uga",2000,8.94363
"uga",2005,8.44788
"uga",2010,8.71628
"uga",2015,9.42783
"uga",2020,10.31182
"uga",2025,11.15279
"uga",2030,11.89972
"uga",2035,12.71331
"uga",2040,13.64387
"uga",2045,14.78411
"uga",2050,16.01919
"uga",2055,17.20412
"uga",2060,18.32726
"uga",2065,19.35541
"uga",2070,20.30839
"uga",2075,21.18745
"uga",2080,21.97087
"uga",2085,22.6381
"uga",2090,23.19698
"uga",2095,23.66996
"uga",2100,24.06797
