"geo","time","mean_years_in_school_women_25_to_34_years"
"rwa",1994,3.07
"rwa",1995,3.18
"rwa",1996,3.28
"rwa",1997,3.39
"rwa",1998,3.49
"rwa",1999,3.6
"rwa",2000,3.71
"rwa",2001,3.82
"rwa",2002,3.93
"rwa",2003,4.04
"rwa",2004,4.15
"rwa",2005,4.26
"rwa",2006,4.38
"rwa",2007,4.5
"rwa",2008,4.61
"rwa",2009,4.73
"rwa",2010,4.85
"rwa",2011,4.97
"rwa",2012,5.1
"rwa",2013,5.22
"rwa",2014,5.35
"rwa",2015,5.48
"ssd",1970,0.27
"ssd",1971,0.28
"ssd",1972,0.29
"ssd",1973,0.3
"ssd",1974,0.31
"ssd",1975,0.32
"ssd",1976,0.34
"ssd",1977,0.35
"ssd",1978,0.36
"ssd",1979,0.37
"ssd",1980,0.38
"ssd",1981,0.4
"ssd",1982,0.41
"ssd",1983,0.42
"ssd",1984,0.44
"ssd",1985,0.45
"ssd",1986,0.47
"ssd",1987,0.48
"ssd",1988,0.5
"ssd",1989,0.52
"ssd",1990,0.53
"ssd",1991,0.55
"ssd",1992,0.57
"ssd",1993,0.59
"ssd",1994,0.61
"ssd",1995,0.63
"ssd",1996,0.65
"ssd",1997,0.67
"ssd",1998,0.69
"ssd",1999,0.71
"ssd",2000,0.74
"ssd",2001,0.76
"ssd",2002,0.79
"ssd",2003,0.81
"ssd",2004,0.84
"ssd",2005,0.87
"ssd",2006,0.89
"ssd",2007,0.92
"ssd",2008,0.95
"ssd",2009,0.98
"ssd",2010,1.02
"ssd",2011,1.05
"ssd",2012,1.08
"ssd",2013,1.12
"ssd",2014,1.15
"ssd",2015,1.19
"tza",1970,2.22
"tza",1971,2.3
"tza",1972,2.37
"tza",1973,2.44
"tza",1974,2.52
"tza",1975,2.6
"tza",1976,2.68
"tza",1977,2.76
"tza",1978,2.85
"tza",1979,2.93
"tza",1980,3.02
"tza",1981,3.11
"tza",1982,3.21
"tza",1983,3.3
"tza",1984,3.4
"tza",1985,3.5
"tza",1986,3.6
"tza",1987,3.7
"tza",1988,3.8
"tza",1989,3.91
"tza",1990,4.02
"tza",1991,4.12
"tza",1992,4.23
"tza",1993,4.34
"tza",1994,4.45
"tza",1995,4.57
"tza",1996,4.68
"tza",1997,4.79
"tza",1998,4.9
"tza",1999,5.01
"tza",2000,5.13
"tza",2001,5.25
"tza",2002,5.36
"tza",2003,5.48
"tza",2004,5.6
"tza",2005,5.73
"tza",2006,5.85
"tza",2007,5.98
"tza",2008,6.1
"tza",2009,6.23
"tza",2010,6.37
"tza",2011,6.5
"tza",2012,6.64
"tza",2013,6.77
"tza",2014,6.92
"tza",2015,7.06
"uga",1970,1.75
"uga",1971,1.81
"uga",1972,1.86
"uga",1973,1.92
"uga",1974,1.98
"uga",1975,2.04
"uga",1976,2.11
"uga",1977,2.17
"uga",1978,2.24
"uga",1979,2.31
"uga",1980,2.38
"uga",1981,2.45
"uga",1982,2.53
"uga",1983,2.61
"uga",1984,2.68
"uga",1985,2.76
"uga",1986,2.85
"uga",1987,2.93
"uga",1988,3.02
"uga",1989,3.11
"uga",1990,3.2
"uga",1991,3.29
"uga",1992,3.39
"uga",1993,3.49
"uga",1994,3.59
"uga",1995,3.69
"uga",1996,3.79
"uga",1997,3.9
"uga",1998,4
"uga",1999,4.11
"uga",2000,4.23
"uga",2001,4.34
"uga",2002,4.46
"uga",2003,4.58
"uga",2004,4.7
"uga",2005,4.82
"uga",2006,4.95
"uga",2007,5.07
"uga",2008,5.2
"uga",2009,5.33
"uga",2010,5.47
"uga",2011,5.6
"uga",2012,5.74
"uga",2013,5.88
"uga",2014,6.02
"uga",2015,6.16
