"geo","time","mean_years_in_school_women_25_to_34_years"
"bdi",1970,1
"bdi",1971,1.04
"bdi",1972,1.07
"bdi",1973,1.11
"bdi",1974,1.15
"bdi",1975,1.18
"bdi",1976,1.22
"bdi",1977,1.27
"bdi",1978,1.31
"bdi",1979,1.35
"bdi",1980,1.4
"bdi",1981,1.45
"bdi",1982,1.5
"bdi",1983,1.55
"bdi",1984,1.6
"bdi",1985,1.66
"bdi",1986,1.71
"bdi",1987,1.77
"bdi",1988,1.83
"bdi",1989,1.89
"bdi",1990,1.96
"bdi",1991,2.02
"bdi",1992,2.09
"bdi",1993,2.16
"bdi",1994,2.24
"bdi",1995,2.31
"bdi",1996,2.39
"bdi",1997,2.48
"bdi",1998,2.56
"bdi",1999,2.64
"bdi",2000,2.73
"bdi",2001,2.82
"bdi",2002,2.91
"bdi",2003,3
"bdi",2004,3.09
"bdi",2005,3.18
"bdi",2006,3.28
"bdi",2007,3.38
"bdi",2008,3.48
"bdi",2009,3.58
"bdi",2010,3.68
"bdi",2011,3.79
"bdi",2012,3.9
"bdi",2013,4.01
"bdi",2014,4.12
"bdi",2015,4.23
"cod",1970,1.84
"cod",1971,1.9
"cod",1972,1.96
"cod",1973,2.02
"cod",1974,2.08
"cod",1975,2.14
"cod",1976,2.21
"cod",1977,2.28
"cod",1978,2.34
"cod",1979,2.42
"cod",1980,2.49
"cod",1981,2.56
"cod",1982,2.64
"cod",1983,2.72
"cod",1984,2.8
"cod",1985,2.88
"cod",1986,2.96
"cod",1987,3.05
"cod",1988,3.14
"cod",1989,3.23
"cod",1990,3.32
"cod",1991,3.41
"cod",1992,3.51
"cod",1993,3.61
"cod",1994,3.71
"cod",1995,3.81
"cod",1996,3.91
"cod",1997,4.02
"cod",1998,4.12
"cod",1999,4.23
"cod",2000,4.34
"cod",2001,4.45
"cod",2002,4.57
"cod",2003,4.69
"cod",2004,4.81
"cod",2005,4.93
"cod",2006,5.05
"cod",2007,5.18
"cod",2008,5.3
"cod",2009,5.43
"cod",2010,5.57
"cod",2011,5.7
"cod",2012,5.84
"cod",2013,5.97
"cod",2014,6.12
"cod",2015,6.26
"ken",1970,2.28
"ken",1971,2.37
"ken",1972,2.47
"ken",1973,2.57
"ken",1974,2.67
"ken",1975,2.78
"ken",1976,2.89
"ken",1977,3
"ken",1978,3.13
"ken",1979,3.25
"ken",1980,3.38
"ken",1981,3.52
"ken",1982,3.66
"ken",1983,3.81
"ken",1984,3.97
"ken",1985,4.13
"ken",1986,4.29
"ken",1987,4.47
"ken",1988,4.65
"ken",1989,4.83
"ken",1990,5.02
"ken",1991,5.21
"ken",1992,5.41
"ken",1993,5.62
"ken",1994,5.82
"ken",1995,6.03
"ken",1996,6.2
"ken",1997,6.37
"ken",1998,6.53
"ken",1999,6.7
"ken",2000,6.86
"ken",2001,7.02
"ken",2002,7.18
"ken",2003,7.33
"ken",2004,7.49
"ken",2005,7.64
"ken",2006,7.79
"ken",2007,7.94
"ken",2008,8.09
"ken",2009,8.24
"ken",2010,8.39
"ken",2011,8.54
"ken",2012,8.69
"ken",2013,8.84
"ken",2014,8.99
"ken",2015,9.14
"rwa",1970,1.31
"rwa",1971,1.36
"rwa",1972,1.41
"rwa",1973,1.46
"rwa",1974,1.51
"rwa",1975,1.56
"rwa",1976,1.62
"rwa",1977,1.68
"rwa",1978,1.74
"rwa",1979,1.8
"rwa",1980,1.86
"rwa",1981,1.93
"rwa",1982,2
"rwa",1983,2.07
"rwa",1984,2.15
"rwa",1985,2.23
"rwa",1986,2.31
"rwa",1987,2.39
"rwa",1988,2.48
"rwa",1989,2.57
"rwa",1990,2.66
"rwa",1991,2.76
"rwa",1992,2.86
"rwa",1993,2.96
