"geo","time","industry_percent_of_gdp"
"tza",2002,19.64247
"tza",2003,20.96698
"tza",2004,20.75113
"tza",2005,19.74664
"tza",2006,20.71002
"tza",2007,20.19406
"tza",2008,20.44993
"tza",2009,18.60352
"tza",2010,20.30323
"tza",2011,22.79385
"tza",2012,21.80158
"tza",2013,22.70315
"tza",2014,23.22699
"tza",2015,24.31805
"tza",2016,24.93266
"tza",2017,26.37039
"uga",1960,12.81601
"uga",1961,12.82863
"uga",1962,12.11673
"uga",1963,13.39182
"uga",1964,12.07951
"uga",1965,12.66223
"uga",1966,11.67927
"uga",1967,11.5212
"uga",1968,12.37517
"uga",1969,12.807
"uga",1970,13.00433
"uga",1971,11.9431
"uga",1972,10.69484
"uga",1973,9.28759
"uga",1974,10.65752
"uga",1975,7.98173
"uga",1976,7.39999
"uga",1977,6.97716
"uga",1978,5.11443
"uga",1979,4.13506
"uga",1980,4.46967
"uga",1981,6.72998
"uga",1982,10.70034
"uga",1983,8.70406
"uga",1984,9.85599
"uga",1985,9.06206
"uga",1986,9.5976
"uga",1987,9.72063
"uga",1988,9.74789
"uga",1989,10.249
"uga",1990,10.41463
"uga",1991,11.55492
"uga",1992,12.45744
"uga",1993,12.26792
"uga",1994,12.82337
"uga",1995,13.10608
"uga",1996,14.70931
"uga",1997,15.93667
"uga",1998,16.43803
"uga",1999,17.84682
"uga",2000,21.43818
"uga",2001,21.16865
"uga",2002,22.9201
"uga",2003,22.67671
"uga",2004,20.86401
"uga",2005,23.51011
"uga",2006,22.76616
"uga",2007,25.07733
"uga",2008,25.76811
"uga",2009,20.19016
"uga",2010,18.12702
"uga",2011,20.1562
"uga",2012,21.30684
"uga",2013,20.63007
"uga",2014,20.41053
"uga",2015,20.00992
"uga",2016,20.67631
"uga",2017,19.98439
