"geo","time","mean_years_in_school_men_65_plus_years"
"uga",1970,1.09
"uga",1971,1.12
"uga",1972,1.15
"uga",1973,1.18
"uga",1974,1.22
"uga",1975,1.25
"uga",1976,1.29
"uga",1977,1.32
"uga",1978,1.36
"uga",1979,1.4
"uga",1980,1.44
"uga",1981,1.48
"uga",1982,1.52
"uga",1983,1.56
"uga",1984,1.61
"uga",1985,1.65
"uga",1986,1.7
"uga",1987,1.75
"uga",1988,1.8
"uga",1989,1.85
"uga",1990,1.91
"uga",1991,1.96
"uga",1992,2.02
"uga",1993,2.08
"uga",1994,2.14
"uga",1995,2.2
"uga",1996,2.27
"uga",1997,2.34
"uga",1998,2.41
"uga",1999,2.48
"uga",2000,2.55
"uga",2001,2.62
"uga",2002,2.7
"uga",2003,2.77
"uga",2004,2.85
"uga",2005,2.93
"uga",2006,3.01
"uga",2007,3.09
"uga",2008,3.17
"uga",2009,3.25
"uga",2010,3.34
"uga",2011,3.42
"uga",2012,3.51
"uga",2013,3.59
"uga",2014,3.68
"uga",2015,3.77
