"geo","time","agriculture_percent_of_gdp"
"uga",1978,73.65537
"uga",1979,65.2178
"uga",1980,71.76304
"uga",1981,58.32648
"uga",1982,50.2411
"uga",1983,53.05758
"uga",1984,49.75668
"uga",1985,48.37572
"uga",1986,53.09797
"uga",1987,54.7545
"uga",1988,54.2744
"uga",1989,54.37623
"uga",1990,53.28291
"uga",1991,49.37254
"uga",1992,48.20294
"uga",1993,48.28488
"uga",1994,46.16985
"uga",1995,45.29539
"uga",1996,41.0372
"uga",1997,38.11996
"uga",1998,38.25105
"uga",1999,34.78598
"uga",2000,27.50911
"uga",2001,27.85024
"uga",2002,23.43343
"uga",2003,24.50702
"uga",2004,21.67035
"uga",2005,25.07494
"uga",2006,24.03493
"uga",2007,22.27811
"uga",2008,21.3846
"uga",2009,26.14618
"uga",2010,26.23554
"uga",2011,25.06253
"uga",2012,26.08153
"uga",2013,25.47995
"uga",2014,25.07438
"uga",2015,23.98158
"uga",2016,23.70811
"uga",2017,24.89675
