"geo","time","mean_years_in_school_women_55_to_64_years"
"bdi",1970,0.19
"bdi",1971,0.19
"bdi",1972,0.2
"bdi",1973,0.21
"bdi",1974,0.22
"bdi",1975,0.22
"bdi",1976,0.23
"bdi",1977,0.24
"bdi",1978,0.25
"bdi",1979,0.26
"bdi",1980,0.27
"bdi",1981,0.28
"bdi",1982,0.29
"bdi",1983,0.3
"bdi",1984,0.31
"bdi",1985,0.33
"bdi",1986,0.34
"bdi",1987,0.35
"bdi",1988,0.37
"bdi",1989,0.38
"bdi",1990,0.4
"bdi",1991,0.41
"bdi",1992,0.43
"bdi",1993,0.45
"bdi",1994,0.47
"bdi",1995,0.49
"bdi",1996,0.51
"bdi",1997,0.53
"bdi",1998,0.55
"bdi",1999,0.58
"bdi",2000,0.6
"bdi",2001,0.63
"bdi",2002,0.65
"bdi",2003,0.68
"bdi",2004,0.71
"bdi",2005,0.73
"bdi",2006,0.76
"bdi",2007,0.79
"bdi",2008,0.82
"bdi",2009,0.85
"bdi",2010,0.88
"bdi",2011,0.92
"bdi",2012,0.95
"bdi",2013,0.98
"bdi",2014,1.02
"bdi",2015,1.05
"cod",1970,0.51
"cod",1971,0.53
"cod",1972,0.55
"cod",1973,0.57
"cod",1974,0.59
"cod",1975,0.61
"cod",1976,0.63
"cod",1977,0.65
"cod",1978,0.68
"cod",1979,0.7
"cod",1980,0.73
"cod",1981,0.75
"cod",1982,0.78
"cod",1983,0.81
"cod",1984,0.84
"cod",1985,0.87
"cod",1986,0.9
"cod",1987,0.93
"cod",1988,0.96
"cod",1989,1
"cod",1990,1.04
"cod",1991,1.07
"cod",1992,1.11
"cod",1993,1.15
"cod",1994,1.19
"cod",1995,1.24
"cod",1996,1.29
"cod",1997,1.34
"cod",1998,1.39
"cod",1999,1.44
"cod",2000,1.5
"cod",2001,1.55
"cod",2002,1.61
"cod",2003,1.67
"cod",2004,1.73
"cod",2005,1.79
"cod",2006,1.85
"cod",2007,1.92
"cod",2008,1.98
"cod",2009,2.05
"cod",2010,2.12
"cod",2011,2.19
"cod",2012,2.26
"cod",2013,2.33
"cod",2014,2.4
