"geo","time","mean_years_in_school_men_15_to_24_years"
"bdi",1970,1.92
"bdi",1971,1.97
"bdi",1972,2.02
"bdi",1973,2.07
"bdi",1974,2.12
"bdi",1975,2.18
"bdi",1976,2.23
"bdi",1977,2.29
"bdi",1978,2.34
"bdi",1979,2.4
"bdi",1980,2.46
"bdi",1981,2.52
"bdi",1982,2.59
"bdi",1983,2.65
"bdi",1984,2.71
"bdi",1985,2.78
"bdi",1986,2.85
"bdi",1987,2.92
"bdi",1988,2.99
"bdi",1989,3.06
"bdi",1990,3.14
"bdi",1991,3.21
"bdi",1992,3.29
"bdi",1993,3.37
"bdi",1994,3.45
"bdi",1995,3.54
"bdi",1996,3.62
"bdi",1997,3.71
"bdi",1998,3.8
"bdi",1999,3.89
"bdi",2000,3.98
"bdi",2001,4.08
"bdi",2002,4.17
"bdi",2003,4.27
"bdi",2004,4.37
"bdi",2005,4.47
"bdi",2006,4.57
"bdi",2007,4.67
"bdi",2008,4.78
"bdi",2009,4.89
"bdi",2010,4.99
"bdi",2011,5.1
"bdi",2012,5.21
"bdi",2013,5.33
"bdi",2014,5.44
"bdi",2015,5.56
"cod",1970,3.11
"cod",1971,3.18
"cod",1972,3.26
"cod",1973,3.33
"cod",1974,3.41
"cod",1975,3.48
"cod",1976,3.56
"cod",1977,3.64
"cod",1978,3.72
"cod",1979,3.81
"cod",1980,3.89
"cod",1981,3.98
"cod",1982,4.06
"cod",1983,4.15
"cod",1984,4.24
"cod",1985,4.33
"cod",1986,4.42
"cod",1987,4.52
"cod",1988,4.61
"cod",1989,4.71
"cod",1990,4.81
"cod",1991,4.91
"cod",1992,5.01
"cod",1993,5.11
"cod",1994,5.21
"cod",1995,5.32
"cod",1996,5.43
"cod",1997,5.54
"cod",1998,5.65
"cod",1999,5.76
"cod",2000,5.88
"cod",2001,6
"cod",2002,6.12
"cod",2003,6.24
"cod",2004,6.36
"cod",2005,6.48
"cod",2006,6.61
"cod",2007,6.73
"cod",2008,6.86
"cod",2009,6.99
"cod",2010,7.13
"cod",2011,7.26
"cod",2012,7.39
"cod",2013,7.53
"cod",2014,7.67
"cod",2015,7.81
"ken",1970,4.15
"ken",1971,4.25
"ken",1972,4.34
"ken",1973,4.44
"ken",1974,4.54
"ken",1975,4.64
"ken",1976,4.74
"ken",1977,4.85
