"geo","time","population_aged_20_39_years_total_number"
"bdi",1950,673133
"bdi",1955,717035
"bdi",1960,766409
"bdi",1965,818354
"bdi",1970,880915
"bdi",1975,940207
"bdi",1980,1135990
"bdi",1985,1320973
"bdi",1990,1507019
"bdi",1995,1469921
"bdi",2000,1490201
"bdi",2005,1916650
"bdi",2010,2443623
"bdi",2015,2964132
"bdi",2020,3461562
"bdi",2025,3931735
"bdi",2030,4514885
"bdi",2035,5263558
"bdi",2040,6203638
"bdi",2045,7179210
"bdi",2050,8036105
"bdi",2055,8846493
"bdi",2060,9694353
"bdi",2065,10630680
"bdi",2070,11610350
"bdi",2075,12519831
"bdi",2080,13296797
"bdi",2085,13981940
"bdi",2090,14649340
"bdi",2095,15312453
"bdi",2100,15926050
"cod",1950,3334454
"cod",1955,3757664
"cod",1960,4274639
"cod",1965,4892597
"cod",1970,5620863
"cod",1975,6319923
"cod",1980,7168253
"cod",1985,8034774
"cod",1990,9251138
"cod",1995,11119489
"cod",2000,12618082
"cod",2005,14658687
"cod",2010,17179784
"cod",2015,20239037
"cod",2020,23916561
"cod",2025,28462836
"cod",2030,34082946
"cod",2035,40672623
"cod",2040,47821995
"cod",2045,55115560
"cod",2050,62339911
"cod",2055,69395179
"cod",2060,76316895
"cod",2065,82784069
"cod",2070,88473817
"cod",2075,93280836
"cod",2080,97209177
"cod",2085,100467949
"cod",2090,103010450
"cod",2095,104807852
"cod",2100,105896890
"ken",1950,1678390
"ken",1955,1886440
"ken",1960,2081319
"ken",1965,2255233
"ken",1970,2595882
"ken",1975,3143896
"ken",1980,3924683
"ken",1985,4964519
"ken",1990,6119538
"ken",1995,7545293
"ken",2000,9005466
"ken",2005,10820846
"ken",2010,12841658
"ken",2015,14755966
"ken",2020,16818613
"ken",2025,18950556
"ken",2030,21321347
"ken",2035,23763174
"ken",2040,25898414
"ken",2045,27794971
"ken",2050,29461707
"ken",2055,31216312
"ken",2060,32802632
"ken",2065,34127173
"ken",2070,35154659
"ken",2075,35905436
"ken",2080,36440599
"ken",2085,36788105
"ken",2090,36912098
"ken",2095,36794949
"ken",2100,36469346
"rwa",1950,593013
"rwa",1955,708407
"rwa",1960,805857
"rwa",1965,796427
"rwa",1970,928293
"rwa",1975,1105844
"rwa",1980,1360219
"rwa",1985,1618063
"rwa",1990,1896060
"rwa",1995,1760222
"rwa",2000,2180284
"rwa",2005,2576894
"rwa",2010,3189150
"rwa",2015,3622835
"rwa",2020,4105677
"rwa",2025,4520175
"rwa",2030,4999668
"rwa",2035,5656714
"rwa",2040,6186538
"rwa",2045,6573420
"rwa",2050,6825737
"rwa",2055,7062495
"rwa",2060,7306830
"rwa",2065,7518883
"rwa",2070,7626995
"rwa",2075,7603565
"rwa",2080,7487261
"rwa",2085,7336609
"rwa",2090,7187381
"rwa",2095,7029331
"rwa",2100,6845354
"ssd",1950,706933
"ssd",1955,780349
"ssd",1960,868830
"ssd",1965,969738
"ssd",1970,1071944
"ssd",1975,1145866
"ssd",1980,1268870
"ssd",1985,1456778
"ssd",1990,1544450
"ssd",1995,1492471
"ssd",2000,1840284
"ssd",2005,2224982
"ssd",2010,2806701
"ssd",2015,3409584
"ssd",2020,4035141
"ssd",2025,4684870
"ssd",2030,5336527
"ssd",2035,5991073
"ssd",2040,6663709
"ssd",2045,7367208
"ssd",2050,8052403
"ssd",2055,8700383
"ssd",2060,9290259
"ssd",2065,9829274
"ssd",2070,10327968
"ssd",2075,10785365
"ssd",2080,11186090
"ssd",2085,11514924
"ssd",2090,11769670
"ssd",2095,11957805
"ssd",2100,12086331
"tza",1950,2100587
"tza",1955,2401553
"tza",1960,2751173
"tza",1965,3169351
"tza",1970,3681091
"tza",1975,4268017
"tza",1980,4964008
"tza",1985,5815851
"tza",1990,6821586
"tza",1995,8170681
"tza",2000,9507484
"tza",2005,11022869
"tza",2010,12916063
"tza",2015,15039696
"tza",2020,17507597
"tza",2025,20587541
"tza",2030,24281812
"tza",2035,28522550
"tza",2040,33030670
"tza",2045,37564070
"tza",2050,42209918
"tza",2055,46971459
"tza",2060,51959663
"tza",2065,56986366
"tza",2070,61833970
"tza",2075,66434513
"tza",2080,70824109
"tza",2085,74978915
"tza",2090,78912970
"tza",2095,82515793
"tza",2100,85697447
"uga",1950,1481170
"uga",1955,1695222
"uga",1960,1842049
"uga",1965,2108648
"uga",1970,2417370
"uga",1975,2753825
"uga",1980,3257009
"uga",1985,3821390
"uga",1990,4564483
"uga",1995,5321459
"uga",2000,6250252
"uga",2005,7544350
"uga",2010,9120296
"uga",2015,11017619
"uga",2020,13227498
"uga",2025,15879306
"uga",2030,18931911
"uga",2035,22253231
"uga",2040,25825503
"uga",2045,29528784
"uga",2050,33339676
"uga",2055,37184582
"uga",2060,40919989
"uga",2065,44452663
"uga",2070,47717773
"uga",2075,50705100
"uga",2080,53395030
"uga",2085,55732889
"uga",2090,57694578
"uga",2095,59263061
"uga",2100,60444373
