"geo","time","aged_55_64_unemployment_rate_percent"
"bdi",2014,0.32
"cod",2005,1.9093
"cod",2012,1.4278
"ken",1999,5.9888
"rwa",1996,0.24
"rwa",2017,12.7188
"ssd",2008,7.57
"tza",2001,1.097
"tza",2006,1.1776
"tza",2014,0.4992
