"geo","time","females_aged_15_64_labour_force_participation_rate_percent"
"bdi",1990,91.948
"bdi",1991,91.541
"bdi",1992,91.063
"bdi",1993,90.515
"bdi",1994,89.903
"bdi",1995,89.231
"bdi",1996,88.526
"bdi",1997,87.745
"bdi",1998,86.879
"bdi",1999,86.268
"bdi",2000,85.614
"bdi",2001,85.098
"bdi",2002,84.593
"bdi",2003,84.107
"bdi",2004,83.652
"bdi",2005,83.235
"bdi",2006,82.815
"bdi",2007,82.422
"bdi",2008,82.063
"bdi",2009,81.747
"bdi",2010,81.481
"bdi",2011,81.25
"bdi",2012,81.064
"bdi",2013,80.905
"bdi",2014,80.749
"bdi",2015,81.055
"bdi",2016,81.333
"bdi",2017,81.456
"bdi",2018,81.548
"bdi",2019,81.594
"bdi",2020,81.587
"bdi",2021,81.523
"bdi",2022,81.409
"bdi",2023,81.262
"bdi",2024,81.103
"bdi",2025,80.945
"bdi",2026,80.781
"bdi",2027,80.62
"bdi",2028,80.468
"bdi",2029,80.329
"bdi",2030,80.209
"cod",1990,72.788
"cod",1991,72.711
"cod",1992,72.617
"cod",1993,72.501
"cod",1994,72.436
"cod",1995,72.387
"cod",1996,72.35
"cod",1997,72.277
"cod",1998,72.22
"cod",1999,72.147
"cod",2000,72.063
"cod",2001,72.023
"cod",2002,72.008
"cod",2003,72.007
"cod",2004,72.012
"cod",2005,72.014
"cod",2006,72.028
"cod",2007,72.04
"cod",2008,72.05
"cod",2009,72.045
"cod",2010,72.066
"cod",2011,72.101
"cod",2012,72.135
"cod",2013,72.171
"cod",2014,72.199
"cod",2015,72.202
"cod",2016,72.179
"cod",2017,72.172
"cod",2018,72.162
"cod",2019,72.15
"cod",2020,72.137
"cod",2021,72.121
"cod",2022,72.107
"cod",2023,72.096
"cod",2024,72.091
"cod",2025,72.095
"cod",2026,72.104
"cod",2027,72.12
"cod",2028,72.147
"cod",2029,72.188
"cod",2030,72.243
"ken",1990,71.446
"ken",1991,71.391
"ken",1992,71.32
"ken",1993,71.262
"ken",1994,71.23
"ken",1995,71.223
"ken",1996,71.179
"ken",1997,71.128
"ken",1998,71.11
"ken",1999,71.097
"ken",2000,69.523
"ken",2001,67.848
"ken",2002,66.089
"ken",2003,64.268
"ken",2004,62.414
"ken",2005,60.548
"ken",2006,60.831
"ken",2007,61.159
"ken",2008,61.463
"ken",2009,61.749
"ken",2010,62.006
"ken",2011,62.25
"ken",2012,62.442
"ken",2013,62.612
"ken",2014,62.773
"ken",2015,62.938
"ken",2016,63.108
"ken",2017,63.035
"ken",2018,62.963
"ken",2019,62.887
"ken",2020,62.806
"ken",2021,62.719
"ken",2022,62.629
"ken",2023,62.547
"ken",2024,62.489
"ken",2025,62.461
"ken",2026,62.457
"ken",2027,62.481
"ken",2028,62.522
"ken",2029,62.566
"ken",2030,62.603
"rwa",1990,88.356
"rwa",1991,88.361
"rwa",1992,88.348
"rwa",1993,88.176
"rwa",1994,87.702
"rwa",1995,87.485
"rwa",1996,87.401
"rwa",1997,87.404
"rwa",1998,87.477
"rwa",1999,87.541
"rwa",2000,87.525
"rwa",2001,87.433
"rwa",2002,87.292
"rwa",2003,87.089
"rwa",2004,86.954
"rwa",2005,86.941
"rwa",2006,87.051
"rwa",2007,87.262
"rwa",2008,87.524
"rwa",2009,87.739
"rwa",2010,87.881
"rwa",2011,87.998
"rwa",2012,88.054
"rwa",2013,88.052
"rwa",2014,88.036
"rwa",2015,88.013
"rwa",2016,87.972
"rwa",2017,87.997
"rwa",2018,88.016
"rwa",2019,88.028
"rwa",2020,88.031
"rwa",2021,88.031
"rwa",2022,88.027
"rwa",2023,88.025
"rwa",2024,88.038
"rwa",2025,88.07
"rwa",2026,88.121
"rwa",2027,88.189
"rwa",2028,88.268
"rwa",2029,88.348
"rwa",2030,88.424
"ssd",1990,72.793
"ssd",1991,72.767
"ssd",1992,72.756
"ssd",1993,72.756
"ssd",1994,72.755
"ssd",1995,72.736
"ssd",1996,72.733
"ssd",1997,72.74
"ssd",1998,72.744
"ssd",1999,72.743
"ssd",2000,72.743
"ssd",2001,72.714
"ssd",2002,72.692
"ssd",2003,72.68
"ssd",2004,72.677
"ssd",2005,72.683
"ssd",2006,72.685
"ssd",2007,72.697
"ssd",2008,72.716
"ssd",2009,72.739
"ssd",2010,72.765
"ssd",2011,72.781
"ssd",2012,72.798
"ssd",2013,72.819
"ssd",2014,72.846
"ssd",2015,72.882
"ssd",2016,72.922
"ssd",2017,72.993
"ssd",2018,73.069
"ssd",2019,73.146
"ssd",2020,73.22
"ssd",2021,73.294
"ssd",2022,73.364
"ssd",2023,73.434
"ssd",2024,73.507
"ssd",2025,73.587
"ssd",2026,73.672
"ssd",2027,73.761
"ssd",2028,73.853
"ssd",2029,73.943
"ssd",2030,74.032
"tza",1990,83.013
"tza",1991,82.984
"tza",1992,82.939
"tza",1993,82.89
"tza",1994,82.837
"tza",1995,82.787
"tza",1996,82.771
"tza",1997,82.739
"tza",1998,82.702
"tza",1999,82.671
"tza",2000,82.649
"tza",2001,82.641
"tza",2002,82.651
"tza",2003,82.674
"tza",2004,82.701
"tza",2005,82.724
"tza",2006,82.762
"tza",2007,82.794
"tza",2008,82.81
"tza",2009,82.838
"tza",2010,82.886
"tza",2011,82.97
"tza",2012,82.552
"tza",2013,81.948
"tza",2014,81.125
"tza",2015,81.135
"tza",2016,81.132
"tza",2017,81.072
"tza",2018,81.005
"tza",2019,80.94
"tza",2020,80.882
"tza",2021,80.831
"tza",2022,80.784
"tza",2023,80.74
"tza",2024,80.694
"tza",2025,80.645
"tza",2026,80.595
"tza",2027,80.544
"tza",2028,80.493
"tza",2029,80.443
"tza",2030,80.394
"uga",1990,63.747
"uga",1991,63.76
"uga",1992,63.957
"uga",1993,64.152
"uga",1994,64.349
"uga",1995,64.546
"uga",1996,64.727
"uga",1997,64.905
"uga",1998,65.079
"uga",1999,65.251
"uga",2000,65.422
"uga",2001,65.602
"uga",2002,65.781
"uga",2003,65.959
"uga",2004,66.134
"uga",2005,66.307
"uga",2006,66.492
"uga",2007,66.67
"uga",2008,66.847
"uga",2009,67.027
"uga",2010,67.213
"uga",2011,67.419
"uga",2012,67.628
"uga",2013,67.662
"uga",2014,67.705
"uga",2015,67.744
"uga",2016,67.781
"uga",2017,67.908
"uga",2018,68.036
"uga",2019,68.167
"uga",2020,68.304
"uga",2021,68.445
"uga",2022,68.59
"uga",2023,68.739
"uga",2024,68.894
"uga",2025,69.054
"uga",2026,69.22
"uga",2027,69.39
"uga",2028,69.562
"uga",2029,69.736
"uga",2030,69.909
