"geo","time","population_aged_10_14_years_total_number"
"bdi",1950,263765
"bdi",1955,280865
"bdi",1960,304263
"bdi",1965,378422
"bdi",1970,431056
"bdi",1975,470938
"bdi",1980,487991
"bdi",1985,517839
"bdi",1990,645138
"bdi",1995,803399
"bdi",2000,945555
"bdi",2005,1022936
"bdi",2010,1064218
"bdi",2015,1199457
"bdi",2020,1487505
"bdi",2025,1764042
"bdi",2030,2011411
"bdi",2035,2188157
"bdi",2040,2346666
"bdi",2045,2571705
"bdi",2050,2855097
"bdi",2055,3123452
"bdi",2060,3328760
"bdi",2065,3484535
"bdi",2070,3632127
"bdi",2075,3806430
"bdi",2080,3993354
"bdi",2085,4145040
"bdi",2090,4242959
"bdi",2095,4288547
"bdi",2100,4334806
"cod",1950,1444048
"cod",1955,1638369
"cod",1960,1847459
"cod",1965,2025724
"cod",1970,2357600
"cod",1975,2737314
"cod",1980,3186302
"cod",1985,3621163
"cod",1990,4212009
"cod",1995,5100357
"cod",2000,5813841
"cod",2005,6777208
"cod",2010,7940499
"cod",2015,9562263
"cod",2020,11520271
"cod",2025,13504748
"cod",2030,15233375
"cod",2035,16966751
"cod",2040,18791934
"cod",2045,20562694
"cod",2050,22143597
"cod",2055,23410744
"cod",2060,24442785
"cod",2065,25311057
"cod",2070,25997557
"cod",2075,26588783
"cod",2080,26896410
"cod",2085,27013563
"cod",2090,26986826
"cod",2095,26779427
"cod",2100,26512045
"ken",1950,653781
"ken",1955,681616
"ken",1960,917128
"ken",1965,1201293
"ken",1970,1450525
"ken",1975,1751640
"ken",1980,2122170
"ken",1985,2622947
"ken",1990,3184694
"ken",1995,3791679
"ken",2000,4255928
"ken",2005,4457368
"ken",2010,5207805
"ken",2015,5900935
"ken",2020,6594416
"ken",2025,6883158
"ken",2030,7323210
"ken",2035,7774675
"ken",2040,8231713
"ken",2045,8615972
"ken",2050,8885930
"ken",2055,9071568
"ken",2060,9229730
"ken",2065,9337345
"ken",2070,9393119
"ken",2075,9391373
"ken",2080,9325593
"ken",2085,9189438
"ken",2090,9035217
"ken",2095,8886519
"ken",2100,8720901
"rwa",1950,245679
"rwa",1955,267104
"rwa",1960,359097
"rwa",1965,432699
"rwa",1970,511204
"rwa",1975,552819
"rwa",1980,625966
"rwa",1985,761027
"rwa",1990,959431
"rwa",1995,896864
"rwa",2000,1162932
"rwa",2005,1056053
"rwa",2010,1225996
"rwa",2015,1399232
"rwa",2020,1600900
"rwa",2025,1702207
"rwa",2030,1751471
"rwa",2035,1783203
"rwa",2040,1846221
"rwa",2045,1929862
"rwa",2050,1985765
"rwa",2055,1984705
"rwa",2060,1942224
"rwa",2065,1892988
"rwa",2070,1855377
"rwa",2075,1820388
"rwa",2080,1780362
"rwa",2085,1723053
"rwa",2090,1659737
"rwa",2095,1600606
"rwa",2100,1552310
"ssd",1950,305555
"ssd",1955,336289
"ssd",1960,357987
"ssd",1965,345243
"ssd",1970,411146
"ssd",1975,485824
"ssd",1980,571584
"ssd",1985,664032
"ssd",1990,696113
"ssd",1995,643599
"ssd",2000,824739
"ssd",2005,1019127
"ssd",2010,1273747
"ssd",2015,1462656
"ssd",2020,1649606
"ssd",2025,1825129
"ssd",2030,2009311
"ssd",2035,2181324
"ssd",2040,2330808
"ssd",2045,2461079
"ssd",2050,2583265
"ssd",2055,2703388
"ssd",2060,2812822
"ssd",2065,2903075
"ssd",2070,2969900
"ssd",2075,3018184
"ssd",2080,3053282
"ssd",2085,3076167
"ssd",2090,3083545
"ssd",2095,3071803
"ssd",2100,3049165
"tza",1950,936891
"tza",1955,1076507
"tza",1960,1257747
"tza",1965,1412944
"tza",1970,1676860
"tza",1975,1985575
"tza",1980,2337833
"tza",1985,2765165
"tza",1990,3247425
"tza",1995,3821519
"tza",2000,4365350
"tza",2005,4961346
"tza",2010,5721652
"tza",2015,6852896
"tza",2020,8022669
"tza",2025,9234579
"tza",2030,10268059
"tza",2035,11415189
"tza",2040,12688404
"tza",2045,14003023
"tza",2050,15259088
"tza",2055,16434294
"tza",2060,17519744
"tza",2065,18583978
"tza",2070,19628518
"tza",2075,20567256
"tza",2080,21429710
"tza",2085,22157278
"tza",2090,22773097
"tza",2095,23301477
"tza",2100,23756127
"uga",1950,554092
"uga",1955,693720
"uga",1960,807825
"uga",1965,999646
"uga",1970,1172853
"uga",1975,1355004
"uga",1980,1594171
"uga",1985,1853434
"uga",1990,2227242
"uga",1995,2668402
"uga",2000,3180851
"uga",2005,3844084
"uga",2010,4557934
"uga",2015,5433191
"uga",2020,6324552
"uga",2025,7211845
"uga",2030,8156336
"uga",2035,9139772
"uga",2040,10122514
"uga",2045,11041314
"uga",2050,11876677
"uga",2055,12651481
"uga",2060,13357706
"uga",2065,13991354
"uga",2070,14525145
"uga",2075,14948258
"uga",2080,15279125
"uga",2085,15518813
"uga",2090,15664198
"uga",2095,15727899
"uga",2100,15705166
