"geo","time","children_per_woman_total_fertility"
"cod",1814,5.99
"cod",1815,5.99
"cod",1816,5.99
"cod",1817,5.99
"cod",1818,5.99
"cod",1819,5.99
"cod",1820,5.99
"cod",1821,5.99
"cod",1822,5.99
"cod",1823,5.99
"cod",1824,5.99
"cod",1825,5.99
"cod",1826,5.99
"cod",1827,5.99
"cod",1828,5.99
"cod",1829,5.99
"cod",1830,5.99
"cod",1831,5.99
"cod",1832,5.99
"cod",1833,5.99
"cod",1834,5.99
"cod",1835,5.99
"cod",1836,5.99
"cod",1837,5.99
"cod",1838,5.99
"cod",1839,5.99
"cod",1840,5.99
"cod",1841,5.99
"cod",1842,5.99
"cod",1843,5.99
"cod",1844,5.99
"cod",1845,5.99
"cod",1846,5.99
"cod",1847,5.99
"cod",1848,5.99
"cod",1849,5.99
"cod",1850,5.99
"cod",1851,5.99
"cod",1852,5.99
"cod",1853,5.99
"cod",1854,5.99
"cod",1855,5.99
"cod",1856,5.99
"cod",1857,5.99
"cod",1858,5.99
"cod",1859,5.99
"cod",1860,5.99
"cod",1861,5.99
"cod",1862,5.99
"cod",1863,5.99
"cod",1864,5.99
"cod",1865,5.99
"cod",1866,5.99
"cod",1867,5.99
"cod",1868,5.99
"cod",1869,5.99
"cod",1870,5.99
"cod",1871,5.99
"cod",1872,5.99
"cod",1873,5.99
"cod",1874,5.99
"cod",1875,5.99
"cod",1876,5.99
"cod",1877,5.99
"cod",1878,5.99
"cod",1879,5.99
"cod",1880,5.99
"cod",1881,5.99
"cod",1882,5.99
"cod",1883,5.99
"cod",1884,5.99
"cod",1885,5.99
"cod",1886,5.99
"cod",1887,5.99
"cod",1888,5.99
"cod",1889,5.99
"cod",1890,5.99
"cod",1891,5.99
"cod",1892,5.99
"cod",1893,5.99
"cod",1894,5.99
"cod",1895,5.99
"cod",1896,5.99
"cod",1897,5.99
"cod",1898,5.99
"cod",1899,5.99
"cod",1900,5.99
"cod",1901,5.99
"cod",1902,5.99
"cod",1903,5.99
"cod",1904,5.99
"cod",1905,5.99
"cod",1906,5.99
"cod",1907,5.99
"cod",1908,5.99
"cod",1909,5.99
"cod",1910,5.99
"cod",1911,5.99
"cod",1912,5.99
"cod",1913,5.99
"cod",1914,5.99
"cod",1915,5.99
"cod",1916,5.99
"cod",1917,5.99
"cod",1918,5.99
"cod",1919,5.99
"cod",1920,5.99
"cod",1921,5.99
"cod",1922,5.99
"cod",1923,5.99
"cod",1924,5.99
"cod",1925,5.99
"cod",1926,5.99
"cod",1927,5.99
"cod",1928,5.99
"cod",1929,5.99
"cod",1930,5.99
"cod",1931,5.99
"cod",1932,5.99
"cod",1933,5.99
"cod",1934,5.99
"cod",1935,5.99
"cod",1936,5.99
"cod",1937,5.99
"cod",1938,5.99
"cod",1939,5.99
"cod",1940,5.99
"cod",1941,5.99
"cod",1942,5.99
"cod",1943,5.99
"cod",1944,5.99
"cod",1945,5.99
"cod",1946,5.99
"cod",1947,5.99
"cod",1948,5.99
"cod",1949,5.99
"cod",1950,5.99
"cod",1951,5.99
"cod",1952,5.98
"cod",1953,5.98
"cod",1954,5.97
"cod",1955,5.97
"cod",1956,5.97
"cod",1957,5.98
"cod",1958,5.98
"cod",1959,5.99
"cod",1960,6
"cod",1961,6.02
"cod",1962,6.03
"cod",1963,6.05
"cod",1964,6.07
"cod",1965,6.09
"cod",1966,6.11
"cod",1967,6.14
"cod",1968,6.16
"cod",1969,6.19
"cod",1970,6.21
"cod",1971,6.24
"cod",1972,6.27
"cod",1973,6.3
"cod",1974,6.33
"cod",1975,6.37
"cod",1976,6.4
"cod",1977,6.44
"cod",1978,6.49
"cod",1979,6.54
"cod",1980,6.59
"cod",1981,6.64
"cod",1982,6.69
"cod",1983,6.74
"cod",1984,6.79
"cod",1985,6.85
"cod",1986,6.9
"cod",1987,6.96
"cod",1988,7.02
"cod",1989,7.08
"cod",1990,7.13
"cod",1991,7.17
"cod",1992,7.19
"cod",1993,7.2
"cod",1994,7.19
"cod",1995,7.18
"cod",1996,7.15
"cod",1997,7.11
"cod",1998,7.06
"cod",1999,7.02
"cod",2000,6.96
"cod",2001,6.91
"cod",2002,6.86
"cod",2003,6.81
"cod",2004,6.76
"cod",2005,6.71
"cod",2006,6.66
"cod",2007,6.61
"cod",2008,6.57
"cod",2009,6.52
"cod",2010,6.47
"cod",2011,6.42
"cod",2012,6.36
"cod",2013,6.3
"cod",2014,6.24
"cod",2015,6.17
"cod",2016,6.09
"cod",2017,6.02
"cod",2018,5.92
"ken",1800,6.91
"ken",1801,6.91
"ken",1802,6.91
"ken",1803,6.91
"ken",1804,6.91
"ken",1805,6.91
"ken",1806,6.91
"ken",1807,6.91
"ken",1808,6.91
"ken",1809,6.91
"ken",1810,6.91
"ken",1811,6.91
"ken",1812,6.91
"ken",1813,6.91
"ken",1814,6.91
"ken",1815,6.91
"ken",1816,6.91
"ken",1817,6.91
"ken",1818,6.91
"ken",1819,6.91
"ken",1820,6.91
"ken",1821,6.91
"ken",1822,6.91
"ken",1823,6.91
"ken",1824,6.91
"ken",1825,6.91
"ken",1826,6.91
"ken",1827,6.91
"ken",1828,6.91
"ken",1829,6.91
"ken",1830,6.91
"ken",1831,6.91
"ken",1832,6.91
"ken",1833,6.91
"ken",1834,6.91
"ken",1835,6.91
"ken",1836,6.91
"ken",1837,6.91
"ken",1838,6.91
"ken",1839,6.91
"ken",1840,6.91
"ken",1841,6.91
"ken",1842,6.91
"ken",1843,6.91
"ken",1844,6.91
"ken",1845,6.91
"ken",1846,6.91
"ken",1847,6.91
"ken",1848,6.91
"ken",1849,6.91
"ken",1850,6.91
"ken",1851,6.91
"ken",1852,6.91
"ken",1853,6.91
"ken",1854,6.91
"ken",1855,6.91
"ken",1856,6.91
"ken",1857,6.91
"ken",1858,6.91
"ken",1859,6.91
"ken",1860,6.91
"ken",1861,6.91
"ken",1862,6.91
"ken",1863,6.91
"ken",1864,6.91
"ken",1865,6.91
"ken",1866,6.91
"ken",1867,6.91
"ken",1868,6.91
"ken",1869,6.91
"ken",1870,6.91
"ken",1871,6.91
"ken",1872,6.91
"ken",1873,6.91
"ken",1874,6.91
"ken",1875,6.91
