"geo","time","mean_years_in_school_men_35_to_44_years"
"bdi",1970,1.61
"bdi",1971,1.66
"bdi",1972,1.7
"bdi",1973,1.74
"bdi",1974,1.79
"bdi",1975,1.83
"bdi",1976,1.88
"bdi",1977,1.93
"bdi",1978,1.98
"bdi",1979,2.03
"bdi",1980,2.08
"bdi",1981,2.13
"bdi",1982,2.18
"bdi",1983,2.24
"bdi",1984,2.29
"bdi",1985,2.35
"bdi",1986,2.41
"bdi",1987,2.47
"bdi",1988,2.53
"bdi",1989,2.59
"bdi",1990,2.65
"bdi",1991,2.72
"bdi",1992,2.78
"bdi",1993,2.85
"bdi",1994,2.91
"bdi",1995,2.98
"bdi",1996,3.05
"bdi",1997,3.12
"bdi",1998,3.19
"bdi",1999,3.27
"bdi",2000,3.34
"bdi",2001,3.42
"bdi",2002,3.5
"bdi",2003,3.58
"bdi",2004,3.66
"bdi",2005,3.74
"bdi",2006,3.83
"bdi",2007,3.91
"bdi",2008,4
"bdi",2009,4.09
"bdi",2010,4.18
"bdi",2011,4.28
"bdi",2012,4.37
"bdi",2013,4.47
"bdi",2014,4.57
"bdi",2015,4.66
"cod",1970,3.77
"cod",1971,3.85
"cod",1972,3.94
"cod",1973,4.03
"cod",1974,4.13
"cod",1975,4.22
"cod",1976,4.32
"cod",1977,4.41
"cod",1978,4.51
"cod",1979,4.61
"cod",1980,4.71
"cod",1981,4.82
"cod",1982,4.92
"cod",1983,5.03
"cod",1984,5.14
"cod",1985,5.25
"cod",1986,5.36
"cod",1987,5.47
"cod",1988,5.58
"cod",1989,5.7
"cod",1990,5.81
"cod",1991,5.93
"cod",1992,6.05
"cod",1993,6.17
"cod",1994,6.29
"cod",1995,6.41
"cod",1996,6.53
"cod",1997,6.66
"cod",1998,6.78
"cod",1999,6.9
"cod",2000,7.03
"cod",2001,7.15
"cod",2002,7.28
"cod",2003,7.41
"cod",2004,7.54
"cod",2005,7.67
"cod",2006,7.8
"cod",2007,7.93
"cod",2008,8.06
"cod",2009,8.19
"cod",2010,8.32
"cod",2011,8.46
"cod",2012,8.59
"cod",2013,8.72
"cod",2014,8.86
"cod",2015,9
"ken",1970,3.31
"ken",1971,3.4
"ken",1972,3.5
"ken",1973,3.6
"ken",1974,3.71
"ken",1975,3.82
"ken",1976,3.93
"ken",1977,4.04
"ken",1978,4.16
"ken",1979,4.28
"ken",1980,4.41
"ken",1981,4.53
"ken",1982,4.67
"ken",1983,4.8
"ken",1984,4.94
"ken",1985,5.08
"ken",1986,5.23
"ken",1987,5.38
"ken",1988,5.53
"ken",1989,5.69
"ken",1990,5.85
"ken",1991,6.01
"ken",1992,6.17
"ken",1993,6.34
"ken",1994,6.51
"ken",1995,6.68
"ken",1996,6.82
"ken",1997,6.96
"ken",1998,7.1
"ken",1999,7.23
"ken",2000,7.37
"ken",2001,7.5
"ken",2002,7.64
"ken",2003,7.77
"ken",2004,7.91
"ken",2005,8.04
"ken",2006,8.17
"ken",2007,8.3
"ken",2008,8.43
"ken",2009,8.57
"ken",2010,8.7
"ken",2011,8.83
"ken",2012,8.96
"ken",2013,9.09
"ken",2014,9.22
"ken",2015,9.35
"rwa",1970,1.84
"rwa",1971,1.89
"rwa",1972,1.94
"rwa",1973,1.99
"rwa",1974,2.04
"rwa",1975,2.1
"rwa",1976,2.15
"rwa",1977,2.21
"rwa",1978,2.26
"rwa",1979,2.32
"rwa",1980,2.38
"rwa",1981,2.44
