"geo","time","mean_years_in_school_men_35_to_44_years"
"rwa",1982,2.51
"rwa",1983,2.57
"rwa",1984,2.64
"rwa",1985,2.71
"rwa",1986,2.77
"rwa",1987,2.85
"rwa",1988,2.92
"rwa",1989,2.99
"rwa",1990,3.07
"rwa",1991,3.14
"rwa",1992,3.22
"rwa",1993,3.3
"rwa",1994,3.39
"rwa",1995,3.47
"rwa",1996,3.55
"rwa",1997,3.64
"rwa",1998,3.72
"rwa",1999,3.81
"rwa",2000,3.9
"rwa",2001,3.99
"rwa",2002,4.08
"rwa",2003,4.18
"rwa",2004,4.27
"rwa",2005,4.37
"rwa",2006,4.47
"rwa",2007,4.57
"rwa",2008,4.67
"rwa",2009,4.77
"rwa",2010,4.88
"rwa",2011,4.98
"rwa",2012,5.09
"rwa",2013,5.2
"rwa",2014,5.31
"rwa",2015,5.42
"ssd",1970,0.87
"ssd",1971,0.89
"ssd",1972,0.91
"ssd",1973,0.94
"ssd",1974,0.96
"ssd",1975,0.99
"ssd",1976,1.02
"ssd",1977,1.04
"ssd",1978,1.07
"ssd",1979,1.1
"ssd",1980,1.13
"ssd",1981,1.16
"ssd",1982,1.19
"ssd",1983,1.22
"ssd",1984,1.26
"ssd",1985,1.29
"ssd",1986,1.32
"ssd",1987,1.36
"ssd",1988,1.39
"ssd",1989,1.43
"ssd",1990,1.47
"ssd",1991,1.51
"ssd",1992,1.55
"ssd",1993,1.59
"ssd",1994,1.63
"ssd",1995,1.67
"ssd",1996,1.71
"ssd",1997,1.76
"ssd",1998,1.8
"ssd",1999,1.85
"ssd",2000,1.89
"ssd",2001,1.94
"ssd",2002,1.99
"ssd",2003,2.04
"ssd",2004,2.09
"ssd",2005,2.15
"ssd",2006,2.2
"ssd",2007,2.26
"ssd",2008,2.31
"ssd",2009,2.37
"ssd",2010,2.43
"ssd",2011,2.49
"ssd",2012,2.55
"ssd",2013,2.62
"ssd",2014,2.68
"ssd",2015,2.75
"tza",1970,2.93
"tza",1971,3
"tza",1972,3.08
"tza",1973,3.15
"tza",1974,3.23
"tza",1975,3.31
"tza",1976,3.39
"tza",1977,3.47
"tza",1978,3.55
"tza",1979,3.64
"tza",1980,3.72
"tza",1981,3.81
"tza",1982,3.9
"tza",1983,3.99
"tza",1984,4.09
"tza",1985,4.18
"tza",1986,4.28
"tza",1987,4.37
"tza",1988,4.47
"tza",1989,4.57
"tza",1990,4.67
"tza",1991,4.78
"tza",1992,4.88
"tza",1993,4.99
"tza",1994,5.1
"tza",1995,5.2
"tza",1996,5.31
"tza",1997,5.42
"tza",1998,5.53
"tza",1999,5.64
"tza",2000,5.76
"tza",2001,5.87
"tza",2002,5.98
"tza",2003,6.1
"tza",2004,6.22
"tza",2005,6.34
"tza",2006,6.45
"tza",2007,6.57
"tza",2008,6.7
"tza",2009,6.82
"tza",2010,6.94
"tza",2011,7.06
"tza",2012,7.19
"tza",2013,7.31
"tza",2014,7.44
"tza",2015,7.57
"uga",1970,2.97
"uga",1971,3.05
"uga",1972,3.12
"uga",1973,3.2
"uga",1974,3.27
"uga",1975,3.35
"uga",1976,3.43
"uga",1977,3.51
"uga",1978,3.6
"uga",1979,3.68
"uga",1980,3.77
"uga",1981,3.85
"uga",1982,3.94
"uga",1983,4.03
"uga",1984,4.12
"uga",1985,4.22
"uga",1986,4.31
"uga",1987,4.41
"uga",1988,4.5
"uga",1989,4.6
"uga",1990,4.7
"uga",1991,4.8
"uga",1992,4.9
"uga",1993,5.01
"uga",1994,5.11
"uga",1995,5.22
"uga",1996,5.32
"uga",1997,5.43
"uga",1998,5.54
"uga",1999,5.65
"uga",2000,5.76
"uga",2001,5.87
"uga",2002,5.98
"uga",2003,6.09
"uga",2004,6.21
"uga",2005,6.33
"uga",2006,6.44
"uga",2007,6.56
"uga",2008,6.68
"uga",2009,6.81
"uga",2010,6.93
"uga",2011,7.05
"uga",2012,7.18
"uga",2013,7.3
"uga",2014,7.43
"uga",2015,7.56
