"geo","time","population_aged_0_4_years_total_number"
"bdi",1950,377410
"bdi",1955,463199
"bdi",1960,504706
"bdi",1965,562433
"bdi",1970,629296
"bdi",1975,657714
"bdi",1980,774609
"bdi",1985,939483
"bdi",1990,1088579
"bdi",1995,1148737
"bdi",2000,1154396
"bdi",2005,1279331
"bdi",2010,1577319
"bdi",2015,1853262
"bdi",2020,2100239
"bdi",2025,2271687
"bdi",2030,2423588
"bdi",2035,2644184
"bdi",2040,2924235
"bdi",2045,3188766
"bdi",2050,3388753
"bdi",2055,3538935
"bdi",2060,3681562
"bdi",2065,3851823
"bdi",2070,4035329
"bdi",2075,4183678
"bdi",2080,4278585
"bdi",2085,4320974
"bdi",2090,4364361
"bdi",2095,4400212
"bdi",2100,4430793
"cod",1950,2170171
"cod",1955,2337220
"cod",1960,2677842
"cod",1965,3098387
"cod",1970,3602490
"cod",1975,4139475
"cod",1980,4780430
"cod",1985,5463323
"cod",1990,6351129
"cod",1995,7692582
"cod",2000,8660928
"cod",2005,10199833
"cod",2010,12126623
"cod",2015,14098809
"cod",2020,15817506
"cod",2025,17511782
"cod",2030,19281711
"cod",2035,20996289
"cod",2040,22522842
"cod",2045,23741368
"cod",2050,24735654
"cod",2055,25572338
"cod",2060,26235310
"cod",2065,26806884
"cod",2070,27094995
"cod",2075,27196580
"cod",2080,27155061
"cod",2085,26933112
"cod",2090,26653341
"cod",2095,26307676
"cod",2100,25923867
"ken",1950,1056233
"ken",1955,1360800
"ken",1960,1611526
"ken",1965,1913567
"ken",1970,2282458
"ken",1975,2785337
"ken",1980,3347247
"ken",1985,3968816
"ken",1990,4447720
"ken",1995,4664670
"ken",2000,5422693
"ken",2005,6079730
"ken",2010,6729111
"ken",2015,6997245
"ken",2020,7425491
"ken",2025,7866497
"ken",2030,8314898
"ken",2035,8693103
"ken",2040,8959653
"ken",2045,9140829
"ken",2050,9294249
"ken",2055,9397382
"ken",2060,9449418
"ken",2065,9444341
"ken",2070,9375288
"ken",2075,9235747
"ken",2080,9078361
"ken",2085,8926692
"ken",2090,8758103
"ken",2095,8584976
"ken",2100,8400403
"rwa",1950,420903
"rwa",1955,505317
"rwa",1960,591003
"rwa",1965,631085
"rwa",1970,712086
"rwa",1975,857437
"rwa",1980,1060549
"rwa",1985,1288711
"rwa",1990,1417859
"rwa",1995,743245
"rwa",2000,1312971
"rwa",2005,1454303
"rwa",2010,1641692
"rwa",2015,1734543
"rwa",2020,1779828
"rwa",2025,1807714
"rwa",2030,1867646
"rwa",2035,1949265
"rwa",2040,2004096
"rwa",2045,2001615
"rwa",2050,1957345
"rwa",2055,1906373
"rwa",2060,1867314
"rwa",2065,1831232
"rwa",2070,1790573
"rwa",2075,1732301
"rwa",2080,1668196
"rwa",2085,1608355
"rwa",2090,1559425
"rwa",2095,1517716
"rwa",2100,1479751
"ssd",1950,461583
"ssd",1955,433528
"ssd",1960,505992
"ssd",1965,583393
"ssd",1970,667414
"ssd",1975,748160
"ssd",1980,847493
"ssd",1985,964436
"ssd",1990,1047253
"ssd",1995,989871
"ssd",2000,1194049
"ssd",2005,1378092
"ssd",2010,1657580
"ssd",2015,1882433
"ssd",2020,2080532
"ssd",2025,2254124
"ssd",2030,2397904
"ssd",2035,2519426
"ssd",2040,2633769
"ssd",2045,2747239
"ssd",2050,2851084
"ssd",2055,2936372
"ssd",2060,2998814
"ssd",2065,3043495
"ssd",2070,3075558
"ssd",2075,3095818
"ssd",2080,3100768
"ssd",2085,3086801
"ssd",2090,3062145
"ssd",2095,3025112
"ssd",2100,2985601
"tza",1950,1460637
"tza",1955,1618873
"tza",1960,1900042
"tza",1965,2216187
"tza",1970,2587140
"tza",1975,3036032
"tza",1980,3536835
"tza",1985,4059222
"tza",1990,4651580
"tza",1995,5362484
"tza",2000,5976170
"tza",2005,7104051
"tza",2010,8225569
"tza",2015,9419084
"tza",2020,10438537
"tza",2025,11574198
"tza",2030,12839335
"tza",2035,14146332
"tza",2040,15396665
"tza",2045,16570079
"tza",2050,17651970
"tza",2055,18712198
"tza",2060,19753446
"tza",2065,20689378
"tza",2070,21551670
"tza",2075,22274150
"tza",2080,22886537
"tza",2085,23411112
"tza",2090,23861625
"tza",2095,24176661
"tza",2100,24339898
"uga",1950,945090
"uga",1955,1129279
"uga",1960,1293671
"uga",1965,1534370
"uga",1970,1829613
"uga",1975,2092852
"uga",1980,2438367
"uga",1985,2865720
"uga",1990,3444649
"uga",1995,4142047
"uga",2000,4842238
"uga",2005,5735112
"uga",2010,6630429
"uga",2015,7512139
"uga",2020,8433019
"uga",2025,9394643
"uga",2030,10357366
"uga",2035,11259311
"uga",2040,12074955
"uga",2045,12829288
"uga",2050,13516876
"uga",2055,14138521
"uga",2060,14665936
"uga",2065,15082638
"uga",2070,15406829
"uga",2075,15640117
"uga",2080,15778931
"uga",2085,15835980
"uga",2090,15806549
"uga",2095,15703672
"uga",2100,15523367
