"geo","time","males_aged_15plus_labour_force_participation_rate_percent"
"bdi",1990,90.454
"bdi",1991,89.952
"bdi",1992,89.353
"bdi",1993,88.662
"bdi",1994,87.893
"bdi",1995,87.056
"bdi",1996,86.296
"bdi",1997,85.469
"bdi",1998,84.568
"bdi",1999,83.785
"bdi",2000,82.963
"bdi",2001,82.303
"bdi",2002,81.687
"bdi",2003,81.121
"bdi",2004,80.612
"bdi",2005,80.153
"bdi",2006,79.725
"bdi",2007,79.319
"bdi",2008,78.932
"bdi",2009,78.57
"bdi",2010,78.24
"bdi",2011,77.814
"bdi",2012,77.422
"bdi",2013,77.047
"bdi",2014,76.668
"bdi",2015,77.073
"bdi",2016,77.415
"bdi",2017,77.453
"bdi",2018,77.459
"bdi",2019,77.41
"bdi",2020,77.295
"bdi",2021,77.109
"bdi",2022,76.868
"bdi",2023,76.592
"bdi",2024,76.308
"bdi",2025,76.033
"bdi",2026,75.761
"bdi",2027,75.501
"bdi",2028,75.26
"bdi",2029,75.049
"bdi",2030,74.875
"cod",1990,71.463
"cod",1991,71.844
"cod",1992,72.232
"cod",1993,72.637
"cod",1994,72.789
"cod",1995,72.759
"cod",1996,72.946
"cod",1997,73.117
"cod",1998,73.142
"cod",1999,73.178
"cod",2000,73.266
"cod",2001,73.423
"cod",2002,73.475
"cod",2003,73.473
"cod",2004,73.438
"cod",2005,73.397
"cod",2006,73.509
"cod",2007,73.552
"cod",2008,73.561
"cod",2009,73.609
"cod",2010,73.588
"cod",2011,73.68
"cod",2012,73.724
"cod",2013,73.703
"cod",2014,73.618
"cod",2015,73.499
"cod",2016,73.498
"cod",2017,73.498
"cod",2018,73.49
"cod",2019,73.477
"cod",2020,73.459
"cod",2021,73.437
"cod",2022,73.415
"cod",2023,73.397
"cod",2024,73.386
"cod",2025,73.387
"cod",2026,73.398
"cod",2027,73.421
"cod",2028,73.458
"cod",2029,73.515
"cod",2030,73.593
"ken",1990,77.424
"ken",1991,77.079
"ken",1992,76.667
"ken",1993,76.173
"ken",1994,75.635
"ken",1995,75.098
"ken",1996,74.624
"ken",1997,74.315
"ken",1998,74.012
"ken",1999,73.703
"ken",2000,73.135
"ken",2001,72.517
"ken",2002,71.854
"ken",2003,71.158
"ken",2004,70.445
"ken",2005,69.716
"ken",2006,69.785
"ken",2007,69.988
"ken",2008,70.349
"ken",2009,70.547
"ken",2010,70.475
"ken",2011,70.368
"ken",2012,70.111
"ken",2013,69.718
"ken",2014,69.306
"ken",2015,68.909
"ken",2016,68.468
"ken",2017,68.469
"ken",2018,68.465
"ken",2019,68.454
"ken",2020,68.44
"ken",2021,68.423
"ken",2022,68.404
"ken",2023,68.395
"ken",2024,68.412
"ken",2025,68.463
"ken",2026,68.548
"ken",2027,68.663
"ken",2028,68.795
"ken",2029,68.926
"ken",2030,69.048
"rwa",1990,92.644
"rwa",1991,92.376
"rwa",1992,91.711
"rwa",1993,90.802
"rwa",1994,90.241
"rwa",1995,88.957
"rwa",1996,88.539
"rwa",1997,88.497
"rwa",1998,88.806
"rwa",1999,89.095
"rwa",2000,89.091
"rwa",2001,88.8
"rwa",2002,88.253
"rwa",2003,87.67
"rwa",2004,87.118
"rwa",2005,86.843
"rwa",2006,86.761
"rwa",2007,86.953
"rwa",2008,87.244
"rwa",2009,87.52
"rwa",2010,87.613
"rwa",2011,87.636
"rwa",2012,87.49
"rwa",2013,87.282
"rwa",2014,87.003
"rwa",2015,86.717
"rwa",2016,86.387
"rwa",2017,86.278
"rwa",2018,86.162
"rwa",2019,86.036
"rwa",2020,85.898
"rwa",2021,85.758
"rwa",2022,85.614
"rwa",2023,85.469
"rwa",2024,85.328
"rwa",2025,85.194
"rwa",2026,85.075
"rwa",2027,84.966
"rwa",2028,84.868
"rwa",2029,84.785
"rwa",2030,84.718
"ssd",1990,77.552
"ssd",1991,77.733
"ssd",1992,77.725
"ssd",1993,77.597
"ssd",1994,77.543
"ssd",1995,77.779
"ssd",1996,77.936
"ssd",1997,78.07
"ssd",1998,78.219
"ssd",1999,78.302
"ssd",2000,78.244
"ssd",2001,78.275
"ssd",2002,78.13
"ssd",2003,77.853
"ssd",2004,77.533
"ssd",2005,77.239
"ssd",2006,77.041
"ssd",2007,76.829
"ssd",2008,76.589
"ssd",2009,76.279
"ssd",2010,75.87
"ssd",2011,75.638
"ssd",2012,75.323
"ssd",2013,74.95
"ssd",2014,74.561
"ssd",2015,74.176
"ssd",2016,73.946
"ssd",2017,73.892
"ssd",2018,73.848
"ssd",2019,73.804
"ssd",2020,73.754
"ssd",2021,73.694
"ssd",2022,73.631
"ssd",2023,73.567
"ssd",2024,73.506
"ssd",2025,73.451
"ssd",2026,73.393
"ssd",2027,73.341
"ssd",2028,73.292
"ssd",2029,73.243
"ssd",2030,73.193
"tza",1990,85.249
"tza",1991,85.228
"tza",1992,85.175
"tza",1993,85.081
"tza",1994,84.949
"tza",1995,84.76
"tza",1996,84.705
"tza",1997,84.603
"tza",1998,84.465
"tza",1999,84.317
"tza",2000,84.195
"tza",2001,84.193
"tza",2002,84.234
"tza",2003,84.313
"tza",2004,84.382
"tza",2005,84.422
"tza",2006,84.511
"tza",2007,84.498
"tza",2008,84.469
"tza",2009,84.436
"tza",2010,84.401
"tza",2011,84.385
"tza",2012,85.515
"tza",2013,86.558
"tza",2014,87.519
"tza",2015,87.4
"tza",2016,87.273
"tza",2017,87.378
"tza",2018,87.481
"tza",2019,87.579
"tza",2020,87.67
"tza",2021,87.758
"tza",2022,87.842
"tza",2023,87.926
"tza",2024,88.013
"tza",2025,88.103
"tza",2026,88.199
"tza",2027,88.298
"tza",2028,88.401
"tza",2029,88.51
"tza",2030,88.623
"uga",1990,77.311
"uga",1991,77.507
"uga",1992,77.358
"uga",1993,77.214
"uga",1994,77.078
"uga",1995,76.951
"uga",1996,76.807
"uga",1997,76.669
"uga",1998,76.541
"uga",1999,76.428
"uga",2000,76.334
"uga",2001,76.282
"uga",2002,76.24
"uga",2003,76.203
"uga",2004,76.166
"uga",2005,76.125
"uga",2006,76.11
"uga",2007,76.086
"uga",2008,76.061
"uga",2009,76.04
"uga",2010,76.029
"uga",2011,76.027
"uga",2012,76.029
"uga",2013,75.812
"uga",2014,75.52
"uga",2015,75.178
