"geo","time","population_aged_0_4_years_female_percent"
"bdi",1950,15.92838
"bdi",1955,17.65831
"bdi",1960,17.52786
"bdi",1965,17.72729
"bdi",1970,17.69835
"bdi",1975,17.37021
"bdi",1980,18.30378
"bdi",1985,19.35966
"bdi",1990,19.59142
"bdi",1995,18.70404
"bdi",2000,17.66182
"bdi",2005,16.90842
"bdi",2010,17.64486
"bdi",2015,17.76647
"bdi",2020,17.23286
"bdi",2025,16.13404
"bdi",2030,15.05762
"bdi",2035,14.44553
"bdi",2040,14.09136
"bdi",2045,13.61696
"bdi",2050,12.91896
"bdi",2055,12.13913
"bdi",2060,11.45705
"bdi",2065,10.94561
"bdi",2070,10.53074
"bdi",2075,10.08512
"bdi",2080,9.58594
"bdi",2085,9.06154
"bdi",2090,8.61919
"bdi",2095,8.23047
"bdi",2100,7.89227
"cod",1950,16.97409
"cod",1955,16.41388
"cod",1960,16.79322
"cod",1965,17.16909
"cod",1970,17.42302
"cod",1975,17.56845
"cod",1980,17.70139
"cod",1985,17.89927
"cod",1990,18.01348
"cod",1995,18.19311
"cod",2000,18.14348
"cod",2005,18.37854
"cod",2010,18.5494
"cod",2015,18.27427
"cod",2020,17.47008
"cod",2025,16.62009
"cod",2030,15.84008
"cod",2035,15.03808
"cod",2040,14.18225
"cod",2045,13.26711
"cod",2050,12.38326
"cod",2055,11.56808
"cod",2060,10.81478
"cod",2065,10.14933
"cod",2070,9.49743
"cod",2075,8.89449
"cod",2080,8.34835
"cod",2085,7.84126
"cod",2090,7.39843
"cod",2095,7.00891
"cod",2100,6.67009
"ken",1950,17.46637
"ken",1955,19.62945
"ken",1960,19.92981
"ken",1965,20.1258
"ken",1970,20.19196
"ken",1975,20.49597
"ken",1980,20.3717
"ken",1985,19.96637
"ken",1990,18.77597
"ken",1995,16.82711
"ken",2000,16.98557
"ken",2005,16.61453
"ken",2010,16.01365
"ken",2015,14.57325
"ken",2020,13.65291
"ken",2025,12.8759
"ken",2030,12.20613
"ken",2035,11.53551
"ken",2040,10.83837
"ken",2045,10.16181
"ken",2050,9.56749
"ken",2055,9.02406
"ken",2060,8.52513
"ken",2065,8.06073
"ken",2070,7.62142
"ken",2075,7.19973
"ken",2080,6.82864
"ken",2085,6.51514
"ken",2090,6.23565
"ken",2095,5.99261
"ken",2100,5.77525
"rwa",1950,18.8845
"rwa",1955,19.85832
"rwa",1960,19.97334
"rwa",1965,19.32371
"rwa",1970,18.77736
"rwa",1975,19.50498
"rwa",1980,20.42363
"rwa",1985,20.82742
"rwa",1990,19.41293
"rwa",1995,12.62906
"rwa",2000,15.99732
"rwa",2005,15.84887
"rwa",2010,15.69159
"rwa",2015,14.585
"rwa",2020,13.2729
"rwa",2025,12.09217
"rwa",2030,11.3386
"rwa",2035,10.80726
"rwa",2040,10.22191
"rwa",2045,9.47794
"rwa",2050,8.68845
"rwa",2055,8.00289
"rwa",2060,7.46991
"rwa",2065,7.0306
"rwa",2070,6.64369
"rwa",2075,6.25614
"rwa",2080,5.90024
"rwa",2085,5.6036
"rwa",2090,5.38016
"rwa",2095,5.21119
"rwa",2100,5.07969
"ssd",1950,17.99805
"ssd",1955,16.19288
"ssd",1960,17.24425
"ssd",1965,17.88627
"ssd",1970,18.22008
"ssd",1975,18.02699
"ssd",1980,17.84101
"ssd",1985,17.49989
"ssd",1990,17.92808
"ssd",1995,17.87884
"ssd",2000,17.56492
"ssd",2005,16.75269
"ssd",2010,16.24105
"ssd",2015,15.63292
"ssd",2020,15.11896
"ssd",2025,14.49459
"ssd",2030,13.76089
"ssd",2035,13.00505
"ssd",2040,12.3067
"ssd",2045,11.6833
"ssd",2050,11.107
"ssd",2055,10.54393
"ssd",2060,9.99273
"ssd",2065,9.47088
"ssd",2070,8.99511
"ssd",2075,8.56451
"ssd",2080,8.16053
"ssd",2085,7.77096
"ssd",2090,7.4148
"ssd",2095,7.08168
"ssd",2100,6.79002
"tza",1950,18.85
"tza",1955,18.13007
"tza",1960,18.4779
"tza",1965,18.60664
"tza",1970,18.66814
"tza",1975,18.66696
"tza",1980,18.60937
"tza",1985,18.27699
"tza",1990,17.97233
"tza",1995,17.60085
"tza",2000,17.17227
"tza",2005,17.8606
"tza",2010,17.45281
"tza",2015,17.08571
"tza",2020,16.31249
"tza",2025,15.64341
"tza",2030,15.08046
"tza",2035,14.52098
"tza",2040,13.89455
"tza",2045,13.24199
"tza",2050,12.58559
"tza",2055,11.98364
"tza",2060,11.43648
"tza",2065,10.90187
"tza",2070,10.40101
"tza",2075,9.90912
"tza",2080,9.44301
"tza",2085,9.01349
"tza",2090,8.6217
"tza",2095,8.24478
"tza",2100,7.87815
"uga",1950,18.13785
"uga",1955,19.06718
"uga",1960,18.92695
"uga",1965,18.9764
"uga",1970,19.16823
"uga",1975,19.12404
"uga",1980,19.23016
"uga",1985,19.36128
"uga",1990,19.49702
"uga",1995,19.81974
"uga",2000,19.77561
"uga",2005,19.73747
"uga",2010,19.23082
"uga",2015,18.43121
"uga",2020,17.64193
"uga",2025,16.83762
"uga",2030,16.02273
"uga",2035,15.15842
"uga",2040,14.26606
"uga",2045,13.41642
"uga",2050,12.6169
"uga",2055,11.88029
"uga",2060,11.18817
"uga",2065,10.53305
"uga",2070,9.92679
"uga",2075,9.36724
"uga",2080,8.84852
"uga",2085,8.37288
"uga",2090,7.93262
"uga",2095,7.52865
"uga",2100,7.15468
