"geo","time","aged_65plus_unemployment_rate_percent"
"bdi",2014,0.12
"cod",2005,0.7747
"cod",2012,2.0881
"ken",1999,1.2416
"rwa",2017,10.5496
"ssd",2008,1.99
"tza",2001,0.6488
"tza",2006,0.9746
"tza",2014,0.2141
