"geo","time","females_aged_25_54_unemployment_rate_percent"
"bdi",2014,1.07
"cod",2005,1.9291
"cod",2012,3.1598
"ken",1999,10.0881
"rwa",1996,0.31
"rwa",2017,18.2328
"ssd",2008,11.83
"tza",2001,2.1604
"tza",2006,3.5763
"tza",2014,2.3143
