"geo","time","aged_15_24_unemployment_rate_percent"
"bdi",2014,2.94
"cod",2005,4.7552
"cod",2012,8.6834
"ken",1999,21.285
"rwa",1996,0.74
"rwa",2017,22.6278
"ssd",2008,18.48
"tza",2001,5.4718
"tza",2006,6.4702
"tza",2014,3.885
