"geo","time","aged_15_64_labour_force_participation_rate_percent"
"bdi",1990,91.542
"bdi",1991,91.109
"bdi",1992,90.59
"bdi",1993,89.987
"bdi",1994,89.311
"bdi",1995,88.567
"bdi",1996,87.852
"bdi",1997,87.064
"bdi",1998,86.194
"bdi",1999,85.479
"bdi",2000,84.718
"bdi",2001,84.106
"bdi",2002,83.522
"bdi",2003,82.976
"bdi",2004,82.475
"bdi",2005,82.021
"bdi",2006,81.583
"bdi",2007,81.172
"bdi",2008,80.789
"bdi",2009,80.441
"bdi",2010,80.135
"bdi",2011,79.801
"bdi",2012,79.506
"bdi",2013,79.234
"bdi",2014,78.962
"bdi",2015,79.313
"bdi",2016,79.626
"bdi",2017,79.715
"bdi",2018,79.773
"bdi",2019,79.78
"bdi",2020,79.725
"bdi",2021,79.606
"bdi",2022,79.432
"bdi",2023,79.222
"bdi",2024,79
"bdi",2025,78.782
"bdi",2026,78.562
"bdi",2027,78.348
"bdi",2028,78.148
"bdi",2029,77.97
"bdi",2030,77.819
"cod",1990,72.292
"cod",1991,72.426
"cod",1992,72.551
"cod",1993,72.67
"cod",1994,72.703
"cod",1995,72.66
"cod",1996,72.73
"cod",1997,72.768
"cod",1998,72.746
"cod",1999,72.718
"cod",2000,72.706
"cod",2001,72.759
"cod",2002,72.778
"cod",2003,72.78
"cod",2004,72.769
"cod",2005,72.753
"cod",2006,72.82
"cod",2007,72.852
"cod",2008,72.866
"cod",2009,72.887
"cod",2010,72.893
"cod",2011,72.962
"cod",2012,73.008
"cod",2013,73.024
"cod",2014,73.003
"cod",2015,72.95
"cod",2016,72.936
"cod",2017,72.935
"cod",2018,72.929
"cod",2019,72.918
"cod",2020,72.905
"cod",2021,72.888
"cod",2022,72.872
"cod",2023,72.859
"cod",2024,72.854
"cod",2025,72.859
"cod",2026,72.872
"cod",2027,72.895
"cod",2028,72.931
"cod",2029,72.984
"cod",2030,73.056
"ken",1990,74.868
"ken",1991,74.657
"ken",1992,74.402
"ken",1993,74.115
"ken",1994,73.823
"ken",1995,73.548
"ken",1996,73.288
"ken",1997,73.101
"ken",1998,72.937
"ken",1999,72.772
"ken",2000,71.651
"ken",2001,70.457
"ken",2002,69.198
"ken",2003,67.892
"ken",2004,66.561
"ken",2005,65.217
"ken",2006,65.405
"ken",2007,65.682
"ken",2008,66.016
"ken",2009,66.264
"ken",2010,66.368
"ken",2011,66.446
"ken",2012,66.421
"ken",2013,66.318
"ken",2014,66.202
"ken",2015,66.096
"ken",2016,65.973
"ken",2017,65.938
"ken",2018,65.901
"ken",2019,65.859
"ken",2020,65.813
"ken",2021,65.762
"ken",2022,65.709
"ken",2023,65.665
"ken",2024,65.647
"ken",2025,65.662
"ken",2026,65.708
"ken",2027,65.782
"ken",2028,65.875
"ken",2029,65.969
"ken",2030,66.056
"rwa",1990,90.927
"rwa",1991,90.801
"rwa",1992,90.48
"rwa",1993,89.941
"rwa",1994,89.335
"rwa",1995,88.608
"rwa",1996,88.417
"rwa",1997,88.454
"rwa",1998,88.693
"rwa",1999,88.912
"rwa",2000,88.943
"rwa",2001,88.736
"rwa",2002,88.381
"rwa",2003,87.957
"rwa",2004,87.594
"rwa",2005,87.434
"rwa",2006,87.452
"rwa",2007,87.659
"rwa",2008,87.948
"rwa",2009,88.198
"rwa",2010,88.32
"rwa",2011,88.401
"rwa",2012,88.368
"rwa",2013,88.271
"rwa",2014,88.136
"rwa",2015,88
"rwa",2016,87.84
"rwa",2017,87.823
"rwa",2018,87.801
"rwa",2019,87.77
"rwa",2020,87.729
"rwa",2021,87.685
"rwa",2022,87.634
"rwa",2023,87.585
"rwa",2024,87.551
"rwa",2025,87.537
"rwa",2026,87.546
"rwa",2027,87.573
"rwa",2028,87.612
"rwa",2029,87.652
"rwa",2030,87.688
"ssd",1990,75.509
"ssd",1991,75.593
"ssd",1992,75.59
"ssd",1993,75.53
"ssd",1994,75.503
"ssd",1995,75.609
"ssd",1996,75.69
"ssd",1997,75.766
"ssd",1998,75.847
"ssd",1999,75.893
"ssd",2000,75.868
"ssd",2001,75.873
"ssd",2002,75.793
"ssd",2003,75.652
"ssd",2004,75.495
"ssd",2005,75.355
"ssd",2006,75.261
"ssd",2007,75.165
"ssd",2008,75.059
"ssd",2009,74.92
"ssd",2010,74.732
"ssd",2011,74.627
"ssd",2012,74.482
"ssd",2013,74.308
"ssd",2014,74.128
"ssd",2015,73.952
"ssd",2016,73.856
"ssd",2017,73.863
"ssd",2018,73.877
"ssd",2019,73.891
"ssd",2020,73.902
"ssd",2021,73.91
"ssd",2022,73.915
"ssd",2023,73.919
"ssd",2024,73.928
"ssd",2025,73.942
"ssd",2026,73.961
"ssd",2027,73.984
"ssd",2028,74.009
"ssd",2029,74.035
"ssd",2030,74.059
"tza",1990,84.195
"tza",1991,84.169
"tza",1992,84.115
"tza",1993,84.04
"tza",1994,83.946
"tza",1995,83.827
"tza",1996,83.794
"tza",1997,83.728
"tza",1998,83.642
"tza",1999,83.555
"tza",2000,83.486
"tza",2001,83.488
"tza",2002,83.522
"tza",2003,83.581
"tza",2004,83.638
"tza",2005,83.679
"tza",2006,83.747
"tza",2007,83.764
"tza",2008,83.761
"tza",2009,83.761
"tza",2010,83.773
"tza",2011,83.814
"tza",2012,84.245
"tza",2013,84.543
"tza",2014,84.691
"tza",2015,84.639
"tza",2016,84.579
"tza",2017,84.604
"tza",2018,84.625
"tza",2019,84.644
"tza",2020,84.666
"tza",2021,84.692
"tza",2022,84.72
"tza",2023,84.75
"tza",2024,84.78
"tza",2025,84.811
"tza",2026,84.845
"tza",2027,84.88
"tza",2028,84.917
"tza",2029,84.958
"tza",2030,85.003
"uga",1990,70.743
"uga",1991,70.841
"uga",1992,70.86
"uga",1993,70.881
"uga",1994,70.908
"uga",1995,70.94
"uga",1996,70.961
"uga",1997,70.983
"uga",1998,71.008
"uga",1999,71.039
"uga",2000,71.076
"uga",2001,71.144
"uga",2002,71.214
"uga",2003,71.286
"uga",2004,71.357
"uga",2005,71.425
"uga",2006,71.517
"uga",2007,71.602
"uga",2008,71.684
"uga",2009,71.77
"uga",2010,71.862
"uga",2011,71.97
"uga",2012,72.079
"uga",2013,71.986
"uga",2014,71.862
"uga",2015,71.711
"uga",2016,71.581
"uga",2017,71.664
"uga",2018,71.747
"uga",2019,71.832
"uga",2020,71.924
"uga",2021,72.02
"uga",2022,72.119
"uga",2023,72.223
"uga",2024,72.331
"uga",2025,72.446
"uga",2026,72.566
"uga",2027,72.69
"uga",2028,72.817
