"geo","time","sulfur_emissions_per_person_kg"
"cod",1919,3.801
"cod",1920,3.123
"cod",1921,4.999
"cod",1922,6.787
"cod",1923,9.014
"cod",1924,13.16
"cod",1925,13.64
"cod",1926,12.09
"cod",1927,13.01
"cod",1928,16.31
"cod",1929,18.54
"cod",1930,19.75
"cod",1931,16.75
"cod",1932,7.524
"cod",1933,9.22
"cod",1934,14.88
"cod",1935,14.45
"cod",1936,12.99
"cod",1937,19.87
"cod",1938,16.26
"cod",1939,15.98
"cod",1940,19.02
"cod",1941,20.46
"cod",1942,20.58
"cod",1943,19.34
"cod",1944,19.99
"cod",1945,19.22
"cod",1946,17.31
"cod",1947,17.95
"cod",1948,18.28
"cod",1949,16.65
"cod",1950,20.25
"cod",1951,21.54
"cod",1952,22.6
"cod",1953,23.01
"cod",1954,22.9
"cod",1955,23.25
"cod",1956,24.24
"cod",1957,22.72
"cod",1958,25.22
"cod",1959,25.54
"cod",1960,24.39
"cod",1961,23.6
"cod",1962,20.64
"cod",1963,20.24
"cod",1964,20.43
"cod",1965,21.67
"cod",1966,20.99
"cod",1967,20.44
"cod",1968,24.21
"cod",1969,20.77
"cod",1970,21.1
"cod",1971,21.24
"cod",1972,20
"cod",1973,21.44
"cod",1974,21.93
"cod",1975,18.45
"cod",1976,14.31
"cod",1977,14.51
"cod",1978,12.88
"cod",1979,12.69
"cod",1980,11.75
"cod",1981,10.87
"cod",1982,9.68
"cod",1983,10.57
"cod",1984,9.444
"cod",1985,8.838
"cod",1986,8.147
"cod",1987,7.817
"cod",1988,7.733
"cod",1989,7.032
"cod",1990,6.333
"cod",1991,4.963
"cod",1992,3.766
"cod",1993,3.826
"cod",1994,3.66
"cod",1995,3.799
"cod",1996,3.884
"cod",1997,3.371
"cod",1998,3.413
"cod",1999,3.347
"cod",2000,2.951
"ken",1850,1e-04
"ken",1851,1e-04
"ken",1852,2e-04
"ken",1853,3e-04
"ken",1854,4e-04
"ken",1855,5e-04
"ken",1856,6e-04
"ken",1857,7e-04
"ken",1858,8e-04
"ken",1859,9e-04
"ken",1860,0.001
"ken",1861,0.00199
"ken",1862,0.00298
"ken",1863,0.00397
"ken",1864,0.00496
"ken",1865,0.00595
"ken",1866,0.00694
"ken",1867,0.00793
"ken",1868,0.00892
"ken",1869,0.00991
"ken",1870,0.0109
"ken",1871,0.01189
"ken",1872,0.01292
"ken",1873,0.01395
"ken",1874,0.01499
"ken",1875,0.01602
"ken",1876,0.01705
"ken",1877,0.01808
"ken",1878,0.01911
"ken",1879,0.02014
"ken",1880,0.02117
"ken",1881,0.02398
"ken",1882,0.02235
"ken",1883,0.0225
"ken",1884,0.02265
"ken",1885,0.02492
"ken",1886,0.02719
"ken",1887,0.02946
"ken",1888,0.03184
"ken",1889,0.03539
"ken",1890,0.03741
"ken",1891,0.03152
"ken",1892,0.04067
"ken",1893,0.03552
"ken",1894,0.04416
"ken",1895,0.03898
"ken",1896,0.04384
"ken",1897,0.0494
"ken",1898,0.05108
"ken",1899,0.05153
"ken",1900,0.06157
"ken",1901,0.06706
"ken",1902,0.03535
"ken",1903,0.0387
"ken",1904,0.04596
"ken",1905,0.04992
"ken",1906,0.0488
"ken",1907,0.05286
"ken",1908,0.0693
"ken",1909,0.06352
"ken",1910,0.07579
"ken",1911,0.06586
"ken",1912,0.07546
"ken",1913,0.08624
"ken",1914,0.09322
"ken",1915,0.1066
"ken",1916,0.1172
"ken",1917,0.1007
"ken",1918,0.1081
"ken",1919,0.1182
"ken",1920,0.1241
"ken",1921,0.1702
"ken",1922,0.1723
"ken",1923,0.2074
"ken",1924,0.2151
"ken",1925,0.2096
"ken",1926,0.2024
"ken",1927,0.2177
"ken",1928,0.2222
"ken",1929,0.246
"ken",1930,0.2636
"ken",1931,0.214
"ken",1932,0.171
"ken",1933,0.1982
"ken",1934,0.23
"ken",1935,0.2374
"ken",1936,0.2375
"ken",1937,0.2922
"ken",1938,0.2715
"ken",1939,0.2799
"ken",1940,0.2521
"ken",1941,0.2522
"ken",1942,0.2495
"ken",1943,0.2432
"ken",1944,0.2297
"ken",1945,0.2216
"ken",1946,0.2091
"ken",1947,0.2153
"ken",1948,0.2443
"ken",1949,0.2468
"ken",1950,0.2278
"ken",1951,0.1128
"ken",1952,0.1525
"ken",1953,0.2438
"ken",1954,0.3647
"ken",1955,0.4707
"ken",1956,0.6442
"ken",1957,0.6811
"ken",1958,0.7107
"ken",1959,0.7545
"ken",1960,0.8076
"ken",1961,0.8246
"ken",1962,0.7203
"ken",1963,1.21
"ken",1964,3.809
"ken",1965,4.148
"ken",1966,3.571
"ken",1967,3.645
"ken",1968,3.366
"ken",1969,3.211
"ken",1970,3.367
"ken",1971,3.561
"ken",1972,3.223
"ken",1973,3.288
"ken",1974,3.471
"ken",1975,3.16
"ken",1976,2.669
"ken",1977,2.769
"ken",1978,2.652
"ken",1979,2.618
"ken",1980,2.819
"ken",1981,2.585
"ken",1982,2.098
"ken",1983,1.746
"ken",1984,1.7
"ken",1985,1.588
"ken",1986,1.535
"ken",1987,1.512
"ken",1988,1.424
"ken",1989,1.396
"ken",1990,1.358
"ken",1991,1.333
"ken",1992,1.338
"ken",1993,1.288
"ken",1994,1.293
"ken",1995,1.142
"ken",1996,1.104
"ken",1997,1.198
"ken",1998,1.319
"ken",1999,1.366
"ken",2000,1.477
"rwa",1850,0.00048
"rwa",1851,0.00047
"rwa",1852,0.00094
"rwa",1853,0.0014
"rwa",1854,0.00185
"rwa",1855,0.00229
"rwa",1856,0.00272
"rwa",1857,0.00315
"rwa",1858,0.00357
"rwa",1859,0.00399
"rwa",1860,0.00439
"rwa",1861,0.00866
"rwa",1862,0.01286
"rwa",1863,0.01699
"rwa",1864,0.02105
"rwa",1865,0.02505
"rwa",1866,0.02899
"rwa",1867,0.03286
"rwa",1868,0.03667
"rwa",1869,0.04043
"rwa",1870,0.04412
"rwa",1871,0.04777
"rwa",1872,0.05151
"rwa",1873,0.0552
"rwa",1874,0.05884
"rwa",1875,0.06242
"rwa",1876,0.06596
"rwa",1877,0.06944
"rwa",1878,0.07287
"rwa",1879,0.07625
"rwa",1880,0.07958
"rwa",1881,0.08948
"rwa",1882,0.08282
"rwa",1883,0.08278
"rwa",1884,0.08274
"rwa",1885,0.09042
"rwa",1886,0.09799
"rwa",1887,0.1055
"rwa",1888,0.1132
"rwa",1889,0.125
"rwa",1890,0.1312
"rwa",1891,0.1098
"rwa",1892,0.1408
"rwa",1893,0.1221
"rwa",1894,0.1508
"rwa",1895,0.1323
"rwa",1896,0.1479
"rwa",1897,0.1655
"rwa",1898,0.1701
"rwa",1899,0.1705
"rwa",1900,0.2024
"rwa",1901,0.2191
"rwa",1902,0.1148
"rwa",1903,0.1249
"rwa",1904,0.1474
"rwa",1905,0.1592
"rwa",1906,0.1547
"rwa",1907,0.1665
"rwa",1908,0.217
"rwa",1909,0.1977
"rwa",1910,0.2345
"rwa",1911,0.2026
"rwa",1912,0.2308
"rwa",1913,0.2622
"rwa",1914,0.2818
"rwa",1915,0.3204
"rwa",1916,0.3504
"rwa",1917,0.2992
"rwa",1918,0.3194
"rwa",1919,0.3475
"rwa",1920,0.3626
"rwa",1921,0.4947
"rwa",1922,0.5071
"rwa",1923,0.6179
"rwa",1924,0.6485
"rwa",1925,0.6391
"rwa",1926,0.6242
"rwa",1927,0.6789
"rwa",1928,0.7007
"rwa",1929,0.784
"rwa",1930,0.8491
"rwa",1931,0.6962
"rwa",1932,0.5774
"rwa",1933,0.6932
"rwa",1934,0.8323
"rwa",1935,0.8874
"rwa",1936,0.9157
"rwa",1937,1.161
"rwa",1938,1.11
"rwa",1939,1.176
"rwa",1940,1.088
