"geo","time","mean_years_in_school_women_45_to_54_years"
"bdi",1970,0.4
"bdi",1971,0.42
"bdi",1972,0.43
"bdi",1973,0.45
"bdi",1974,0.46
"bdi",1975,0.48
"bdi",1976,0.5
"bdi",1977,0.51
"bdi",1978,0.53
"bdi",1979,0.55
"bdi",1980,0.57
"bdi",1981,0.59
"bdi",1982,0.61
"bdi",1983,0.64
"bdi",1984,0.66
"bdi",1985,0.68
"bdi",1986,0.71
"bdi",1987,0.73
"bdi",1988,0.76
"bdi",1989,0.79
"bdi",1990,0.82
"bdi",1991,0.85
"bdi",1992,0.88
"bdi",1993,0.92
"bdi",1994,0.95
"bdi",1995,0.99
"bdi",1996,1.03
"bdi",1997,1.07
"bdi",1998,1.11
"bdi",1999,1.15
"bdi",2000,1.19
"bdi",2001,1.24
"bdi",2002,1.28
"bdi",2003,1.33
"bdi",2004,1.38
"bdi",2005,1.43
"bdi",2006,1.48
"bdi",2007,1.53
"bdi",2008,1.58
"bdi",2009,1.63
"bdi",2010,1.69
"bdi",2011,1.74
"bdi",2012,1.8
"bdi",2013,1.86
"bdi",2014,1.92
"bdi",2015,1.98
"cod",1970,0.97
"cod",1971,1.01
"cod",1972,1.04
"cod",1973,1.07
"cod",1974,1.11
"cod",1975,1.15
"cod",1976,1.19
"cod",1977,1.23
"cod",1978,1.27
"cod",1979,1.31
"cod",1980,1.35
"cod",1981,1.4
"cod",1982,1.44
"cod",1983,1.49
"cod",1984,1.54
"cod",1985,1.59
"cod",1986,1.64
"cod",1987,1.7
"cod",1988,1.75
"cod",1989,1.81
"cod",1990,1.87
"cod",1991,1.93
"cod",1992,1.99
"cod",1993,2.06
"cod",1994,2.13
"cod",1995,2.2
"cod",1996,2.27
"cod",1997,2.35
"cod",1998,2.42
"cod",1999,2.5
"cod",2000,2.59
"cod",2001,2.67
"cod",2002,2.75
"cod",2003,2.84
"cod",2004,2.93
"cod",2005,3.02
"cod",2006,3.11
"cod",2007,3.2
"cod",2008,3.3
"cod",2009,3.4
"cod",2010,3.5
"cod",2011,3.6
"cod",2012,3.7
"cod",2013,3.81
"cod",2014,3.92
"cod",2015,4.03
"ken",1970,0.84
"ken",1971,0.88
"ken",1972,0.91
"ken",1973,0.95
"ken",1974,0.99
"ken",1975,1.03
"ken",1976,1.07
"ken",1977,1.12
"ken",1978,1.17
"ken",1979,1.22
"ken",1980,1.27
"ken",1981,1.33
"ken",1982,1.39
"ken",1983,1.45
"ken",1984,1.52
"ken",1985,1.59
"ken",1986,1.66
"ken",1987,1.74
"ken",1988,1.82
"ken",1989,1.9
"ken",1990,1.99
"ken",1991,2.09
"ken",1992,2.19
"ken",1993,2.29
"ken",1994,2.4
"ken",1995,2.52
"ken",1996,2.63
"ken",1997,2.73
"ken",1998,2.85
"ken",1999,2.96
"ken",2000,3.07
"ken",2001,3.18
"ken",2002,3.3
"ken",2003,3.41
"ken",2004,3.53
"ken",2005,3.65
"ken",2006,3.76
"ken",2007,3.88
"ken",2008,4
"ken",2009,4.11
"ken",2010,4.23
"ken",2011,4.35
"ken",2012,4.47
"ken",2013,4.58
"ken",2014,4.7
"ken",2015,4.82
"rwa",1970,0.38
"rwa",1971,0.39
"rwa",1972,0.41
"rwa",1973,0.42
"rwa",1974,0.44
"rwa",1975,0.46
"rwa",1976,0.48
"rwa",1977,0.5
"rwa",1978,0.52
"rwa",1979,0.54
"rwa",1980,0.56
"rwa",1981,0.59
"rwa",1982,0.61
"rwa",1983,0.64
"rwa",1984,0.67
"rwa",1985,0.7
"rwa",1986,0.73
"rwa",1987,0.76
"rwa",1988,0.79
"rwa",1989,0.83
"rwa",1990,0.87
"rwa",1991,0.91
"rwa",1992,0.95
"rwa",1993,1
"rwa",1994,1.04
"rwa",1995,1.09
"rwa",1996,1.14
"rwa",1997,1.19
"rwa",1998,1.25
"rwa",1999,1.3
"rwa",2000,1.35
"rwa",2001,1.41
"rwa",2002,1.46
