"geo","time","population_aged_15_19_years_female_percent"
"bdi",1950,10.00699
"bdi",1955,9.69205
"bdi",1960,9.43795
"bdi",1965,9.24135
"bdi",1970,10.50592
"bdi",1975,11.02666
"bdi",1980,10.68547
"bdi",1985,9.76004
"bdi",1990,9.06206
"bdi",1995,10.06844
"bdi",2000,11.46606
"bdi",2005,12.30304
"bdi",2010,11.66073
"bdi",2015,10.2323
"bdi",2020,9.87908
"bdi",2025,10.54122
"bdi",2030,10.90558
"bdi",2035,10.95609
"bdi",2040,10.52987
"bdi",2045,10.01967
"bdi",2050,9.8091
"bdi",2055,9.81141
"bdi",2060,9.74741
"bdi",2065,9.49234
"bdi",2070,9.1228
"bdi",2075,8.78155
"bdi",2080,8.55132
"bdi",2085,8.3925
"bdi",2090,8.19921
"bdi",2095,7.94549
"bdi",2100,7.64687
"cod",1950,9.97451
"cod",1955,10.18262
"cod",1960,10.29441
"cod",1965,10.19675
"cod",1970,9.7086
"cod",1975,9.81597
"cod",1980,9.97721
"cod",1985,10.08457
"cod",1990,10.10957
"cod",1995,10.14085
"cod",2000,10.25105
"cod",2005,10.27366
"cod",2010,10.2496
"cod",2015,10.22409
"cod",2020,10.50543
"cod",2025,10.86263
"cod",2030,11.02266
"cod",2035,10.85559
"cod",2040,10.64345
"cod",2045,10.47368
"cod",2050,10.27751
"cod",2055,10.01032
"cod",2060,9.65161
"cod",2065,9.25858
"cod",2070,8.87605
"cod",2075,8.50566
"cod",2080,8.17615
"cod",2085,7.83028
"cod",2090,7.4967
"cod",2095,7.1868
"cod",2100,6.8863
"ken",1950,10.18872
"ken",1955,9.1656
"ken",1960,8.21789
"ken",1965,9.44199
"ken",1970,10.50707
"ken",1975,10.59369
"ken",1980,10.63258
"ken",1985,10.66147
"ken",1990,11.03879
"ken",1995,11.48474
"ken",2000,11.80367
"ken",2005,11.57204
"ken",2010,10.54683
"ken",2015,10.82321
"ken",2020,10.83466
"ken",2025,10.77712
"ken",2030,10.0955
"ken",2035,9.71012
"ken",2040,9.39469
"ken",2045,9.14145
"ken",2050,8.86216
"ken",2055,8.52761
"ken",2060,8.17741
"ken",2065,7.869
"ken",2070,7.58184
"ken",2075,7.314
"ken",2080,7.05615
"ken",2085,6.79899
"ken",2090,6.53615
"ken",2095,6.30094
"ken",2100,6.10417
"rwa",1950,10.93393
"rwa",1955,9.16714
"rwa",1960,8.63992
"rwa",1965,10.12999
"rwa",1970,11.24356
"rwa",1975,11.33075
"rwa",1980,10.406
"rwa",1985,9.87866
"rwa",1990,10.31363
"rwa",1995,12.00182
"rwa",2000,12.86591
"rwa",2005,12.31334
"rwa",2010,10.11546
"rwa",2015,10.23346
"rwa",2020,10.45547
"rwa",2025,10.77414
"rwa",2030,10.37988
"rwa",2035,9.73523
"rwa",2040,9.08485
"rwa",2045,8.72847
"rwa",2050,8.55194
"rwa",2055,8.3242
"rwa",2060,7.92889
"rwa",2065,7.446
"rwa",2070,7.01147
"rwa",2075,6.68524
"rwa",2080,6.42203
"rwa",2085,6.1863
"rwa",2090,5.9309
"rwa",2095,5.68601
"rwa",2100,5.48311
"ssd",1950,10.37902
"ssd",1955,10.66682
"ssd",1960,10.79173
"ssd",1965,10.43808
"ssd",1970,9.17269
"ssd",1975,9.7091
"ssd",1980,10.10789
"ssd",1985,10.41159
"ssd",1990,10.33704
"ssd",1995,10.20094
"ssd",2000,9.98799
"ssd",2005,10.51114
"ssd",2010,10.78193
"ssd",2015,10.90148
"ssd",2020,10.65929
"ssd",2025,10.55452
"ssd",2030,10.3979
"ssd",2035,10.31271
"ssd",2040,10.15082
"ssd",2045,9.88749
"ssd",2050,9.57347
"ssd",2055,9.26982
"ssd",2060,9.00019
"ssd",2065,8.74678
"ssd",2070,8.48496
"ssd",2075,8.21063
"ssd",2080,7.93695
"ssd",2085,7.68148
"ssd",2090,7.44648
"ssd",2095,7.21898
"ssd",2100,6.98734
"tza",1950,10.32996
"tza",1955,10.34903
"tza",1960,10.36173
"tza",1965,10.48858
"tza",1970,10.04968
"tza",1975,10.2262
"tza",1980,10.2997
"tza",1985,10.41994
"tza",1990,10.58334
"tza",1995,10.73619
"tza",2000,10.81383
"tza",2005,10.75884
"tza",2010,10.63289
"tza",2015,10.31547
"tza",2020,10.78646
"tza",2025,10.7846
"tza",2030,10.7897
"tza",2035,10.51418
"tza",2040,10.28232
"tza",2045,10.12256
"tza",2050,9.96928
"tza",2055,9.75667
"tza",2060,9.50149
"tza",2065,9.21951
"tza",2070,8.95465
"tza",2075,8.71582
"tza",2080,8.47127
"tza",2085,8.2363
"tza",2090,7.99445
"tza",2095,7.75536
"tza",2100,7.53249
"uga",1950,10.84588
"uga",1955,9.03665
"uga",1960,9.81959
"uga",1965,9.90676
"uga",1970,10.39631
"uga",1975,10.32033
"uga",1980,10.36939
"uga",1985,10.49454
"uga",1990,10.46763
"uga",1995,10.57465
"uga",2000,10.74416
"uga",2005,10.84299
"uga",2010,11.02849
"uga",2015,11.07767
"uga",2020,11.24734
"uga",2025,11.23074
"uga",2030,11.07882
"uga",2035,10.94291
"uga",2040,10.77079
"uga",2045,10.57146
"uga",2050,10.30281
"uga",2055,9.97756
"uga",2060,9.64706
"uga",2065,9.31931
"uga",2070,9.00369
"uga",2075,8.68809
"uga",2080,8.37207
"uga",2085,8.06849
"uga",2090,7.77907
"uga",2095,7.50144
"uga",2100,7.24115
