"geo","time","population_aged_5_9_years_female_percent"
"bdi",1950,12.87394
"bdi",1955,12.6636
"bdi",1960,14.13864
"bdi",1965,14.03047
"bdi",1970,14.2578
"bdi",1975,14.07006
"bdi",1980,13.28754
"bdi",1985,14.32465
"bdi",1990,15.10179
"bdi",1995,16.27441
"bdi",2000,16.29133
"bdi",2005,14.57496
"bdi",2010,13.82265
"bdi",2015,14.59494
"bdi",2020,14.72319
"bdi",2025,14.50659
"bdi",2030,13.78205
"bdi",2035,12.9825
"bdi",2040,12.53168
"bdi",2045,12.31474
"bdi",2050,12.01648
"bdi",2055,11.52052
"bdi",2060,10.92925
"bdi",2065,10.39485
"bdi",2070,9.99615
"bdi",2075,9.68032
"bdi",2080,9.33428
"bdi",2085,8.9361
"bdi",2090,8.50215
"bdi",2095,8.13674
"bdi",2100,7.81425
"cod",1950,13.52707
"cod",1955,13.63018
"cod",1960,13.12793
"cod",1965,13.39278
"cod",1970,13.69447
"cod",1975,13.93242
"cod",1980,14.05497
"cod",1985,14.18178
"cod",1990,14.36259
"cod",1995,14.4734
"cod",2000,14.5997
"cod",2005,14.61843
"cod",2010,14.88116
"cod",2015,15.13179
"cod",2020,15.09765
"cod",2025,14.62001
"cod",2030,14.07358
"cod",2035,13.57268
"cod",2040,13.04423
"cod",2045,12.45589
"cod",2050,11.78983
"cod",2055,11.11716
"cod",2060,10.48457
"cod",2065,9.88509
"cod",2070,9.35544
"cod",2075,8.82625
"cod",2080,8.32958
"cod",2085,7.87725
"cod",2090,7.45111
"cod",2095,7.07785
"cod",2100,6.74811
"ken",1950,11.70543
"ken",1955,13.65006
"ken",1960,15.35882
"ken",1965,15.69003
"ken",1970,15.90926
"ken",1975,15.96749
"ken",1980,16.26873
"ken",1985,16.30384
"ken",1990,16.2313
"ken",1995,15.58706
"ken",2000,14.17263
"ken",2005,14.42543
"ken",2010,14.1872
"ken",2015,13.83639
"ken",2020,12.73747
"ken",2025,12.05533
"ken",2030,11.46924
"ken",2035,10.96897
"ken",2040,10.46155
"ken",2045,9.91531
"ken",2050,9.36997
"ken",2055,8.88855
"ken",2060,8.44566
"ken",2065,8.03605
"ken",2070,7.65153
"ken",2075,7.285
"ken",2080,6.9258
"ken",2085,6.60674
"ken",2090,6.33834
"ken",2095,6.0977
"ken",2100,5.88784
"rwa",1950,12.42686
"rwa",1955,14.50807
"rwa",1960,15.30665
"rwa",1965,16.22982
"rwa",1970,15.12258
"rwa",1975,14.70352
"rwa",1980,15.12162
"rwa",1985,15.98135
"rwa",1990,16.39062
"rwa",1995,15.38688
"rwa",2000,13.383
"rwa",2005,13.55402
"rwa",2010,13.54155
"rwa",2015,13.6184
"rwa",2020,12.82513
"rwa",2025,11.84101
"rwa",2030,10.89412
"rwa",2035,10.29132
"rwa",2040,9.88923
"rwa",2045,9.44366
"rwa",2050,8.84534
"rwa",2055,8.18262
"rwa",2060,7.59655
"rwa",2065,7.14316
"rwa",2070,6.77026
"rwa",2075,6.44175
"rwa",2080,6.10682
"rwa",2085,5.79356
"rwa",2090,5.53227
"rwa",2095,5.33918
"rwa",2100,5.19602
"ssd",1950,14.09187
"ssd",1955,14.06242
"ssd",1960,12.56944
"ssd",1965,13.38052
"ssd",1970,13.92109
"ssd",1975,14.28553
"ssd",1980,14.24092
"ssd",1985,14.1804
"ssd",1990,13.90532
"ssd",1995,14.41048
"ssd",2000,14.52939
"ssd",2005,14.54446
"ssd",2010,14.06544
"ssd",2015,13.77851
"ssd",2020,13.38943
"ssd",2025,13.07271
"ssd",2030,12.66358
"ssd",2035,12.14993
"ssd",2040,11.59613
"ssd",2045,11.07217
"ssd",2050,10.60007
"ssd",2055,10.15772
"ssd",2060,9.7192
"ssd",2065,9.28141
"ssd",2070,8.86013
"ssd",2075,8.47293
"ssd",2080,8.11861
"ssd",2085,7.78313
"ssd",2090,7.45542
"ssd",2095,7.15329
"ssd",2100,6.86658
"tza",1950,14.48997
"tza",1955,14.79132
"tza",1960,14.23128
"tza",1965,14.53594
"tza",1970,14.68301
"tza",1975,14.80933
"tza",1980,14.92637
"tza",1985,14.96116
"tza",1990,14.82022
"tza",1995,14.71609
"tza",2000,14.63958
"tza",2005,14.33919
"tza",2010,14.89451
"tza",2015,14.6997
"tza",2020,14.50735
"tza",2025,13.96753
"tza",2030,13.48552
"tza",2035,13.08656
"tza",2040,12.69601
"tza",2045,12.24451
"tza",2050,11.75928
"tza",2055,11.25841
"tza",2060,10.79257
"tza",2065,10.3697
"tza",2070,9.94926
"tza",2075,9.55274
"tza",2080,9.16181
"tza",2085,8.78499
"tza",2090,8.43493
"tza",2095,8.11549
"tza",2100,7.80557
"uga",1950,13.86078
"uga",1955,14.0614
"uga",1960,14.90658
"uga",1965,14.87715
"uga",1970,14.9785
"uga",1975,15.19863
"uga",1980,15.14876
"uga",1985,15.22165
"uga",1990,15.37496
"uga",1995,15.6151
"uga",2000,16.01867
"uga",2005,16.02683
"uga",2010,16.0654
"uga",2015,15.76671
"uga",2020,15.26945
"uga",2025,14.803
"uga",2030,14.29038
"uga",2035,13.75662
"uga",2040,13.15824
"uga",2045,12.51378
"uga",2050,11.88643
"uga",2055,11.28619
"uga",2060,10.7254
"uga",2065,10.18756
"uga",2070,9.66966
"uga",2075,9.18447
"uga",2080,8.73212
"uga",2085,8.3082
"uga",2090,7.91639
"uga",2095,7.55002
"uga",2100,7.21236
