"geo","time","population_aged_10_14_years_male_percent"
"bdi",1950,11.62208
"bdi",1955,11.25371
"bdi",1960,11.07299
"bdi",1965,12.60151
"bdi",1970,12.72184
"bdi",1975,13.06651
"bdi",1980,12.15255
"bdi",1985,11.14815
"bdi",1990,12.12643
"bdi",1995,13.81467
"bdi",2000,14.93278
"bdi",2005,13.79023
"bdi",2010,12.17131
"bdi",2015,11.84833
"bdi",2020,12.6178
"bdi",2025,12.97406
"bdi",2030,12.91852
"bdi",2035,12.34674
"bdi",2040,11.6711
"bdi",2045,11.33247
"bdi",2050,11.23219
"bdi",2055,11.07024
"bdi",2060,10.72135
"bdi",2065,10.27543
"bdi",2070,9.86052
"bdi",2075,9.57227
"bdi",2080,9.36348
"bdi",2085,9.12446
"bdi",2090,8.82326
"bdi",2095,8.47007
"bdi",2100,8.17282
"cod",1950,12.1967
"cod",1955,12.47758
"cod",1960,12.49033
"cod",1965,12.08971
"cod",1970,12.14645
"cod",1975,12.26121
"cod",1980,12.35419
"cod",1985,12.34638
"cod",1990,12.36345
"cod",1995,12.43415
"cod",2000,12.50398
"cod",2005,12.5154
"cod",2010,12.41135
"cod",2015,12.65758
"cod",2020,12.98549
"cod",2025,13.07293
"cod",2030,12.75427
"cod",2035,12.3818
"cod",2040,12.05891
"cod",2045,11.71811
"cod",2050,11.31841
"cod",2055,10.83445
"cod",2060,10.33579
"cod",2065,9.86111
"cod",2070,9.40915
"cod",2075,9.01008
"cod",2080,8.59712
"cod",2085,8.20395
"cod",2090,7.83815
"cod",2095,7.484
"cod",2100,7.16905
"ken",1950,10.67005
"ken",1955,9.72893
"ken",1960,11.27454
"ken",1965,12.57018
"ken",1970,12.85857
"ken",1975,12.97104
"ken",1980,13.06565
"ken",1985,13.4016
"ken",1990,13.70263
"ken",1995,14.0032
"ken",2000,13.68421
"ken",2005,12.5031
"ken",2010,12.73637
"ken",2015,12.64649
"ken",2020,12.49901
"ken",2025,11.62303
"ken",2030,11.09583
"ken",2035,10.65077
"ken",2040,10.28092
"ken",2045,9.8926
"ken",2050,9.45308
"ken",2055,9.01223
"ken",2060,8.62632
"ken",2065,8.26712
"ken",2070,7.93304
"ken",2075,7.61643
"ken",2080,7.3073
"ken",2085,6.99612
"ken",2090,6.71906
"ken",2095,6.48672
"ken",2100,6.27623
"rwa",1950,11.56389
"rwa",1955,10.83726
"rwa",1960,12.46351
"rwa",1965,13.46246
"rwa",1970,13.69509
"rwa",1975,12.76221
"rwa",1980,12.26399
"rwa",1985,12.48436
"rwa",1990,13.34177
"rwa",1995,15.43167
"rwa",2000,14.90643
"rwa",2005,11.7692
"rwa",2010,12.17417
"rwa",2015,12.21857
"rwa",2020,12.42765
"rwa",2025,11.91694
"rwa",2030,11.15598
"rwa",2035,10.41662
"rwa",2040,9.932
"rwa",2045,9.64997
"rwa",2050,9.32018
"rwa",2055,8.82268
"rwa",2060,8.24006
"rwa",2065,7.71935
"rwa",2070,7.32169
"rwa",2075,6.99845
"rwa",2080,6.70909
"rwa",2085,6.39908
"rwa",2090,6.10918
"rwa",2095,5.86748
"rwa",2100,5.69161
"ssd",1950,11.74775
"ssd",1955,12.3867
"ssd",1960,12.16626
"ssd",1965,10.48057
"ssd",1970,11.23938
"ssd",1975,11.81096
"ssd",1980,12.20476
"ssd",1985,12.26657
"ssd",1990,12.16484
"ssd",1995,11.88748
"ssd",2000,12.41876
"ssd",2005,12.69095
"ssd",2010,12.77164
"ssd",2015,12.4234
"ssd",2020,12.23271
"ssd",2025,11.96392
"ssd",2030,11.73273
"ssd",2035,11.45219
"ssd",2040,11.08144
"ssd",2045,10.66552
"ssd",2050,10.27206
"ssd",2055,9.93548
"ssd",2060,9.61826
"ssd",2065,9.29908
"ssd",2070,8.96895
"ssd",2075,8.64889
"ssd",2080,8.35184
"ssd",2085,8.07702
"ssd",2090,7.81581
"ssd",2095,7.55555
"ssd",2100,7.31063
"tza",1950,12.35998
"tza",1955,12.39881
"tza",1960,12.55304
"tza",1965,12.26855
"tza",1970,12.49509
"tza",1975,12.5838
"tza",1980,12.66293
"tza",1985,12.81166
"tza",1990,12.91599
"tza",1995,12.93046
"tza",2000,12.94022
"tza",2005,12.61684
"tza",2010,12.65777
"tza",2015,12.78231
"tza",2020,13.00364
"tza",2025,12.92691
"tza",2030,12.44177
"tza",2035,12.07138
"tza",2040,11.79313
"tza",2045,11.52113
"tza",2050,11.20315
"tza",2055,10.83885
"tza",2060,10.44649
"tza",2065,10.08654
"tza",2070,9.75981
"tza",2075,9.42811
"tza",2080,9.11508
"tza",2085,8.79667
"tza",2090,8.4906
"tza",2095,8.20515
"tza",2100,7.94545
"uga",1950,10.81377
"uga",1955,11.90192
"uga",1960,12.02395
"uga",1965,12.50837
"uga",1970,12.47322
"uga",1975,12.59313
"uga",1980,12.80351
"uga",1985,12.76296
"uga",1990,12.90846
"uga",1995,13.1639
"uga",2000,13.42692
"uga",2005,13.6497
"uga",2010,13.59244
"uga",2015,13.68948
"uga",2020,13.56274
"uga",2025,13.23758
"uga",2030,12.88365
"uga",2035,12.56147
"uga",2040,12.21148
"uga",2045,11.79908
"uga",2050,11.34678
"uga",2055,10.89629
"uga",2060,10.45817
"uga",2065,10.03556
"uga",2070,9.61589
"uga",2075,9.20005
"uga",2080,8.80548
"uga",2085,8.43427
"uga",2090,8.08371
"uga",2095,7.75754
"uga",2100,7.44969
