"geo","time","mean_years_in_school_men_45_to_54_years"
"bdi",1970,1.32
"bdi",1971,1.35
"bdi",1972,1.39
"bdi",1973,1.42
"bdi",1974,1.46
"bdi",1975,1.5
"bdi",1976,1.54
"bdi",1977,1.58
"bdi",1978,1.62
"bdi",1979,1.66
"bdi",1980,1.7
"bdi",1981,1.75
"bdi",1982,1.79
"bdi",1983,1.84
"bdi",1984,1.88
"bdi",1985,1.93
"bdi",1986,1.98
"bdi",1987,2.03
"bdi",1988,2.08
"bdi",1989,2.13
"bdi",1990,2.18
"bdi",1991,2.24
"bdi",1992,2.29
"bdi",1993,2.35
"bdi",1994,2.41
"bdi",1995,2.47
"bdi",1996,2.52
"bdi",1997,2.58
"bdi",1998,2.65
"bdi",1999,2.71
"bdi",2000,2.77
"bdi",2001,2.84
"bdi",2002,2.91
"bdi",2003,2.98
"bdi",2004,3.05
"bdi",2005,3.12
"bdi",2006,3.19
"bdi",2007,3.27
"bdi",2008,3.34
"bdi",2009,3.42
"bdi",2010,3.5
"bdi",2011,3.58
"bdi",2012,3.66
"bdi",2013,3.75
"bdi",2014,3.83
"bdi",2015,3.92
"cod",1970,3.33
"cod",1971,3.41
"cod",1972,3.49
"cod",1973,3.57
"cod",1974,3.66
"cod",1975,3.75
"cod",1976,3.83
"cod",1977,3.92
"cod",1978,4.02
"cod",1979,4.11
"cod",1980,4.2
"cod",1981,4.3
"cod",1982,4.4
"cod",1983,4.5
"cod",1984,4.6
"cod",1985,4.71
"cod",1986,4.81
"cod",1987,4.92
"cod",1988,5.03
"cod",1989,5.14
"cod",1990,5.25
"cod",1991,5.36
"cod",1992,5.48
"cod",1993,5.6
"cod",1994,5.72
"cod",1995,5.84
"cod",1996,5.96
"cod",1997,6.09
"cod",1998,6.21
"cod",1999,6.34
"cod",2000,6.47
"cod",2001,6.59
"cod",2002,6.72
"cod",2003,6.85
"cod",2004,6.98
"cod",2005,7.12
"cod",2006,7.25
"cod",2007,7.38
"cod",2008,7.51
"cod",2009,7.65
"cod",2010,7.78
"cod",2011,7.92
"cod",2012,8.06
"cod",2013,8.19
"cod",2014,8.33
"cod",2015,8.46
"ken",1970,2.57
"ken",1971,2.65
"ken",1972,2.72
"ken",1973,2.81
"ken",1974,2.89
"ken",1975,2.98
"ken",1976,3.06
"ken",1977,3.16
"ken",1978,3.25
"ken",1979,3.35
"ken",1980,3.45
"ken",1981,3.56
"ken",1982,3.66
"ken",1983,3.77
"ken",1984,3.89
"ken",1985,4.01
"ken",1986,4.13
"ken",1987,4.25
"ken",1988,4.38
"ken",1989,4.52
"ken",1990,4.65
"ken",1991,4.79
"ken",1992,4.93
"ken",1993,5.08
"ken",1994,5.23
"ken",1995,5.39
"ken",1996,5.52
"ken",1997,5.66
"ken",1998,5.79
"ken",1999,5.92
"ken",2000,6.06
"ken",2001,6.19
"ken",2002,6.32
"ken",2003,6.45
"ken",2004,6.58
"ken",2005,6.71
"ken",2006,6.84
"ken",2007,6.97
"ken",2008,7.09
"ken",2009,7.22
"ken",2010,7.35
"ken",2011,7.48
"ken",2012,7.6
"ken",2013,7.73
"ken",2014,7.86
"ken",2015,7.99
"rwa",1970,1.33
"rwa",1971,1.37
"rwa",1972,1.41
"rwa",1973,1.45
"rwa",1974,1.49
"rwa",1975,1.53
"rwa",1976,1.57
"rwa",1977,1.62
"rwa",1978,1.66
"rwa",1979,1.71
"rwa",1980,1.76
"rwa",1981,1.81
"rwa",1982,1.86
"rwa",1983,1.91
"rwa",1984,1.97
"rwa",1985,2.02
"rwa",1986,2.08
"rwa",1987,2.14
"rwa",1988,2.2
"rwa",1989,2.26
"rwa",1990,2.33
"rwa",1991,2.4
"rwa",1992,2.46
"rwa",1993,2.53
"rwa",1994,2.61
"rwa",1995,2.68
"rwa",1996,2.75
"rwa",1997,2.83
"rwa",1998,2.9
"rwa",1999,2.98
"rwa",2000,3.05
"rwa",2001,3.13
"rwa",2002,3.21
"rwa",2003,3.29
"rwa",2004,3.37
"rwa",2005,3.45
"rwa",2006,3.53
"rwa",2007,3.62
"rwa",2008,3.7
"rwa",2009,3.79
"rwa",2010,3.88
"rwa",2011,3.97
"rwa",2012,4.06
"rwa",2013,4.16
"rwa",2014,4.25
"rwa",2015,4.35
"ssd",1970,0.67
"ssd",1971,0.69
"ssd",1972,0.71
"ssd",1973,0.73
"ssd",1974,0.75
"ssd",1975,0.77
"ssd",1976,0.79
"ssd",1977,0.81
"ssd",1978,0.83
"ssd",1979,0.85
"ssd",1980,0.88
"ssd",1981,0.9
"ssd",1982,0.93
"ssd",1983,0.95
"ssd",1984,0.98
"ssd",1985,1
"ssd",1986,1.03
"ssd",1987,1.06
"ssd",1988,1.09
"ssd",1989,1.12
"ssd",1990,1.15
"ssd",1991,1.18
"ssd",1992,1.21
"ssd",1993,1.24
"ssd",1994,1.27
"ssd",1995,1.31
"ssd",1996,1.34
"ssd",1997,1.38
"ssd",1998,1.41
"ssd",1999,1.45
"ssd",2000,1.49
"ssd",2001,1.53
"ssd",2002,1.57
"ssd",2003,1.61
"ssd",2004,1.65
"ssd",2005,1.69
"ssd",2006,1.74
"ssd",2007,1.78
"ssd",2008,1.83
"ssd",2009,1.88
"ssd",2010,1.92
"ssd",2011,1.97
"ssd",2012,2.02
"ssd",2013,2.08
"ssd",2014,2.13
"ssd",2015,2.18
"tza",1970,2.23
"tza",1971,2.28
"tza",1972,2.34
"tza",1973,2.4
"tza",1974,2.47
"tza",1975,2.53
"tza",1976,2.59
"tza",1977,2.66
"tza",1978,2.73
"tza",1979,2.8
"tza",1980,2.87
"tza",1981,2.94
"tza",1982,3.02
"tza",1983,3.1
"tza",1984,3.17
"tza",1985,3.25
"tza",1986,3.34
"tza",1987,3.42
"tza",1988,3.5
"tza",1989,3.59
"tza",1990,3.68
"tza",1991,3.77
"tza",1992,3.87
"tza",1993,3.96
"tza",1994,4.06
"tza",1995,4.16
"tza",1996,4.26
"tza",1997,4.36
"tza",1998,4.47
"tza",1999,4.57
"tza",2000,4.68
"tza",2001,4.79
"tza",2002,4.9
"tza",2003,5.01
"tza",2004,5.12
"tza",2005,5.23
"tza",2006,5.35
"tza",2007,5.46
"tza",2008,5.58
"tza",2009,5.69
"tza",2010,5.81
"tza",2011,5.93
"tza",2012,6.05
"tza",2013,6.17
"tza",2014,6.29
"tza",2015,6.41
"uga",1970,2.52
"uga",1971,2.59
"uga",1972,2.65
"uga",1973,2.72
"uga",1974,2.79
"uga",1975,2.86
"uga",1976,2.93
"uga",1977,3.01
"uga",1978,3.08
"uga",1979,3.16
"uga",1980,3.24
"uga",1981,3.32
"uga",1982,3.4
"uga",1983,3.48
"uga",1984,3.57
"uga",1985,3.66
"uga",1986,3.74
"uga",1987,3.83
"uga",1988,3.93
"uga",1989,4.02
"uga",1990,4.11
"uga",1991,4.21
"uga",1992,4.31
"uga",1993,4.41
"uga",1994,4.51
"uga",1995,4.62
"uga",1996,4.72
"uga",1997,4.83
"uga",1998,4.93
"uga",1999,5.04
"uga",2000,5.15
"uga",2001,5.26
"uga",2002,5.37
"uga",2003,5.49
"uga",2004,5.6
"uga",2005,5.71
"uga",2006,5.83
"uga",2007,5.95
"uga",2008,6.06
"uga",2009,6.18
"uga",2010,6.3
"uga",2011,6.42
"uga",2012,6.54
"uga",2013,6.67
"uga",2014,6.79
"uga",2015,6.91
