"geo","time","child_mortality_0_5_year_olds_dying_per_1000_born"
"cod",1850,422.65
"cod",1851,422.65
"cod",1852,422.65
"cod",1853,422.65
"cod",1854,422.65
"cod",1855,422.65
"cod",1856,422.65
"cod",1857,422.65
"cod",1858,422.65
"cod",1859,422.65
"cod",1860,422.65
"cod",1861,422.65
"cod",1862,422.65
"cod",1863,422.65
"cod",1864,422.65
"cod",1865,422.65
"cod",1866,422.65
"cod",1867,422.65
"cod",1868,422.65
"cod",1869,422.65
"cod",1870,422.65
"cod",1871,422.65
"cod",1872,422.65
"cod",1873,422.65
"cod",1874,422.65
"cod",1875,422.65
"cod",1876,422.65
"cod",1877,422.65
"cod",1878,422.65
"cod",1879,422.65
"cod",1880,422.65
"cod",1881,422.65
"cod",1882,422.65
"cod",1883,422.65
"cod",1884,422.65
"cod",1885,422.65
"cod",1886,422.65
"cod",1887,422.65
"cod",1888,422.65
"cod",1889,422.65
"cod",1890,422.65
"cod",1891,422.65
"cod",1892,422.65
"cod",1893,422.65
"cod",1894,422.63
"cod",1895,422.6
"cod",1896,422.54
"cod",1897,422.43
"cod",1898,422.26
"cod",1899,422.03
"cod",1900,421.73
"cod",1901,421.37
"cod",1902,420.94
"cod",1903,420.44
"cod",1904,419.88
"cod",1905,419.25
"cod",1906,418.56
"cod",1907,417.8
"cod",1908,416.97
"cod",1909,416.09
"cod",1910,415.16
"cod",1911,414.2
"cod",1912,413.22
"cod",1913,412.23
"cod",1914,411.24
"cod",1915,410.25
"cod",1916,409.26
"cod",1917,408.26
"cod",1918,407.27
"cod",1919,406.28
"cod",1920,405.29
"cod",1921,404.3
"cod",1922,403.31
"cod",1923,402.31
"cod",1924,401.32
"cod",1925,400.33
"cod",1926,399.34
"cod",1927,398.35
"cod",1928,397.36
"cod",1929,396.36
"cod",1930,395.37
"cod",1931,394.566
"cod",1932,393.762
"cod",1933,392.957
"cod",1934,392.14
"cod",1935,391.333
"cod",1936,390.525
"cod",1937,389.715
"cod",1938,388.905
"cod",1939,388.094
"cod",1940,387.272
"cod",1941,378.197
"cod",1942,370.42
"cod",1943,361.659
"cod",1944,353.031
"cod",1945,344.526
"cod",1946,337.282
"cod",1947,329.054
"cod",1948,320.948
"cod",1949,313.007
"cod",1950,306.198
"cod",1951,304.172
"cod",1952,300.242
"cod",1953,296.555
"cod",1954,293.11
"cod",1955,289.908
"cod",1956,286.942
"cod",1957,284.196
"cod",1958,281.649
"cod",1959,279.26
"cod",1960,276.983
"cod",1961,274.758
"cod",1962,272.521
"cod",1963,270.204
"cod",1964,267.758
"cod",1965,265.102
"cod",1966,262.168
"cod",1967,258.98
"cod",1968,255.599
"cod",1969,252.1
"cod",1970,248.4
"cod",1971,244.7
"cod",1972,241.2
"cod",1973,237.4
"cod",1974,233.5
"cod",1975,229.6
"cod",1976,225.5
"cod",1977,221.5
"cod",1978,217.4
"cod",1979,213.6
"cod",1980,210.2
"cod",1981,206.7
"cod",1982,203.3
"cod",1983,200.2
"cod",1984,197.5
"cod",1985,194.8
"cod",1986,192.3
"cod",1987,190.2
"cod",1988,188.1
"cod",1989,185.8
"cod",1990,183.6
"cod",1991,181.6
"cod",1992,179.7
"cod",1993,177.9
"cod",1994,176.2
"cod",1995,174.4
"cod",1996,172.3
"cod",1997,186.674
"cod",1998,185.217
"cod",1999,182.414
"cod",2000,159.8
"cod",2001,155.5
"cod",2002,151.1
"cod",2003,146.7
"cod",2004,142.1
"cod",2005,137.4
"cod",2006,132.8
"cod",2007,128.3
"cod",2008,123.8
"cod",2009,119.6
"cod",2010,115.6
"cod",2011,111.7
"cod",2012,108.1
"cod",2013,104.4
"cod",2014,101
"cod",2015,97.6
"cod",2016,94.3
"cod",2017,92.462
"cod",2018,89.977
"ken",1800,507.88
"ken",1801,507.88
"ken",1802,507.88
"ken",1803,507.88
"ken",1804,507.88
"ken",1805,507.88
"ken",1806,507.88
"ken",1807,507.88
"ken",1808,507.88
"ken",1809,507.88
"ken",1810,507.88
"ken",1811,507.88
"ken",1812,507.88
"ken",1813,507.88
"ken",1814,507.88
"ken",1815,507.88
"ken",1816,507.88
"ken",1817,507.88
"ken",1818,507.88
"ken",1819,507.88
"ken",1820,507.88
"ken",1821,507.88
"ken",1822,507.88
"ken",1823,507.88
"ken",1824,507.88
"ken",1825,507.88
"ken",1826,507.88
"ken",1827,507.88
"ken",1828,507.88
"ken",1829,507.88
"ken",1830,507.88
"ken",1831,507.88
"ken",1832,507.88
"ken",1833,507.88
"ken",1834,507.88
"ken",1835,507.88
"ken",1836,507.88
"ken",1837,507.88
"ken",1838,507.88
"ken",1839,507.88
"ken",1840,507.88
"ken",1841,507.88
"ken",1842,507.88
"ken",1843,507.88
"ken",1844,507.88
"ken",1845,507.88
"ken",1846,507.88
"ken",1847,507.88
"ken",1848,507.88
"ken",1849,507.88
"ken",1850,507.88
"ken",1851,507.88
"ken",1852,507.88
"ken",1853,507.88
"ken",1854,507.88
"ken",1855,507.88
"ken",1856,507.88
"ken",1857,507.88
"ken",1858,507.88
"ken",1859,507.88
"ken",1860,507.88
"ken",1861,507.88
"ken",1862,507.88
"ken",1863,507.88
"ken",1864,507.88
"ken",1865,507.88
"ken",1866,507.88
"ken",1867,507.88
"ken",1868,507.88
"ken",1869,507.88
"ken",1870,507.88
"ken",1871,507.88
"ken",1872,507.88
"ken",1873,507.88
"ken",1874,507.88
"ken",1875,507.88
"ken",1876,507.88
"ken",1877,507.88
"ken",1878,507.88
"ken",1879,507.88
"ken",1880,507.88
"ken",1881,507.88
"ken",1882,507.88
"ken",1883,507.88
"ken",1884,507.88
"ken",1885,507.88
"ken",1886,507.88
"ken",1887,507.88
"ken",1888,507.88
"ken",1889,507.88
"ken",1890,507.88
"ken",1891,507.88
"ken",1892,507.88
"ken",1893,507.88
"ken",1894,507.87
"ken",1895,507.83
"ken",1896,507.75
"ken",1897,507.62
"ken",1898,507.42
"ken",1899,507.14
"ken",1900,506.78
