"geo","time","population_aged_5_9_years_total_number"
"bdi",1950,302774
"bdi",1955,326368
"bdi",1960,405287
"bdi",1965,443093
"bdi",1970,504610
"bdi",1975,529582
"bdi",1980,558795
"bdi",1985,688883
"bdi",1990,835686
"bdi",1995,996394
"bdi",2000,1056586
"bdi",2005,1093875
"bdi",2010,1223620
"bdi",2015,1511729
"bdi",2020,1789339
"bdi",2025,2036526
"bdi",2030,2211603
"bdi",2035,2368309
"bdi",2040,2592083
"bdi",2045,2874615
"bdi",2050,3142067
"bdi",2055,3346120
"bdi",2060,3500546
"bdi",2065,3646878
"bdi",2070,3820279
"bdi",2075,4006352
"bdi",2080,4157361
"bdi",2085,4254453
"bdi",2090,4299116
"bdi",2095,4344563
"bdi",2100,4382196
"cod",1950,1708245
"cod",1955,1911401
"cod",1960,2086984
"cod",1965,2410605
"cod",1970,2824259
"cod",1975,3274129
"cod",1980,3788099
"cod",1985,4319222
"cod",1990,5055205
"cod",1995,6107859
"cod",2000,6963966
"cod",2005,8089761
"cod",2010,9704283
"cod",2015,11651531
"cod",2020,13651297
"cod",2025,15381843
"cod",2030,17104230
"cod",2035,18918148
"cod",2040,20677829
"cod",2045,22247940
"cod",2050,23506356
"cod",2055,24529986
"cod",2060,25391801
"cod",2065,26072553
"cod",2070,26658155
"cod",2075,26960791
"cod",2080,27073447
"cod",2085,27041673
"cod",2090,26829925
"cod",2095,26558462
"cod",2100,26220590
"ken",1950,706742
"ken",1955,947412
"ken",1960,1235388
"ken",1965,1485808
"ken",1970,1787314
"ken",1975,2158303
"ken",1980,2660071
"ken",1985,3227264
"ken",1990,3834776
"ken",1995,4309758
"ken",2000,4512794
"ken",2005,5265265
"ken",2010,5943178
"ken",2015,6631592
"ken",2020,6915686
"ken",2025,7352654
"ken",2030,7801642
"ken",2035,8257349
"ken",2040,8640758
"ken",2045,8909398
"ken",2050,9093256
"ken",2055,9249775
"ken",2060,9355914
"ken",2065,9410755
"ken",2070,9408104
"ken",2075,9341320
"ken",2080,9204110
"ken",2085,9048924
"ken",2090,8899290
"ken",2095,8732781
"ken",2100,8561512
"rwa",1950,278009
"rwa",1955,372848
"rwa",1960,451264
"rwa",1965,528172
"rwa",1970,571646
"rwa",1975,646142
"rwa",1980,781546
"rwa",1985,985024
"rwa",1990,1195361
"rwa",1995,917365
"rwa",2000,1078680
"rwa",2005,1242448
"rwa",2010,1411710
"rwa",2015,1611153
"rwa",2020,1711504
"rwa",2025,1759791
"rwa",2030,1790547
"rwa",2035,1852887
"rwa",2040,1936286
"rwa",2045,1991931
"rwa",2050,1990368
"rwa",2055,1947312
"rwa",2060,1897524
"rwa",2065,1859480
"rwa",2070,1824210
"rwa",2075,1783914
"rwa",2080,1726320
"rwa",2085,1662723
"rwa",2090,1603343
"rwa",2095,1554819
"rwa",2100,1513465
"ssd",1950,361377
"ssd",1955,381918
"ssd",1960,366371
"ssd",1965,434144
"ssd",1970,507579
"ssd",1975,590570
"ssd",1980,674193
"ssd",1985,779123
"ssd",1990,809546
"ssd",1995,794892
"ssd",2000,985006
"ssd",2005,1193257
"ssd",2010,1432278
"ssd",2015,1655428
"ssd",2020,1841938
"ssd",2025,2030241
"ssd",2030,2202884
"ssd",2035,2349911
"ssd",2040,2478017
"ssd",2045,2598289
"ssd",2050,2716749
"ssd",2055,2824725
"ssd",2060,2913622
"ssd",2065,2979281
"ssd",2070,3026566
"ssd",2075,3060789
"ssd",2080,3082849
"ssd",2085,3089471
"ssd",2090,3076972
"ssd",2095,3053712
"ssd",2100,3017738
"tza",1950,1118152
"tza",1955,1302712
"tza",1960,1457184
"tza",1965,1725042
"tza",1970,2027221
"tza",1975,2399983
"tza",1980,2826592
"tza",1985,3311444
"tza",1990,3826587
"tza",1995,4471802
"tza",2000,5075225
"tza",2005,5773946
"tza",2010,6913564
"tza",2015,8077824
"tza",2020,9286030
"tza",2025,10316414
"tza",2030,11461020
"tza",2035,12733168
"tza",2040,14047516
"tza",2045,15303453
"tza",2050,16477581
"tza",2055,17561553
"tza",2060,18624071
"tza",2065,19667810
"tza",2070,20606015
"tza",2075,21467943
"tza",2080,22194626
"tza",2085,22809385
"tza",2090,23336600
"tza",2095,23789905
"tza",2100,24108255
"uga",1950,722028
"uga",1955,837233
"uga",1960,1014445
"uga",1965,1198242
"uga",1970,1424580
"uga",1975,1659478
"uga",1980,1917762
"uga",1985,2249167
"uga",1990,2710773
"uga",1995,3254484
"uga",2000,3911402
"uga",2005,4642624
"uga",2010,5522651
"uga",2015,6415630
"uga",2020,7297479
"uga",2025,8236303
"uga",2030,9215214
"uga",2035,10194867
"uga",2040,11109733
"uga",2045,11939602
"uga",2050,12708359
"uga",2055,13410602
"uga",2060,14041659
"uga",2065,14572883
"uga",2070,14993367
"uga",2075,15321522
"uga",2080,15558935
"uga",2085,15701972
"uga",2090,15763385
"uga",2095,15738430
"uga",2100,15639734
