"geo","time","males_aged_25_54_labour_force_participation_rate_percent"
"bdi",1990,98.207
"bdi",1991,98.097
"bdi",1992,97.979
"bdi",1993,97.851
"bdi",1994,97.713
"bdi",1995,97.559
"bdi",1996,97.388
"bdi",1997,97.199
"bdi",1998,96.988
"bdi",1999,96.944
"bdi",2000,96.89
"bdi",2001,96.816
"bdi",2002,96.737
"bdi",2003,96.66
"bdi",2004,96.586
"bdi",2005,96.518
"bdi",2006,96.455
"bdi",2007,96.396
"bdi",2008,96.339
"bdi",2009,96.283
"bdi",2010,96.224
"bdi",2011,96.157
"bdi",2012,96.087
"bdi",2013,96.015
"bdi",2014,95.94
"bdi",2015,96.034
"bdi",2016,96.094
"bdi",2017,96.071
"bdi",2018,96.049
"bdi",2019,96.026
"bdi",2020,96.001
"bdi",2021,95.976
"bdi",2022,95.949
"bdi",2023,95.921
"bdi",2024,95.893
"bdi",2025,95.863
"bdi",2026,95.833
"bdi",2027,95.803
"bdi",2028,95.773
"bdi",2029,95.743
"bdi",2030,95.714
"cod",1990,91.217
"cod",1991,91.556
"cod",1992,91.936
"cod",1993,92.371
"cod",1994,92.543
"cod",1995,92.583
"cod",1996,92.695
"cod",1997,92.88
"cod",1998,92.959
"cod",1999,93.087
"cod",2000,93.274
"cod",2001,93.391
"cod",2002,93.406
"cod",2003,93.372
"cod",2004,93.314
"cod",2005,93.263
"cod",2006,93.255
"cod",2007,93.218
"cod",2008,93.174
"cod",2009,93.192
"cod",2010,93.126
"cod",2011,93.085
"cod",2012,93.029
"cod",2013,92.938
"cod",2014,92.825
"cod",2015,92.74
"cod",2016,92.759
"cod",2017,92.727
"cod",2018,92.696
"cod",2019,92.667
"cod",2020,92.639
"cod",2021,92.61
"cod",2022,92.583
"cod",2023,92.556
"cod",2024,92.527
"cod",2025,92.495
"cod",2026,92.458
"cod",2027,92.419
"cod",2028,92.379
"cod",2029,92.338
"cod",2030,92.297
"ken",1990,94.938
"ken",1991,94.899
"ken",1992,94.874
"ken",1993,94.801
"ken",1994,94.671
"ken",1995,94.499
"ken",1996,94.358
"ken",1997,94.312
"ken",1998,94.213
"ken",1999,94.122
"ken",2000,93.488
"ken",2001,92.781
"ken",2002,91.994
"ken",2003,91.119
"ken",2004,90.147
"ken",2005,89.069
"ken",2006,88.943
"ken",2007,88.837
"ken",2008,88.894
"ken",2009,88.867
"ken",2010,88.701
"ken",2011,88.573
"ken",2012,88.445
"ken",2013,88.266
"ken",2014,88.091
"ken",2015,87.912
"ken",2016,87.709
"ken",2017,87.684
"ken",2018,87.657
"ken",2019,87.618
"ken",2020,87.562
"ken",2021,87.491
"ken",2022,87.406
"ken",2023,87.313
"ken",2024,87.218
"ken",2025,87.127
"ken",2026,87.04
"ken",2027,86.955
"ken",2028,86.872
"ken",2029,86.79
"ken",2030,86.708
"rwa",1990,97.283
"rwa",1991,97.232
"rwa",1992,97.02
"rwa",1993,96.853
"rwa",1994,97.237
"rwa",1995,96.791
"rwa",1996,96.692
"rwa",1997,96.675
"rwa",1998,96.761
"rwa",1999,96.84
"rwa",2000,96.846
"rwa",2001,96.751
"rwa",2002,96.56
"rwa",2003,96.445
"rwa",2004,96.274
"rwa",2005,96.134
"rwa",2006,95.994
"rwa",2007,95.906
"rwa",2008,95.798
"rwa",2009,95.746
"rwa",2010,95.662
"rwa",2011,95.572
"rwa",2012,95.447
"rwa",2013,95.368
"rwa",2014,95.27
"rwa",2015,95.195
"rwa",2016,95.143
"rwa",2017,95.182
"rwa",2018,95.229
"rwa",2019,95.263
"rwa",2020,95.269
"rwa",2021,95.25
"rwa",2022,95.205
"rwa",2023,95.144
"rwa",2024,95.083
"rwa",2025,95.029
"rwa",2026,94.98
"rwa",2027,94.937
"rwa",2028,94.896
"rwa",2029,94.851
"rwa",2030,94.799
"ssd",1990,86.619
"ssd",1991,86.693
"ssd",1992,86.672
"ssd",1993,86.59
"ssd",1994,86.544
"ssd",1995,86.647
"ssd",1996,86.712
"ssd",1997,86.764
"ssd",1998,86.828
"ssd",1999,86.869
"ssd",2000,86.85
"ssd",2001,86.892
"ssd",2002,86.85
"ssd",2003,86.745
"ssd",2004,86.618
"ssd",2005,86.502
"ssd",2006,86.435
"ssd",2007,86.358
"ssd",2008,86.26
"ssd",2009,86.116
"ssd",2010,85.91
"ssd",2011,85.786
"ssd",2012,85.61
"ssd",2013,85.393
"ssd",2014,85.157
"ssd",2015,84.913
"ssd",2016,84.744
"ssd",2017,84.673
"ssd",2018,84.604
"ssd",2019,84.538
"ssd",2020,84.475
"ssd",2021,84.415
"ssd",2022,84.358
"ssd",2023,84.304
"ssd",2024,84.256
"ssd",2025,84.213
"ssd",2026,84.174
"ssd",2027,84.14
"ssd",2028,84.109
"ssd",2029,84.079
"ssd",2030,84.047
"tza",1990,96.432
"tza",1991,96.44
"tza",1992,96.456
"tza",1993,96.461
"tza",1994,96.456
"tza",1995,96.424
"tza",1996,96.4
"tza",1997,96.375
"tza",1998,96.341
"tza",1999,96.296
"tza",2000,96.253
"tza",2001,96.215
"tza",2002,96.173
"tza",2003,96.141
"tza",2004,96.102
"tza",2005,96.061
"tza",2006,96.061
"tza",2007,96.017
"tza",2008,95.997
"tza",2009,95.98
"tza",2010,95.954
"tza",2011,95.918
"tza",2012,96.301
"tza",2013,96.628
"tza",2014,96.907
"tza",2015,96.858
"tza",2016,96.809
"tza",2017,96.821
"tza",2018,96.832
"tza",2019,96.841
"tza",2020,96.85
"tza",2021,96.858
"tza",2022,96.865
"tza",2023,96.871
"tza",2024,96.877
"tza",2025,96.884
"tza",2026,96.89
"tza",2027,96.897
"tza",2028,96.904
"tza",2029,96.91
"tza",2030,96.917
"uga",1990,92.662
"uga",1991,92.695
"uga",1992,92.585
"uga",1993,92.472
"uga",1994,92.358
"uga",1995,92.245
"uga",1996,92.131
"uga",1997,92.017
"uga",1998,91.904
"uga",1999,91.79
"uga",2000,91.676
"uga",2001,91.562
"uga",2002,91.447
"uga",2003,91.332
"uga",2004,91.217
"uga",2005,91.103
"uga",2006,90.989
"uga",2007,90.875
"uga",2008,90.759
"uga",2009,90.641
"uga",2010,90.52
"uga",2011,90.396
"uga",2012,90.268
"uga",2013,90.192
"uga",2014,90.061
"uga",2015,89.914
"uga",2016,89.784
"uga",2017,89.719
"uga",2018,89.653
"uga",2019,89.588
"uga",2020,89.525
"uga",2021,89.462
"uga",2022,89.401
"uga",2023,89.342
"uga",2024,89.282
"uga",2025,89.223
"uga",2026,89.164
"uga",2027,89.105
"uga",2028,89.047
"uga",2029,88.991
"uga",2030,88.937
