"geo","time","population_aged_20_39_years_male_percent"
"bdi",1950,29.02586
"bdi",1955,28.14526
"bdi",1960,27.32568
"bdi",1965,26.38352
"bdi",1970,25.27651
"bdi",1975,25.26449
"bdi",1980,27.29573
"bdi",1985,27.91457
"bdi",1990,27.63305
"bdi",1995,24.12675
"bdi",2000,22.89893
"bdi",2005,25.67578
"bdi",2010,27.63774
"bdi",2015,28.56399
"bdi",2020,28.36256
"bdi",2025,27.96469
"bdi",2030,28.39333
"bdi",2035,29.32849
"bdi",2040,30.58058
"bdi",2045,31.40136
"bdi",2050,31.38858
"bdi",2055,31.11592
"bdi",2060,30.97082
"bdi",2065,31.05923
"bdi",2070,31.20402
"bdi",2075,31.15396
"bdi",2080,30.85009
"bdi",2085,30.46383
"bdi",2090,30.16604
"bdi",2095,29.97036
"bdi",2100,29.77793
"cod",1950,27.01634
"cod",1955,27.44951
"cod",1960,27.71581
"cod",1965,27.92546
"cod",1970,27.95811
"cod",1975,27.61705
"cod",1980,27.32013
"cod",1985,27.05795
"cod",1990,26.89956
"cod",1995,26.85759
"cod",2000,26.89462
"cod",2005,26.83509
"cod",2010,26.65861
"cod",2015,26.57081
"cod",2020,26.70757
"cod",2025,27.29444
"cod",2030,28.29632
"cod",2035,29.45974
"cod",2040,30.48181
"cod",2045,31.20796
"cod",2050,31.65779
"cod",2055,31.89763
"cod",2060,32.03596
"cod",2065,31.99783
"cod",2070,31.75496
"cod",2075,31.34533
"cod",2080,30.81727
"cod",2085,30.2728
"cod",2090,29.70127
"cod",2095,29.09613
"cod",2100,28.46212
"ken",1950,28.77538
"ken",1955,27.74277
"ken",1960,26.00427
"ken",1965,23.77388
"ken",1970,22.96679
"ken",1975,23.12361
"ken",1980,23.92611
"ken",1985,25.03559
"ken",1990,25.9198
"ken",1995,27.407
"ken",2000,28.5597
"ken",2005,30.10121
"ken",2010,31.15729
"ken",2015,31.30912
"ken",2020,31.50792
"ken",2025,31.64533
"ken",2030,31.98394
"ken",2035,32.25172
"ken",2040,32.06758
"ken",2045,31.66638
"ken",2050,31.12356
"ken",2055,30.8087
"ken",2060,30.46685
"ken",2065,30.042
"ken",2070,29.53392
"ken",2075,28.9795
"ken",2080,28.42913
"ken",2085,27.89439
"ken",2090,27.3456
"ken",2095,26.7615
"ken",2100,26.15556
"rwa",1950,26.77953
"rwa",1955,28.38465
"rwa",1960,28.07823
"rwa",1965,25.26279
"rwa",1970,25.21593
"rwa",1975,25.63283
"rwa",1980,26.5453
"rwa",1985,26.38947
"rwa",1990,26.10878
"rwa",1995,30.00643
"rwa",2000,27.33279
"rwa",2005,28.10224
"rwa",2010,30.67029
"rwa",2015,30.74914
"rwa",2020,31.11595
"rwa",2025,31.10547
"rwa",2030,31.14804
"rwa",2035,32.32175
"rwa",2040,32.59039
"rwa",2045,32.27026
"rwa",2050,31.54377
"rwa",2055,30.98594
"rwa",2060,30.64692
"rwa",2065,30.33365
"rwa",2070,29.79407
"rwa",2075,28.95294
"rwa",2080,27.96667
"rwa",2085,27.0384
"rwa",2090,26.27309
"rwa",2095,25.60602
"rwa",2100,24.95189
"ssd",1950,27.46879
"ssd",1955,28.76872
"ssd",1960,29.50982
"ssd",1965,29.82876
"ssd",1970,29.52792
"ssd",1975,27.87782
"ssd",1980,26.9359
"ssd",1985,26.62813
"ssd",1990,26.64228
"ssd",1995,27.25184
"ssd",2000,27.41004
"ssd",2005,27.412
"ssd",2010,27.87739
"ssd",2015,28.70189
"ssd",2020,29.67353
"ssd",2025,30.48465
"ssd",2030,31.01942
"ssd",2035,31.35116
"ssd",2040,31.57869
"ssd",2045,31.80727
"ssd",2050,31.87516
"ssd",2055,31.79007
"ssd",2060,31.56656
"ssd",2065,31.2836
"ssd",2070,31.00189
"ssd",2075,30.73028
"ssd",2080,30.43801
"ssd",2085,30.09559
"ssd",2090,29.71051
"ssd",2095,29.30028
"ssd",2100,28.87489
"tza",1950,27.48001
"tza",1955,27.43657
"tza",1960,27.21745
"tza",1965,26.98469
"tza",1970,26.87128
"tza",1975,26.57569
"tza",1980,26.48498
"tza",1985,26.58664
"tza",1990,26.78158
"tza",1995,27.27298
"tza",2000,27.87877
"tza",2005,28.10012
"tza",2010,27.84739
"tza",2015,27.55268
"tza",2020,27.63797
"tza",2025,28.10049
"tza",2030,28.96048
"tza",2035,29.83921
"tza",2040,30.37367
"tza",2045,30.66293
"tza",2050,30.74295
"tza",2055,30.74098
"tza",2060,30.77396
"tza",2065,30.74176
"tza",2070,30.57217
"tza",2075,30.30077
"tza",2080,29.98711
"tza",2085,29.64992
"tza",2090,29.31527
"tza",2095,28.95829
"tza",2100,28.57009
"uga",1950,28.71554
"uga",1955,28.71985
"uga",1960,27.12155
"uga",1965,26.36059
"uga",1970,25.6604
"uga",1975,25.45914
"uga",1980,25.93253
"uga",1985,26.02324
"uga",1990,26.06498
"uga",1995,25.83255
"uga",2000,26.07663
"uga",2005,26.61775
"uga",2010,27.06068
"uga",2015,27.53391
"uga",2020,28.08393
"uga",2025,28.87903
"uga",2030,29.7221
"uga",2035,30.4036
"uga",2040,30.96019
"uga",2045,31.34262
"uga",2050,31.60278
"uga",2055,31.74941
"uga",2060,31.75986
"uga",2065,31.62446
"uga",2070,31.36367
"uga",2075,31.02093
"uga",2080,30.62059
"uga",2085,30.16435
"uga",2090,29.66463
"uga",2095,29.1313
"uga",2100,28.57948
