"geo","time","newborn_mortality_rate_per_1000"
"tza",1982,44.6
"tza",1983,44.3
"tza",1984,43.7
"tza",1985,43.1
"tza",1986,42.4
"tza",1987,41.7
"tza",1988,40.9
"tza",1989,40.2
"tza",1990,39.5
"tza",1991,38.8
"tza",1992,38.1
"tza",1993,37.5
"tza",1994,36.8
"tza",1995,36.2
"tza",1996,35.5
"tza",1997,34.8
"tza",1998,34
"tza",1999,33.1
"tza",2000,32
"tza",2001,30.8
"tza",2002,29.6
"tza",2003,28.4
"tza",2004,27.3
"tza",2005,26.2
"tza",2006,25.2
"tza",2007,24.1
"tza",2008,23.2
"tza",2009,22.3
"tza",2010,21.5
"tza",2011,20.9
"tza",2012,20.3
"tza",2013,19.8
"tza",2014,19.3
"tza",2015,18.8
"uga",1965,60.5
"uga",1966,59.5
"uga",1967,58.1
"uga",1968,56.7
"uga",1969,55.3
"uga",1970,54
"uga",1971,52.9
"uga",1972,52.1
"uga",1973,51.6
"uga",1974,51.4
"uga",1975,51.4
"uga",1976,51.6
"uga",1977,52.1
"uga",1978,52.5
"uga",1979,52.7
"uga",1980,52.4
"uga",1981,51.5
"uga",1982,50.3
"uga",1983,48.9
"uga",1984,47.3
"uga",1985,45.7
"uga",1986,44.1
"uga",1987,42.6
"uga",1988,41.2
"uga",1989,39.9
"uga",1990,38.5
"uga",1991,37.2
"uga",1992,36.1
"uga",1993,35.3
"uga",1994,34.9
"uga",1995,34.6
"uga",1996,34.4
"uga",1997,34.1
"uga",1998,33.8
"uga",1999,33.2
"uga",2000,32.5
"uga",2001,31.6
"uga",2002,30.5
"uga",2003,29.4
"uga",2004,28.3
"uga",2005,27.3
"uga",2006,26.3
"uga",2007,25.2
"uga",2008,24.1
"uga",2009,23.1
"uga",2010,22.1
"uga",2011,21.2
"uga",2012,20.4
"uga",2013,19.7
"uga",2014,19.2
"uga",2015,18.7
