"geo","time","infant_mortality_rate_per_1000_births"
"ssd",1990,149.7
"ssd",1991,146.7
"ssd",1992,143.3
"ssd",1993,139.8
"ssd",1994,136.1
"ssd",1995,132
"ssd",1996,127.9
"ssd",1997,123.8
"ssd",1998,119.2
"ssd",1999,114.4
"ssd",2000,109.5
"ssd",2001,104.5
"ssd",2002,99.7
"ssd",2003,95
"ssd",2004,90.6
"ssd",2005,86.4
"ssd",2006,82.4
"ssd",2007,78.9
"ssd",2008,75.7
"ssd",2009,73.1
"ssd",2010,70.6
"ssd",2011,68.3
"ssd",2012,66.1
"ssd",2013,64
"ssd",2014,62
"ssd",2015,60.3
"tza",1951,154.5
"tza",1952,153.2
"tza",1953,152.1
"tza",1954,151
"tza",1955,149.9
"tza",1956,148.8
"tza",1957,147.8
"tza",1958,146.7
"tza",1959,145.5
"tza",1960,144.3
"tza",1961,143
"tza",1962,141.9
"tza",1963,140.5
"tza",1964,139
"tza",1965,137.3
"tza",1966,135.4
"tza",1967,133.5
"tza",1968,131.4
"tza",1969,129.5
"tza",1970,127.6
"tza",1971,125.8
"tza",1972,124
"tza",1973,122.1
"tza",1974,120.2
"tza",1975,118.2
"tza",1976,116.1
"tza",1977,114
"tza",1978,111.9
"tza",1979,110.2
"tza",1980,108.9
"tza",1981,108.1
"tza",1982,107.6
"tza",1983,107.4
"tza",1984,107
"tza",1985,106.4
"tza",1986,105.4
"tza",1987,104.2
"tza",1988,102.8
"tza",1989,101.5
"tza",1990,100.4
"tza",1991,99.6
"tza",1992,98.9
"tza",1993,98.1
"tza",1994,97.1
"tza",1995,95.8
"tza",1996,93.8
"tza",1997,91.4
"tza",1998,88.2
"tza",1999,84.5
"tza",2000,80.3
"tza",2001,75.9
"tza",2002,71.4
"tza",2003,67
"tza",2004,62.7
"tza",2005,58.7
"tza",2006,55.2
"tza",2007,51.5
"tza",2008,48.3
"tza",2009,45.6
"tza",2010,42.4
"tza",2011,40.4
"tza",2012,38.8
"tza",2013,37.6
"tza",2014,36.2
"tza",2015,35.2
"uga",1954,151.8
"uga",1955,148.3
"uga",1956,145.1
"uga",1957,141.5
"uga",1958,138.3
"uga",1959,135.3
"uga",1960,132.3
"uga",1961,129.6
"uga",1962,127.3
"uga",1963,125
"uga",1964,122.9
"uga",1965,120.9
"uga",1966,119
"uga",1967,117.2
"uga",1968,115.5
"uga",1969,114.2
"uga",1970,113.5
"uga",1971,113.2
"uga",1972,113.7
"uga",1973,114.7
"uga",1974,116.3
"uga",1975,118.4
"uga",1976,120.9
"uga",1977,123.3
"uga",1978,125.6
"uga",1979,127.2
"uga",1980,127.7
"uga",1981,127.1
"uga",1982,125
"uga",1983,122.1
"uga",1984,119.3
"uga",1985,117.2
