"geo","time","smoking_adults_percent_of_population_over_age_15"
"cod",2002,8.1
"cod",2005,8.1
"ken",2002,14.7
"ken",2005,14.7
"tza",2002,14.6
"tza",2005,14.6
"uga",2002,12.1
"uga",2005,12.1
