"geo","time","gdppercapita_us_inflation_adjusted"
"rwa",2006,459.56595
"rwa",2007,482.03701
"rwa",2008,521.44542
"rwa",2009,539.07431
"rwa",2010,563.40135
"rwa",2011,592.98943
"rwa",2012,627.96848
"rwa",2013,640.81376
"rwa",2014,672.63964
"rwa",2015,714.39393
"rwa",2016,738.83019
"rwa",2017,765.22456
"tza",1988,473.70255
"tza",1989,476.6046
"tza",1990,494.2025
"tza",1991,488.07672
"tza",1992,474.6446
"tza",1993,464.53305
"tza",1994,456.89312
"tza",1995,459.17497
"tza",1996,466.81301
"tza",1997,470.72237
"tza",1998,475.92871
"tza",1999,486.41093
"tza",2000,497.20418
"tza",2001,512.96827
"tza",2002,534.69665
"tza",2003,555.49604
"tza",2004,581.77241
"tza",2005,610.82233
"tza",2006,620.05971
"tza",2007,651.90366
"tza",2008,666.81324
"tza",2009,680.80613
"tza",2010,701.60455
"tza",2011,733.6708
"tza",2012,747.66445
"tza",2013,777.40363
"tza",2014,806.15008
"tza",2015,835.97095
"tza",2016,867.05865
"tza",2017,900.52302
"uga",1982,303.28192
"uga",1983,311.08578
"uga",1984,300.40771
"uga",1985,281.11122
"uga",1986,272.74973
"uga",1987,273.78401
"uga",1988,286.08097
"uga",1989,293.74082
"uga",1990,302.12614
"uga",1991,308.27306
"uga",1992,308.34306
"uga",1993,323.22896
"uga",1994,333.00518
"uga",1995,359.76429
"uga",1996,380.3387
"uga",1997,387.60066
"uga",1998,394.24734
"uga",1999,412.79852
"uga",2000,412.19643
"uga",2001,419.33583
"uga",2002,440.65222
"uga",2003,453.19784
"uga",2004,467.48002
"uga",2005,480.09541
"uga",2006,513.75282
"uga",2007,538.03943
"uga",2008,565.06792
"uga",2009,583.09709
"uga",2010,595.20617
"uga",2011,629.24052
"uga",2012,631.55519
"uga",2013,632.48621
"uga",2014,642.87739
"uga",2015,654.13658
"uga",2016,662.4344
"uga",2017,666.60584
