"geo","time","gapminder_gini"
"bdi",2034,38.6
"bdi",2035,38.6
"bdi",2036,38.6
"bdi",2037,38.6
"bdi",2038,38.6
"bdi",2039,38.6
"bdi",2040,38.6
"cod",1800,40.4
"cod",1801,40.4
"cod",1802,40.4
"cod",1803,40.4
"cod",1804,40.4
"cod",1805,40.4
"cod",1806,40.4
"cod",1807,40.4
"cod",1808,40.4
"cod",1809,40.4
"cod",1810,40.4
"cod",1811,40.4
"cod",1812,40.4
"cod",1813,40.4
"cod",1814,40.4
"cod",1815,40.4
"cod",1816,40.4
"cod",1817,40.4
"cod",1818,40.4
"cod",1819,40.4
"cod",1820,40.4
"cod",1821,40.4
"cod",1822,40.4
"cod",1823,40.4
"cod",1824,40.4
"cod",1825,40.4
"cod",1826,40.4
"cod",1827,40.4
"cod",1828,40.4
"cod",1829,40.4
"cod",1830,40.4
"cod",1831,40.4
"cod",1832,40.4
"cod",1833,40.4
"cod",1834,40.4
"cod",1835,40.4
"cod",1836,40.4
"cod",1837,40.4
"cod",1838,40.4
"cod",1839,40.4
"cod",1840,40.4
"cod",1841,40.4
"cod",1842,40.4
"cod",1843,40.4
"cod",1844,40.4
"cod",1845,40.4
"cod",1846,40.4
"cod",1847,40.4
"cod",1848,40.4
"cod",1849,40.4
"cod",1850,40.4
"cod",1851,40.4
"cod",1852,40.4
"cod",1853,40.4
"cod",1854,40.4
"cod",1855,40.4
"cod",1856,40.4
"cod",1857,40.4
"cod",1858,40.4
"cod",1859,40.4
"cod",1860,40.4
"cod",1861,40.4
"cod",1862,40.4
"cod",1863,40.4
"cod",1864,40.4
"cod",1865,40.4
"cod",1866,40.4
"cod",1867,40.4
"cod",1868,40.4
"cod",1869,40.4
"cod",1870,40.4
"cod",1871,40.4
"cod",1872,40.4
"cod",1873,40.4
"cod",1874,40.4
"cod",1875,40.4
"cod",1876,40.4
"cod",1877,40.4
"cod",1878,40.4
"cod",1879,40.4
"cod",1880,40.4
"cod",1881,40.4
"cod",1882,40.4
"cod",1883,40.4
"cod",1884,40.4
"cod",1885,40.4
"cod",1886,40.4
"cod",1887,40.4
"cod",1888,40.4
"cod",1889,40.4
"cod",1890,40.4
"cod",1891,40.4
"cod",1892,40.4
"cod",1893,40.4
"cod",1894,40.4
"cod",1895,40.4
"cod",1896,40.4
"cod",1897,40.4
"cod",1898,40.4
"cod",1899,40.4
"cod",1900,40.4
"cod",1901,40.4
"cod",1902,40.4
"cod",1903,40.4
"cod",1904,40.4
"cod",1905,40.4
"cod",1906,40.4
"cod",1907,40.4
"cod",1908,40.5
"cod",1909,40.5
"cod",1910,40.6
"cod",1911,40.6
"cod",1912,40.7
"cod",1913,40.8
"cod",1914,40.8
"cod",1915,40.9
"cod",1916,41
"cod",1917,41.1
"cod",1918,41.3
"cod",1919,41.4
"cod",1920,41.5
"cod",1921,41.6
"cod",1922,41.7
"cod",1923,41.8
"cod",1924,41.9
"cod",1925,42
"cod",1926,42.1
"cod",1927,42.2
"cod",1928,42.3
"cod",1929,42.3
"cod",1930,42.4
