"geo","time","females_aged_65plus_labour_force_participation_rate_percent"
"tza",2026,52.887
"tza",2027,52.694
"tza",2028,52.501
"tza",2029,52.309
"tza",2030,52.116
"uga",1990,40.508
"uga",1991,40.65
"uga",1992,40.621
"uga",1993,40.592
"uga",1994,40.563
"uga",1995,40.534
"uga",1996,40.504
"uga",1997,40.475
"uga",1998,40.446
"uga",1999,40.417
"uga",2000,40.388
"uga",2001,40.359
"uga",2002,40.33
"uga",2003,40.301
"uga",2004,40.272
"uga",2005,40.243
"uga",2006,40.214
"uga",2007,40.185
"uga",2008,40.156
"uga",2009,40.127
"uga",2010,40.098
"uga",2011,40.069
"uga",2012,40.04
"uga",2013,39.951
"uga",2014,39.86
"uga",2015,39.755
"uga",2016,39.66
"uga",2017,39.631
"uga",2018,39.601
"uga",2019,39.572
"uga",2020,39.543
"uga",2021,39.514
"uga",2022,39.484
"uga",2023,39.455
"uga",2024,39.426
"uga",2025,39.396
"uga",2026,39.367
"uga",2027,39.338
"uga",2028,39.309
"uga",2029,39.279
"uga",2030,39.25
