"geo","time","gdppercapita_growth_percent_per_year"
"tza",2002,4.23581
"tza",2003,3.88994
"tza",2004,4.73025
"tza",2005,4.99335
"tza",2006,1.51229
"tza",2007,5.13563
"tza",2008,2.28708
"tza",2009,2.09847
"tza",2010,3.05497
"tza",2011,4.57042
"tza",2012,1.90735
"tza",2013,3.97761
"tza",2014,3.69775
"tza",2015,3.69917
"tza",2016,3.71875
"tza",2017,3.85953
"uga",1983,2.57314
"uga",1984,-3.43252
"uga",1985,-6.42343
"uga",1986,-2.97444
"uga",1987,0.3792
"uga",1988,4.49148
"uga",1989,2.67751
"uga",1990,2.85467
"uga",1991,2.03455
"uga",1992,0.02271
"uga",1993,4.82771
"uga",1994,3.02455
"uga",1995,8.03564
"uga",1996,5.71886
"uga",1997,1.90934
"uga",1998,1.71483
"uga",1999,4.70547
"uga",2000,-0.14586
"uga",2001,1.73204
"uga",2002,5.08337
"uga",2003,2.84706
"uga",2004,3.15142
"uga",2005,2.69859
"uga",2006,7.01057
"uga",2007,4.7273
"uga",2008,5.02352
"uga",2009,3.19062
"uga",2010,2.07668
"uga",2011,5.71808
"uga",2012,0.36785
"uga",2013,0.14742
"uga",2014,1.64291
"uga",2015,1.75137
"uga",2016,1.26852
"uga",2017,0.62971
