"geo","time","mean_years_in_school_women_65_plus_years"
"tza",1979,0.26
"tza",1980,0.27
"tza",1981,0.28
"tza",1982,0.29
"tza",1983,0.3
"tza",1984,0.32
"tza",1985,0.33
"tza",1986,0.34
"tza",1987,0.36
"tza",1988,0.37
"tza",1989,0.38
"tza",1990,0.4
"tza",1991,0.42
"tza",1992,0.43
"tza",1993,0.45
"tza",1994,0.47
"tza",1995,0.49
"tza",1996,0.51
"tza",1997,0.53
"tza",1998,0.56
"tza",1999,0.58
"tza",2000,0.6
"tza",2001,0.63
"tza",2002,0.65
"tza",2003,0.68
"tza",2004,0.71
"tza",2005,0.74
"tza",2006,0.76
"tza",2007,0.79
"tza",2008,0.82
"tza",2009,0.85
"tza",2010,0.88
"tza",2011,0.91
"tza",2012,0.95
"tza",2013,0.98
"tza",2014,1.01
"tza",2015,1.04
"uga",1970,0.25
"uga",1971,0.26
"uga",1972,0.27
"uga",1973,0.28
"uga",1974,0.29
"uga",1975,0.3
"uga",1976,0.31
"uga",1977,0.32
"uga",1978,0.33
"uga",1979,0.34
"uga",1980,0.36
"uga",1981,0.37
"uga",1982,0.38
"uga",1983,0.4
"uga",1984,0.41
"uga",1985,0.43
"uga",1986,0.44
"uga",1987,0.46
"uga",1988,0.48
"uga",1989,0.49
"uga",1990,0.51
"uga",1991,0.53
"uga",1992,0.55
"uga",1993,0.57
"uga",1994,0.59
"uga",1995,0.62
"uga",1996,0.64
"uga",1997,0.67
"uga",1998,0.7
"uga",1999,0.72
"uga",2000,0.75
"uga",2001,0.78
"uga",2002,0.81
"uga",2003,0.84
"uga",2004,0.87
"uga",2005,0.9
"uga",2006,0.93
"uga",2007,0.97
"uga",2008,1
"uga",2009,1.04
"uga",2010,1.07
"uga",2011,1.11
"uga",2012,1.15
"uga",2013,1.19
"uga",2014,1.23
"uga",2015,1.27
