"geo","time","population_aged_20_39_years_both_sexes_percent"
"bdi",1950,29.15359
"bdi",1955,28.32805
"bdi",1960,27.50825
"bdi",1965,26.58827
"bdi",1970,25.49234
"bdi",1975,25.60829
"bdi",1980,27.59389
"bdi",1985,28.09346
"bdi",1990,27.82832
"bdi",1995,24.65459
"bdi",2000,23.28182
"bdi",2005,25.81942
"bdi",2010,27.87319
"bdi",2015,29.0622
"bdi",2020,28.99318
"bdi",2025,28.47019
"bdi",2030,28.5773
"bdi",2035,29.29049
"bdi",2040,30.4442
"bdi",2045,31.21594
"bdi",2050,31.19358
"bdi",2055,30.92806
"bdi",2060,30.77752
"bdi",2065,30.85187
"bdi",2070,30.97558
"bdi",2075,30.88896
"bdi",2080,30.53407
"bdi",2085,30.08782
"bdi",2090,29.7235
"bdi",2095,29.46389
"bdi",2100,29.21483
"cod",1950,27.36825
"cod",1955,27.79849
"cod",1960,28.03363
"cod",1965,28.16713
"cod",1970,28.09036
"cod",1975,27.59512
"cod",1980,27.19629
"cod",1985,26.88704
"cod",1990,26.72613
"cod",1995,26.73228
"cod",2000,26.80342
"cod",2005,26.77314
"cod",2010,26.62572
"cod",2015,26.56159
"cod",2020,26.72086
"cod",2025,27.31019
"cod",2030,28.298
"cod",2035,29.44021
"cod",2040,30.43777
"cod",2045,31.14562
"cod",2050,31.57983
"cod",2055,31.80049
"cod",2060,31.91188
"cod",2065,31.83856
"cod",2070,31.55112
"cod",2075,31.08761
"cod",2080,30.50099
"cod",2085,29.89606
"cod",2090,29.26688
"cod",2095,28.61279
"cod",2100,27.94296
"ken",1950,27.61983
"ken",1955,27.02663
"ken",1960,25.67805
"ken",1965,23.72755
"ken",1970,23.0694
"ken",1975,23.31121
"ken",1980,24.1237
"ken",1985,25.26315
"ken",1990,26.14907
"ken",1995,27.59148
"ken",2000,28.63379
"ken",2005,30.01764
"ken",2010,31.05589
"ken",2015,31.23864
"ken",2020,31.44154
"ken",2025,31.55105
"ken",2030,31.84192
"ken",2035,32.07507
"ken",2040,31.86052
"ken",2045,31.43013
"ken",2050,30.86057
"ken",2055,30.51368
"ken",2060,30.13879
"ken",2065,29.68091
"ken",2070,29.14147
"ken",2075,28.56045
"ken",2080,27.98639
"ken",2085,27.43195
"ken",2090,26.8678
"ken",2095,26.27288
"ken",2100,25.66025
"rwa",1950,27.12547
"rwa",1955,28.04987
"rwa",1960,27.47151
"rwa",1965,24.63481
"rwa",1970,24.72454
"rwa",1975,25.36868
"rwa",1980,26.45972
"rwa",1985,26.43848
"rwa",1990,26.20388
"rwa",1995,29.69296
"rwa",2000,27.16627
"rwa",2005,28.65847
"rwa",2010,31.12325
"rwa",2015,31.15197
"rwa",2020,31.37176
"rwa",2025,31.07939
"rwa",2030,31.20063
"rwa",2035,32.24532
"rwa",2040,32.44859
"rwa",2045,32.01957
"rwa",2050,31.18758
"rwa",2055,30.53807
"rwa",2060,30.12604
"rwa",2065,29.77005
"rwa",2070,29.19727
"rwa",2075,28.33576
"rwa",2080,27.33543
"rwa",2085,26.39372
"rwa",2090,25.61491
"rwa",2095,24.94058
"rwa",2100,24.28738
"ssd",1950,27.36943
"ssd",1955,28.67303
"ssd",1960,29.40052
"ssd",1965,29.71341
"ssd",1970,29.38677
"ssd",1975,27.81608
"ssd",1980,26.96726
"ssd",1985,26.72779
"ssd",1990,26.77395
"ssd",1995,27.33704
"ssd",2000,27.46424
"ssd",2005,27.43884
"ssd",2010,27.87968
"ssd",2015,28.69504
"ssd",2020,29.64834
"ssd",2025,30.43017
"ssd",2030,30.92856
"ssd",2035,31.23134
"ssd",2040,31.4486
"ssd",2045,31.67736
"ssd",2050,31.74459
"ssd",2055,31.65059
"ssd",2060,31.39658
"ssd",2065,31.06537
"ssd",2070,30.7255
"ssd",2075,30.39143
"ssd",2080,30.03311
"ssd",2085,29.6265
"ssd",2090,29.18006
"ssd",2095,28.71512
"ssd",2100,28.24275
"tza",1950,27.45951
"tza",1955,27.47462
"tza",1960,27.30826
"tza",1965,27.12666
"tza",1970,27.05585
"tza",1975,26.70799
"tza",1980,26.56943
"tza",1985,26.63301
"tza",1990,26.79376
"tza",1995,27.27126
"tza",2000,27.81752
"tza",2005,27.96934
"tza",2010,28.01835
"tza",2015,27.91334
"tza",2020,27.88961
"tza",2025,28.32586
"tza",2030,29.00982
"tza",2035,29.75391
"tza",2040,30.28683
"tza",2045,30.49679
"tza",2050,30.56882
"tza",2055,30.55427
"tza",2060,30.55674
"tza",2065,30.49663
"tza",2070,30.30482
"tza",2075,30.01232
"tza",2080,29.68015
"tza",2085,29.32588
"tza",2090,28.97403
"tza",2095,28.60418
"tza",2100,28.20555
"uga",1950,28.71492
"uga",1955,28.73825
"uga",1960,27.13599
"uga",1965,26.31074
"uga",1970,25.59129
"uga",1975,25.43445
"uga",1980,25.95321
"uga",1985,26.09059
"uga",1990,26.17413
"uga",1995,25.89481
"uga",2000,26.00017
"uga",2005,26.43065
"uga",2010,26.89152
"uga",2015,27.44465
"uga",2020,28.03166
"uga",2025,28.82667
"uga",2030,29.65415
"uga",2035,30.32333
"uga",2040,30.88992
"uga",2045,31.27829
"uga",2050,31.54233
"uga",2055,31.68361
"uga",2060,31.66383
"uga",2065,31.49263
"uga",2070,31.19122
"uga",2075,30.80877
"uga",2080,30.37595
"uga",2085,29.89538
"uga",2090,29.37937
"uga",2095,28.83482
"uga",2100,28.27698
