"geo","time","females_aged_25_54_labour_force_participation_rate_percent"
"tza",2025,87.171
"tza",2026,87.03
"tza",2027,86.883
"tza",2028,86.732
"tza",2029,86.582
"tza",2030,86.435
"uga",1990,70.973
"uga",1991,70.737
"uga",1992,71.223
"uga",1993,71.704
"uga",1994,72.178
"uga",1995,72.647
"uga",1996,73.111
"uga",1997,73.568
"uga",1998,74.018
"uga",1999,74.463
"uga",2000,74.901
"uga",2001,75.339
"uga",2002,75.772
"uga",2003,76.2
"uga",2004,76.624
"uga",2005,77.044
"uga",2006,77.464
"uga",2007,77.879
"uga",2008,78.29
"uga",2009,78.696
"uga",2010,79.096
"uga",2011,79.492
"uga",2012,79.882
"uga",2013,80.109
"uga",2014,80.386
"uga",2015,80.693
"uga",2016,80.961
"uga",2017,81.175
"uga",2018,81.388
"uga",2019,81.601
"uga",2020,81.814
"uga",2021,82.028
"uga",2022,82.243
"uga",2023,82.458
"uga",2024,82.672
"uga",2025,82.886
"uga",2026,83.099
"uga",2027,83.312
"uga",2028,83.526
"uga",2029,83.74
"uga",2030,83.955
