"geo","time","mean_years_in_school_women_35_to_44_years"
"bdi",1970,0.65
"bdi",1971,0.67
"bdi",1972,0.7
"bdi",1973,0.72
"bdi",1974,0.75
"bdi",1975,0.77
"bdi",1976,0.8
"bdi",1977,0.83
"bdi",1978,0.85
"bdi",1979,0.88
"bdi",1980,0.91
"bdi",1981,0.95
"bdi",1982,0.98
"bdi",1983,1.01
"bdi",1984,1.05
"bdi",1985,1.08
"bdi",1986,1.12
"bdi",1987,1.16
"bdi",1988,1.2
"bdi",1989,1.24
"bdi",1990,1.28
"bdi",1991,1.33
"bdi",1992,1.37
"bdi",1993,1.42
"bdi",1994,1.47
"bdi",1995,1.52
"bdi",1996,1.58
"bdi",1997,1.63
"bdi",1998,1.69
"bdi",1999,1.74
"bdi",2000,1.8
"bdi",2001,1.86
"bdi",2002,1.93
"bdi",2003,1.99
"bdi",2004,2.05
"bdi",2005,2.12
"bdi",2006,2.19
"bdi",2007,2.26
"bdi",2008,2.33
"bdi",2009,2.4
"bdi",2010,2.48
"bdi",2011,2.55
"bdi",2012,2.63
"bdi",2013,2.71
"bdi",2014,2.79
"bdi",2015,2.88
"cod",1970,1.5
"cod",1971,1.55
"cod",1972,1.6
"cod",1973,1.65
"cod",1974,1.7
"cod",1975,1.75
"cod",1976,1.81
"cod",1977,1.87
"cod",1978,1.93
"cod",1979,1.99
"cod",1980,2.05
"cod",1981,2.11
"cod",1982,2.18
"cod",1983,2.25
"cod",1984,2.32
"cod",1985,2.39
"cod",1986,2.47
"cod",1987,2.54
"cod",1988,2.62
"cod",1989,2.7
"cod",1990,2.78
"cod",1991,2.87
"cod",1992,2.95
"cod",1993,3.04
"cod",1994,3.13
"cod",1995,3.23
"cod",1996,3.33
"cod",1997,3.42
"cod",1998,3.53
"cod",1999,3.63
"cod",2000,3.73
"cod",2001,3.84
"cod",2002,3.95
"cod",2003,4.06
"cod",2004,4.18
"cod",2005,4.29
"cod",2006,4.41
"cod",2007,4.53
"cod",2008,4.65
"cod",2009,4.77
"cod",2010,4.9
"cod",2011,5.03
"cod",2012,5.16
"cod",2013,5.29
"cod",2014,5.42
"cod",2015,5.56
"ken",1970,1.39
"ken",1971,1.45
