"geo","time","aged_65plus_labour_force_participation_rate_percent"
"bdi",1990,75.975
"bdi",1991,75.067
"bdi",1992,74.132
"bdi",1993,73.171
"bdi",1994,72.186
"bdi",1995,71.179
"bdi",1996,70.158
"bdi",1997,69.115
"bdi",1998,68.048
"bdi",1999,67.637
"bdi",2000,67.226
"bdi",2001,66.813
"bdi",2002,66.399
"bdi",2003,65.983
"bdi",2004,65.566
"bdi",2005,65.149
"bdi",2006,64.73
"bdi",2007,64.311
"bdi",2008,63.893
"bdi",2009,63.478
"bdi",2010,63.067
"bdi",2011,62.635
"bdi",2012,62.203
"bdi",2013,61.772
"bdi",2014,61.343
"bdi",2015,61.629
"bdi",2016,61.834
"bdi",2017,61.66
"bdi",2018,61.484
"bdi",2019,61.304
"bdi",2020,61.117
"bdi",2021,60.93
"bdi",2022,60.737
"bdi",2023,60.537
"bdi",2024,60.333
"bdi",2025,60.123
"bdi",2026,59.915
"bdi",2027,59.702
"bdi",2028,59.485
"bdi",2029,59.26
"bdi",2030,59.028
"cod",1990,61.443
"cod",1991,61.842
"cod",1992,62.279
"cod",1993,62.771
"cod",1994,62.978
"cod",1995,63.017
"cod",1996,63.197
"cod",1997,63.433
"cod",1998,63.533
"cod",1999,63.676
"cod",2000,63.885
"cod",2001,64.066
"cod",2002,64.121
"cod",2003,64.112
"cod",2004,64.068
"cod",2005,64.027
"cod",2006,64.081
"cod",2007,64.085
"cod",2008,64.069
"cod",2009,64.117
"cod",2010,64.065
"cod",2011,64.073
"cod",2012,64.049
"cod",2013,63.969
"cod",2014,63.851
"cod",2015,63.751
"cod",2016,63.791
"cod",2017,63.79
"cod",2018,63.789
"cod",2019,63.785
"cod",2020,63.78
"cod",2021,63.777
"cod",2022,63.771
"cod",2023,63.764
"cod",2024,63.755
"cod",2025,63.745
"cod",2026,63.738
"cod",2027,63.728
"cod",2028,63.717
"cod",2029,63.705
"cod",2030,63.692
"ken",1990,55.213
"ken",1991,55.056
"ken",1992,54.889
"ken",1993,54.639
"ken",1994,54.311
"ken",1995,53.94
"ken",1996,53.657
"ken",1997,53.523
"ken",1998,53.327
"ken",1999,53.129
"ken",2000,53.798
"ken",2001,54.471
"ken",2002,55.137
"ken",2003,55.798
"ken",2004,56.452
"ken",2005,57.099
"ken",2006,56.858
"ken",2007,56.666
"ken",2008,56.695
"ken",2009,56.592
"ken",2010,56.271
"ken",2011,55.995
"ken",2012,55.687
"ken",2013,55.293
"ken",2014,54.899
"ken",2015,54.505
"ken",2016,54.076
"ken",2017,54.152
"ken",2018,54.227
"ken",2019,54.301
"ken",2020,54.376
"ken",2021,54.454
"ken",2022,54.533
"ken",2023,54.611
"ken",2024,54.688
"ken",2025,54.766
"ken",2026,54.848
"ken",2027,54.929
"ken",2028,55.011
"ken",2029,55.094
"ken",2030,55.177
"rwa",1990,61.69
"rwa",1991,61.461
"rwa",1992,60.633
"rwa",1993,59.777
"rwa",1994,60.39
"rwa",1995,58.762
"rwa",1996,58.339
"rwa",1997,58.273
"rwa",1998,58.625
"rwa",1999,58.992
"rwa",2000,59.075
"rwa",2001,58.746
"rwa",2002,58.104
"rwa",2003,57.631
"rwa",2004,57.054
"rwa",2005,56.643
"rwa",2006,56.309
"rwa",2007,56.16
"rwa",2008,56.016
"rwa",2009,55.975
"rwa",2010,55.827
"rwa",2011,55.666
"rwa",2012,55.402
"rwa",2013,55.182
"rwa",2014,54.889
"rwa",2015,54.601
"rwa",2016,54.305
"rwa",2017,54.207
"rwa",2018,54.108
"rwa",2019,54.008
"rwa",2020,53.907
"rwa",2021,53.806
"rwa",2022,53.703
"rwa",2023,53.599
"rwa",2024,53.494
"rwa",2025,53.39
"rwa",2026,53.285
"rwa",2027,53.178
"rwa",2028,53.069
"rwa",2029,52.958
"rwa",2030,52.845
"ssd",1990,50.005
"ssd",1991,50.136
"ssd",1992,50.145
"ssd",1993,50.071
"ssd",1994,50.024
"ssd",1995,50.129
"ssd",1996,50.203
"ssd",1997,50.251
"ssd",1998,50.308
"ssd",1999,50.338
"ssd",2000,50.3
"ssd",2001,50.351
"ssd",2002,50.307
"ssd",2003,50.188
"ssd",2004,50.038
"ssd",2005,49.894
"ssd",2006,49.817
"ssd",2007,49.722
"ssd",2008,49.603
"ssd",2009,49.439
"ssd",2010,49.216
"ssd",2011,49.105
"ssd",2012,48.943
"ssd",2013,48.738
"ssd",2014,48.508
"ssd",2015,48.261
"ssd",2016,48.095
"ssd",2017,47.986
"ssd",2018,47.873
"ssd",2019,47.76
"ssd",2020,47.649
"ssd",2021,47.547
"ssd",2022,47.444
"ssd",2023,47.34
"ssd",2024,47.236
"ssd",2025,47.131
"ssd",2026,47.035
"ssd",2027,46.937
"ssd",2028,46.837
"ssd",2029,46.735
"ssd",2030,46.633
"tza",1990,73.119
"tza",1991,73.148
"tza",1992,73.173
"tza",1993,73.158
"tza",1994,73.106
"tza",1995,72.98
"tza",1996,72.942
"tza",1997,72.879
"tza",1998,72.782
"tza",1999,72.658
"tza",2000,72.541
"tza",2001,72.584
"tza",2002,72.634
"tza",2003,72.708
"tza",2004,72.753
"tza",2005,72.756
"tza",2006,72.717
"tza",2007,72.545
"tza",2008,72.411
"tza",2009,72.29
"tza",2010,72.17
"tza",2011,72.044
"tza",2012,68.982
"tza",2013,65.76
"tza",2014,62.395
"tza",2015,62.229
"tza",2016,62.073
"tza",2017,61.839
"tza",2018,61.604
"tza",2019,61.375
"tza",2020,61.156
"tza",2021,60.958
"tza",2022,60.766
"tza",2023,60.576
"tza",2024,60.386
"tza",2025,60.194
"tza",2026,60.01
"tza",2027,59.824
"tza",2028,59.638
"tza",2029,59.453
"tza",2030,59.269
"uga",1990,51.555
"uga",1991,51.657
"uga",1992,51.523
"uga",1993,51.381
"uga",1994,51.232
"uga",1995,51.074
"uga",1996,50.945
"uga",1997,50.81
"uga",1998,50.669
"uga",1999,50.52
"uga",2000,50.365
"uga",2001,50.238
"uga",2002,50.107
"uga",2003,49.973
"uga",2004,49.833
"uga",2005,49.69
"uga",2006,49.568
"uga",2007,49.443
"uga",2008,49.313
"uga",2009,49.177
"uga",2010,49.034
"uga",2011,48.903
"uga",2012,48.767
"uga",2013,48.601
"uga",2014,48.365
"uga",2015,48.104
"uga",2016,47.885
"uga",2017,47.774
"uga",2018,47.662
"uga",2019,47.548
"uga",2020,47.435
"uga",2021,47.342
"uga",2022,47.25
"uga",2023,47.161
"uga",2024,47.074
"uga",2025,46.991
"uga",2026,46.927
"uga",2027,46.866
"uga",2028,46.809
"uga",2029,46.757
"uga",2030,46.712
