"geo","time","investments_percent_of_gdp"
"tza",2012,28.50287
"tza",2013,30.32429
"tza",2014,30.13071
"tza",2015,27.20535
"tza",2016,24.77317
"uga",1960,10.96419
"uga",1961,10.18034
"uga",1962,11.14815
"uga",1963,12.80552
"uga",1964,12.08769
"uga",1965,11.23773
"uga",1966,11.49773
"uga",1967,13.4607
"uga",1968,13.09042
"uga",1969,14.01701
"uga",1970,14.00467
"uga",1971,16.10195
"uga",1972,11.64319
"uga",1973,8.71997
"uga",1974,11.61527
"uga",1975,8.05236
"uga",1976,6.25179
"uga",1977,6.04968
"uga",1978,8.28154
"uga",1979,6.5801
"uga",1980,6.15454
"uga",1981,5.60832
"uga",1982,9.093
"uga",1983,7.40961
"uga",1984,8.13984
"uga",1985,8.73202
"uga",1986,8.44692
"uga",1987,9.71822
"uga",1988,10.79235
"uga",1989,11.13623
"uga",1990,12.70408
"uga",1991,15.17127
"uga",1992,15.93893
"uga",1993,15.24579
"uga",1994,14.68183
"uga",1995,12.41203
"uga",1996,20.17269
"uga",1997,18.17856
"uga",1998,16.44715
"uga",1999,19.54912
"uga",2000,19.48382
"uga",2001,19.30206
"uga",2002,20.21742
"uga",2003,20.98414
"uga",2004,20.14569
"uga",2005,22.35515
"uga",2006,21.13037
"uga",2007,22.08306
"uga",2008,22.97777
"uga",2009,24.99741
"uga",2010,25.55596
"uga",2011,27.45723
"uga",2012,27.29713
"uga",2013,28.35081
"uga",2014,27.2817
"uga",2015,24.6164
"uga",2016,25.52021
"uga",2017,24.01175
