"geo","time","imports_percent_of_gdp"
"tza",2008,30.78911
"tza",2009,26.278
"tza",2010,29.12998
"tza",2011,36.03874
"tza",2012,33.11177
"tza",2013,31.06943
"tza",2014,29.78834
"tza",2015,24.77675
"tza",2016,22.73874
"uga",1960,21.81638
"uga",1961,21.64387
"uga",1962,21.44771
"uga",1963,23.88055
"uga",1964,23.09613
"uga",1965,24.35897
"uga",1966,25.32526
"uga",1967,24.38848
"uga",1968,22.61808
"uga",1969,20.34264
"uga",1970,20.11782
"uga",1971,23.95535
"uga",1972,16.77934
"uga",1973,13.154
"uga",1974,15.04551
"uga",1975,10.91543
"uga",1976,9.60651
"uga",1977,7.79848
"uga",1978,18.8625
"uga",1979,17.53135
"uga",1980,26.03225
"uga",1981,22.05937
"uga",1982,17.52009
"uga",1983,13.6438
"uga",1984,14.32516
"uga",1985,15.00833
"uga",1986,15.23828
"uga",1987,18.04329
"uga",1988,17.77737
"uga",1989,18.09323
"uga",1990,19.36882
"uga",1991,21.93777
"uga",1992,24.29106
"uga",1993,21.17731
"uga",1994,19.09883
"uga",1995,20.83115
"uga",1996,23.42437
"uga",1997,20.79905
"uga",1998,20.40487
"uga",1999,23.77314
"uga",2000,22.09762
"uga",2001,23.81189
"uga",2002,25.06451
"uga",2003,25.199
"uga",2004,22.76321
"uga",2005,24.81459
"uga",2006,28.35787
"uga",2007,30.05235
"uga",2008,31.97813
"uga",2009,29.47677
"uga",2010,28.58802
"uga",2011,33.91887
"uga",2012,33.12177
"uga",2013,30.5985
"uga",2014,28.14627
"uga",2015,29.22012
"uga",2016,28.6401
"uga",2017,25.90607
