"geo","time","males_aged_25_54_unemployment_rate_percent"
"bdi",2014,1.68
"cod",2005,3.0287
"cod",2012,4.8167
"ken",1999,4.0995
"rwa",1996,0.81
"rwa",2017,14.2644
"ssd",2008,8.14
"tza",2001,1.917
"tza",2006,0.9508
"tza",2014,1.1342
