"geo","time","aid_received_percent_of_gni"
"tza",2016,19.74393
"uga",1960,44.41622
"uga",1961,47.23169
"uga",1962,57.47493
"uga",1963,29.63898
"uga",1964,31.58559
"uga",1965,20.23335
"uga",1966,22.15279
"uga",1967,16.56787
"uga",1968,16.35575
"uga",1969,16.78205
"uga",1970,18.64333
"uga",1971,13.91205
"uga",1972,23.51018
"uga",1973,14.91991
"uga",1974,7.18627
"uga",1975,27.28421
"uga",1976,13.68627
"uga",1977,9.41192
"uga",1978,19.70217
"uga",1979,33.57726
"uga",1980,147.9765
"uga",1981,180.88
"uga",1982,66.33838
"uga",1983,82.35542
"uga",1984,55.06821
"uga",1985,58.39826
"uga",1986,57.80457
"uga",1987,49.06573
"uga",1988,55.74499
"uga",1989,87.89979
"uga",1990,121.2616
"uga",1991,131.61667
"uga",1992,159.1729
"uga",1993,124.23896
"uga",1994,128.35142
"uga",1995,116.73348
"uga",1996,55.34727
"uga",1997,71.37478
"uga",1998,60.76559
"uga",1999,51.82037
"uga",2000,70.93257
"uga",2001,73.53077
"uga",2002,58.67847
"uga",2003,75.48387
"uga",2004,76.40715
"uga",2005,59.31994
"uga",2006,75.64492
"uga",2007,64.02901
"uga",2008,50.22875
"uga",2009,39.33172
"uga",2010,32.76193
"uga",2011,28.39319
"uga",2012,26.03201
"uga",2013,24.33392
"uga",2014,21.94129
"uga",2015,24.40458
"uga",2016,28.59449
