"geo","time","income_share_of_poorest_20percent"
"bdi",1992,7.9
"bdi",1998,5.1
"bdi",2006,8.9
"bdi",2013,6.9
"cod",2004,5.7
"cod",2012,5.5
"ken",1992,3.4
"ken",1994,5.2
"ken",1997,5.6
"ken",2005,5
"ken",2015,6.2
"rwa",1984,9.7
"rwa",2000,5.2
"rwa",2005,4.5
"rwa",2010,5.6
"rwa",2013,6
"ssd",2009,3.9
"tza",1991,7
"tza",2000,6.8
"tza",2007,6.3
"tza",2011,7.4
"uga",1989,4.9
"uga",1992,6.2
"uga",1996,6.8
"uga",1999,5.9
"uga",2002,5.9
"uga",2005,6.1
"uga",2009,5.9
"uga",2012,6.4
"uga",2016,6.1
