"geo","time","child_mortality_0_5_year_olds_more_years_version_7"
"cod",1865,422.6
"cod",1866,422.6
"cod",1867,422.6
"cod",1868,422.6
"cod",1869,422.6
"cod",1870,422.6
"cod",1871,422.6
"cod",1872,422.6
"cod",1873,422.6
"cod",1874,422.6
"cod",1875,422.6
"cod",1876,422.6
"cod",1877,422.6
"cod",1878,422.6
"cod",1879,422.6
"cod",1880,422.6
"cod",1881,422.6
"cod",1882,422.6
"cod",1883,422.6
"cod",1884,422.6
"cod",1885,422.6
"cod",1886,422.6
"cod",1887,422.6
"cod",1888,422.6
"cod",1889,422.6
"cod",1890,422.6
"cod",1891,422.6
"cod",1892,422.6
"cod",1893,422.6
"cod",1894,422.6
"cod",1895,422.6
"cod",1896,422.5
"cod",1897,422.4
"cod",1898,422.3
"cod",1899,422
"cod",1900,421.7
"cod",1901,421.4
"cod",1902,420.9
"cod",1903,420.4
"cod",1904,419.9
"cod",1905,419.2
"cod",1906,418.6
"cod",1907,417.8
"cod",1908,417
"cod",1909,416.1
"cod",1910,415.2
"cod",1911,414.2
"cod",1912,413.2
"cod",1913,412.2
"cod",1914,411.2
"cod",1915,410.2
"cod",1916,409.3
"cod",1917,408.3
"cod",1918,407.3
"cod",1919,406.3
"cod",1920,405.3
"cod",1921,404.3
"cod",1922,403.3
"cod",1923,402.3
"cod",1924,401.3
"cod",1925,400.3
"cod",1926,399.3
"cod",1927,398.4
"cod",1928,397.4
"cod",1929,396.4
"cod",1930,395.4
"cod",1931,394.4
"cod",1932,393.4
"cod",1933,392.4
"cod",1934,391.4
"cod",1935,390.4
"cod",1936,389.4
"cod",1937,388.4
"cod",1938,387.4
"cod",1939,386.4
"cod",1940,385.4
"cod",1941,376.2
"cod",1942,368.3
"cod",1943,359.4
"cod",1944,350.7
"cod",1945,342.1
"cod",1946,334.8
"cod",1947,326.4
"cod",1948,318.2
"cod",1949,310.2
"cod",1950,303.3
"cod",1960,282.7
"cod",1969,272.5
"cod",1970,267.2
"cod",1971,261.9
"cod",1972,256.5
"cod",1973,250.9
"cod",1974,245.3
"cod",1975,239.7
"cod",1976,234
"cod",1977,228.5
"cod",1978,223
"cod",1979,217.4
"cod",1980,212
"cod",1981,206.5
"cod",1982,201.2
"cod",1983,196
"cod",1984,190.6
"cod",1985,185.2
"cod",1986,180.7
"cod",1987,177.6
"cod",1988,176.3
"cod",1989,176
"cod",1990,176
"cod",1991,176
"cod",1992,176
"cod",1993,176
"cod",1994,176
"cod",1995,176
"cod",1996,176
"cod",1997,176
"cod",1998,176
"cod",1999,176
"cod",2000,175.9
"cod",2001,175.1
"cod",2002,172.4
"cod",2003,167.7
"cod",2004,161.9
"cod",2005,156
"cod",2006,150.3
"cod",2007,144.9
"cod",2008,140
"cod",2009,135.1
"cod",2010,130.7
"cod",2011,126.4
"cod",2012,122.3
"cod",2013,118.5
"ken",1800,507.9
"ken",1801,507.9
