"geo","time","males_aged_15_64_labour_force_participation_rate_percent"
"tza",2025,89.11
"tza",2026,89.224
"tza",2027,89.342
"tza",2028,89.464
"tza",2029,89.593
"tza",2030,89.73
"uga",1990,77.939
"uga",1991,78.146
"uga",1992,78.003
"uga",1993,77.863
"uga",1994,77.729
"uga",1995,77.603
"uga",1996,77.467
"uga",1997,77.335
"uga",1998,77.21
"uga",1999,77.096
"uga",2000,76.995
"uga",2001,76.942
"uga",2002,76.895
"uga",2003,76.85
"uga",2004,76.805
"uga",2005,76.757
"uga",2006,76.742
"uga",2007,76.718
"uga",2008,76.693
"uga",2009,76.671
"uga",2010,76.657
"uga",2011,76.657
"uga",2012,76.658
"uga",2013,76.43
"uga",2014,76.129
"uga",2015,75.779
"uga",2016,75.474
"uga",2017,75.507
"uga",2018,75.538
"uga",2019,75.572
"uga",2020,75.613
"uga",2021,75.659
"uga",2022,75.708
"uga",2023,75.762
"uga",2024,75.82
"uga",2025,75.885
"uga",2026,75.957
"uga",2027,76.033
"uga",2028,76.111
"uga",2029,76.189
"uga",2030,76.268
