"geo","time","population_aged_15_19_years_both_sexes_percent"
"bdi",1950,10.13314
"bdi",1955,9.79984
"bdi",1960,9.51744
"bdi",1965,9.31759
"bdi",1970,10.68059
"bdi",1975,11.1368
"bdi",1980,10.86648
"bdi",1985,9.82364
"bdi",1990,9.13077
"bdi",1995,10.24675
"bdi",2000,11.58916
"bdi",2005,12.21829
"bdi",2010,11.50423
"bdi",2015,10.23209
"bdi",2020,9.92305
"bdi",2025,10.64931
"bdi",2030,11.05433
"bdi",2035,11.09628
"bdi",2040,10.65769
"bdi",2045,10.13692
"bdi",2050,9.92544
"bdi",2055,9.93038
"bdi",2060,9.87038
"bdi",2065,9.62007
"bdi",2070,9.26106
"bdi",2075,8.92958
"bdi",2080,8.71242
"bdi",2085,8.56706
"bdi",2090,8.38621
"bdi",2095,8.14234
"bdi",2100,7.84717
"cod",1950,10.14689
"cod",1955,10.35506
"cod",1960,10.48781
"cod",1965,10.41796
"cod",1970,9.98729
"cod",1975,10.05433
"cod",1980,10.18071
"cod",1985,10.25933
"cod",1990,10.26181
"cod",1995,10.27037
"cod",2000,10.37005
"cod",2005,10.37667
"cod",2010,10.33778
"cod",2015,10.28774
"cod",2020,10.57655
"cod",2025,10.94308
"cod",2030,11.10733
"cod",2035,10.93642
"cod",2040,10.72213
"cod",2045,10.553
"cod",2050,10.35929
"cod",2055,10.0975
"cod",2060,9.74597
"cod",2065,9.36293
"cod",2070,8.99306
"cod",2075,8.63493
"cod",2080,8.31668
"cod",2085,7.98034
"cod",2090,7.65443
"cod",2095,7.34923
"cod",2100,7.05001
"ken",1950,10.25428
"ken",1955,9.11396
"ken",1960,8.20329
"ken",1965,9.42864
"ken",1970,10.46201
"ken",1975,10.56977
"ken",1980,10.61134
"ken",1985,10.66765
"ken",1990,11.07774
"ken",1995,11.56599
"ken",2000,11.92114
"ken",2005,11.68538
"ken",2010,10.64539
"ken",2015,10.9326
"ken",2020,10.95604
"ken",2025,10.91493
"ken",2030,10.22685
"ken",2035,9.83926
"ken",2040,9.52423
"ken",2045,9.27184
"ken",2050,8.99228
"ken",2055,8.65706
"ken",2060,8.30953
"ken",2065,8.00472
"ken",2070,7.71974
"ken",2075,7.45295
"ken",2080,7.19551
"ken",2085,6.93827
"ken",2090,6.67467
"ken",2095,6.43851
"ken",2100,6.24086
"rwa",1950,11.28258
"rwa",1955,9.44076
"rwa",1960,8.85159
"rwa",1965,10.33792
"rwa",1970,11.29336
"rwa",1975,11.38753
"rwa",1980,10.45759
"rwa",1985,9.93411
"rwa",1990,10.34182
"rwa",1995,12.14559
"rwa",2000,12.5266
"rwa",2005,12.62685
"rwa",2010,10.10728
"rwa",2015,10.38214
"rwa",2020,10.58437
"rwa",2025,10.91116
"rwa",2030,10.53852
"rwa",2035,9.91106
"rwa",2040,9.28958
"rwa",2045,8.93555
"rwa",2050,8.76454
"rwa",2055,8.53852
"rwa",2060,8.14048
"rwa",2065,7.65255
"rwa",2070,7.21336
"rwa",2075,6.88417
"rwa",2080,6.61857
"rwa",2085,6.37974
"rwa",2090,6.1178
"rwa",2095,5.86799
"rwa",2100,5.65996
"ssd",1950,10.22405
"ssd",1955,10.69687
"ssd",1960,10.89125
"ssd",1965,10.53321
"ssd",1970,9.11715
"ssd",1975,9.70103
"ssd",1980,10.13444
"ssd",1985,10.46702
"ssd",1990,10.40688
"ssd",1995,10.27341
"ssd",2000,10.05652
"ssd",2005,10.58431
"ssd",2010,10.86214
"ssd",2015,10.97972
"ssd",2020,10.73947
"ssd",2025,10.63827
"ssd",2030,10.48321
"ssd",2035,10.38163
"ssd",2040,10.21679
"ssd",2045,9.95632
"ssd",2050,9.64682
"ssd",2055,9.35047
"ssd",2060,9.09584
"ssd",2065,8.85526
"ssd",2070,8.60652
"ssd",2075,8.3424
"ssd",2080,8.08027
"ssd",2085,7.83541
"ssd",2090,7.60876
"ssd",2095,7.38925
"ssd",2100,7.16449
"tza",1950,10.4178
"tza",1955,10.41673
"tza",1960,10.40484
"tza",1965,10.52067
"tza",1970,10.16851
"tza",1975,10.34097
"tza",1980,10.40527
"tza",1985,10.52111
"tza",1990,10.69475
"tza",1995,10.86549
"tza",2000,10.94676
"tza",2005,10.7207
"tza",2010,10.60936
"tza",2015,10.49003
"tza",2020,10.80668
"tza",2025,10.94267
"tza",2030,10.95034
"tza",2035,10.64075
"tza",2040,10.40466
"tza",2045,10.24531
"tza",2050,10.09069
"tza",2055,9.88121
"tza",2060,9.62541
"tza",2065,9.34123
"tza",2070,9.07707
"tza",2075,8.83937
"tza",2080,8.59373
"tza",2085,8.35862
"tza",2090,8.11448
"tza",2095,7.87536
"tza",2100,7.65205
"uga",1950,10.86174
"uga",1955,9.11621
"uga",1960,9.94675
"uga",1965,10.00988
"uga",1970,10.41914
"uga",1975,10.3602
"uga",1980,10.42643
"uga",1985,10.57556
"uga",1990,10.5754
"uga",1995,10.71585
"uga",2000,10.89583
"uga",2005,10.97607
"uga",2010,11.13701
"uga",2015,11.17722
"uga",2020,11.35578
"uga",2025,11.34432
"uga",2030,11.18272
"uga",2035,11.018
"uga",2040,10.84825
"uga",2045,10.64865
"uga",2050,10.38268
"uga",2055,10.06613
"uga",2060,9.74324
"uga",2065,9.42262
"uga",2070,9.10986
"uga",2075,8.79421
"uga",2080,8.47635
"uga",2085,8.17104
"uga",2090,7.88015
"uga",2095,7.6013
"uga",2100,7.33948
