"geo","time","population_aged_0_4_years_both_sexes_percent"
"bdi",1950,16.34574
"bdi",1955,18.2997
"bdi",1960,18.1151
"bdi",1965,18.27341
"bdi",1970,18.21087
"bdi",1975,17.91407
"bdi",1980,18.81573
"bdi",1985,19.98022
"bdi",1990,20.10149
"bdi",1995,19.26746
"bdi",2000,18.03545
"bdi",2005,17.23402
"bdi",2010,17.99169
"bdi",2015,18.17054
"bdi",2020,17.59108
"bdi",2025,16.44957
"bdi",2030,15.34028
"bdi",2035,14.71428
"bdi",2040,14.35061
"bdi",2045,13.86508
"bdi",2050,13.15405
"bdi",2055,12.37241
"bdi",2060,11.68818
"bdi",2065,11.17858
"bdi",2070,10.76597
"bdi",2075,10.32198
"bdi",2080,9.82512
"bdi",2085,9.29833
"bdi",2090,8.85529
"bdi",2095,8.46679
"bdi",2100,8.12787
"cod",1950,17.81214
"cod",1955,17.29031
"cod",1960,17.56163
"cod",1965,17.8377
"cod",1970,18.00351
"cod",1975,18.07448
"cod",1980,18.13691
"cod",1985,18.28211
"cod",1990,18.34813
"cod",1995,18.49368
"cod",2000,18.39761
"cod",2005,18.62933
"cod",2010,18.79419
"cod",2015,18.5032
"cod",2020,17.67216
"cod",2025,16.80262
"cod",2030,16.009
"cod",2035,15.19782
"cod",2040,14.33535
"cod",2045,13.41617
"cod",2050,12.53046
"cod",2055,11.71858
"cod",2060,10.97029
"cod",2065,10.30986
"cod",2070,9.66249
"cod",2075,9.06378
"cod",2080,8.52035
"cod",2085,8.01443
"cod",2090,7.57263
"cod",2095,7.18206
"cod",2100,6.84052
"ken",1950,17.38152
"ken",1955,19.49589
"ken",1960,19.88203
"ken",1965,20.13284
"ken",1970,20.28402
"ken",1975,20.65258
"ken",1980,20.5744
"ken",1985,20.19628
"ken",1990,19.00531
"ken",1995,17.05768
"ken",2000,17.242
"ken",2005,16.86552
"ken",2010,16.27349
"ken",2015,14.81329
"ken",2020,13.88158
"ken",2025,13.09704
"ken",2030,12.41771
"ken",2035,11.73378
"ken",2040,11.02226
"ken",2045,10.33631
"ken",2050,9.73555
"ken",2055,9.18586
"ken",2060,8.68205
"ken",2065,8.21388
"ken",2070,7.77165
"ken",2075,7.34644
"ken",2080,6.97218
"ken",2085,6.65641
"ken",2090,6.3749
"ken",2095,6.12997
"ken",2100,5.91062
"rwa",1950,19.25285
"rwa",1955,20.00838
"rwa",1960,20.14718
"rwa",1965,19.5205
"rwa",1970,18.96599
"rwa",1975,19.67008
"rwa",1980,20.63038
"rwa",1985,21.057
"rwa",1990,19.59506
"rwa",1995,12.53771
"rwa",2000,16.35958
"rwa",2005,16.17378
"rwa",2010,16.02144
"rwa",2015,14.91496
"rwa",2020,13.59979
"rwa",2025,12.42931
"rwa",2030,11.65512
"rwa",2035,11.11152
"rwa",2040,10.51155
"rwa",2045,9.75
"rwa",2050,8.94333
"rwa",2055,8.24311
"rwa",2060,7.69893
"rwa",2065,7.25053
"rwa",2070,6.85458
"rwa",2075,6.45566
"rwa",2080,6.09046
"rwa",2085,5.78612
"rwa",2090,5.55759
"rwa",2095,5.38497
"rwa",2100,5.25017
"ssd",1950,17.87053
"ssd",1955,15.92949
"ssd",1960,17.12237
"ssd",1965,17.87554
"ssd",1970,18.2968
"ssd",1975,18.1617
"ssd",1980,18.01175
"ssd",1985,17.6947
"ssd",1990,18.15474
"ssd",1995,18.1311
"ssd",2000,17.81988
"ssd",2005,16.99486
"ssd",2010,16.46517
"ssd",2015,15.84255
"ssd",2020,15.28678
"ssd",2025,14.64147
"ssd",2030,13.89737
"ssd",2035,13.13371
"ssd",2040,12.42977
"ssd",2045,11.81252
"ssd",2050,11.23969
"ssd",2055,10.68205
"ssd",2060,10.13454
"ssd",2065,9.61895
"ssd",2070,9.14973
"ssd",2075,8.72352
"ssd",2080,8.32513
"ssd",2085,7.94196
"ssd",2090,7.59185
"ssd",2095,7.26442
"ssd",2100,6.97661
"tza",1950,19.09389
"tza",1955,18.52048
"tza",1960,18.8599
"tza",1965,18.96847
"tza",1970,19.01536
"tza",1975,18.99859
"tza",1980,18.93061
"tza",1985,18.58874
"tza",1990,18.27043
"tza",1995,17.89835
"tza",2000,17.48541
"tza",2005,18.02576
"tza",2010,17.84343
"tza",2015,17.48161
"tza",2020,16.62859
"tza",2025,15.92464
"tza",2030,15.33933
"tza",2035,14.75705
"tza",2040,14.11767
"tza",2045,13.45259
"tza",2050,12.78372
"tza",2055,12.17202
"tza",2060,11.61672
"tza",2065,11.07206
"tza",2070,10.56247
"tza",2075,10.06253
"tza",2080,9.59103
"tza",2085,9.15659
"tza",2090,8.76114
"tza",2095,8.38086
"tza",2100,8.01098
"uga",1950,18.32212
"uga",1955,19.1441
"uga",1960,19.0576
"uga",1965,19.14516
"uga",1970,19.36905
"uga",1975,19.32967
"uga",1980,19.42993
"uga",1985,19.56574
"uga",1990,19.75267
"uga",1995,20.15566
"uga",2000,20.14303
"uga",2005,20.09222
"uga",2010,19.55006
"uga",2015,18.71258
"uga",2020,17.87122
"uga",2025,17.05467
"uga",2030,16.22334
"uga",2035,15.34248
"uga",2040,14.44287
"uga",2045,13.58939
"uga",2050,12.78818
"uga",2055,12.04691
"uga",2060,11.34848
"uga",2065,10.68534
"uga",2070,10.07083
"uga",2075,9.50304
"uga",2080,8.97649
"uga",2085,8.49449
"uga",2090,8.04905
"uga",2095,7.64072
"uga",2100,7.26211
