"geo","time","females_aged_15plus_unemployment_rate_percent"
"bdi",2014,1.17
"cod",2005,2.1967
"cod",2012,3.6186
"ken",1999,13.3372
"rwa",1989,0.6
"rwa",1996,0.35
"rwa",2017,19.354
"ssd",2008,13.23
"tza",1991,4.3
"tza",2001,2.9644
"tza",2006,4.4194
"tza",2009,2.7
"tza",2014,2.6928
"uga",2003,4.49
